Configure,Cycles
chipyard.TestHarness.GigaBoomProConfig-ChipTop-dhrystone.riscv,102868
chipyard.TestHarness.GigaBoomProConfig-ChipTop-median.riscv,28915
chipyard.TestHarness.GigaBoomProConfig-ChipTop-mm.riscv,171066
chipyard.TestHarness.GigaBoomProConfig-ChipTop-mt-matmul.riscv,25720
chipyard.TestHarness.GigaBoomProConfig-ChipTop-mt-vvadd.riscv,85330
chipyard.TestHarness.GigaBoomProConfig-ChipTop-multiply.riscv,40550
chipyard.TestHarness.GigaBoomProConfig-ChipTop-qsort.riscv,286771
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rsort.riscv,157658
chipyard.TestHarness.GigaBoomProConfig-ChipTop-spmv.riscv,112529
chipyard.TestHarness.GigaBoomProConfig-ChipTop-towers.riscv,16072
chipyard.TestHarness.GigaBoomProConfig-ChipTop-vvadd.riscv,17747
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ua-p-amoadd_d_200,21752
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ua-p-amoand_d_200,21353
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ua-p-amomax_d_200,22348
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ua-p-amomin_d_200,22348
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ua-p-amoor_d_200,21547
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ua-p-amoswap_d_200,21353
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ua-p-amoxor_d_200,21557
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ud-p-fadd_200,83848
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ud-p-fclass_200,7458
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ud-p-fcmp_200,111661
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ud-p-fcvt_200,75396
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ud-p-fcvt_w_200,249072
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ud-p-fmin_200,156852
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ud-p-move_200,60852
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ud-p-structural_200,12753
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-add_200,40129
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-addi_200,19065
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-and_200,42415
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-andi_200,17707
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-auipc_200,4422
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-blt_200,27670
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-bltu_200,32044
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-bne_200,28052
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-fence_i_200,67683
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-jal_200,4083
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-jalr_200,9088
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-lb_200,25262
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-ld_200,32651
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-lh_200,24986
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-lui_200,4415
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-lw_200,25775
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-or_200,44488
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-ori_200,16903
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-sb_200,45509
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-sd_200,56382
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-sh_200,49991
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-sll_200,44097
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-slli_200,21119
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-slt_200,39042
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-slti_200,18634
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-sra_200,42497
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-srai_200,19803
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-srl_200,44230
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-srli_200,21302
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-sub_200,38346
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-sw_200,48008
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-xor_200,44564
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64ui-p-xori_200,16931
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64um-p-mul_200,38374
chipyard.TestHarness.GigaBoomProConfig-ChipTop-rv64um-p-mulw_200,35246
chipyard.TestHarness.GigaBoomProConfig-ChipTop-add_fp_large.riscv,17228
chipyard.TestHarness.GigaBoomProConfig-ChipTop-add_fp.riscv,17218
chipyard.TestHarness.GigaBoomProConfig-ChipTop-add_int_large.riscv,156366
chipyard.TestHarness.GigaBoomProConfig-ChipTop-add_int.riscv,155583
