idx median-instructions median-cycles   median-ipc  towers-instructions towers-cycles   towers-ipc  vvadd-instructions  vvadd-cycles    vvadd-ipc   multiply-instructions   multiply-cycles multiply-ipc    median-power    towers-power    vvadd-power multiply-power  area
201 4579
202 4579    11443   0.4001573014    8791    6297    1.3960616166    6514    4517    1.4421075935    48788   52458   0.9300392695    0.106   0.106   0.104   0.111   3844326.793
203 0   0   0   0   0   0   6514    3965    1.6428751576    48788   43262   1.1277333457    0.0585  0.0576  0.0582  0.0639  2525664.584
204 4579    8517    /   8791    10662   /   6514    5527    /   48788   55739   /   0.0391  0.0386  0.0382  0.0438  1771573.883
205 4579    9772    /   8791    10448   /   6514    6847    /   48788   64075   /   0.0408  0.0407  0.0412  0.046   1734407.287
206 4579    4938    /   8791    5907    /   6514    3059    /   48788   29720   /   0.0893  0.088   0.0893    0.0971   4176753.288
207 4579    11586   /   8791    5967    /   6514    3782    /   48788   52632   /   0.0967  0.0961  0.0972  0.104  3847978.327
208 4579    7807    /   8791    8375    /   6514    3831    /   48788   43246   /   0.0562  0.0555  0.0558  0.0618 2694297.127
209 4579    12526   /   8791    10709   /   6514    8262    /   48788   67226   /   0.0369  0.0363  0.0353 0.0405  1654451.181
210 4579    13160   /   8791    10534   /   6514    7124    /   48788   67905   /   0.0412  0.0407  0.0397 0.0445  1707446.724
211 4579    4938    /   8791    5836    /   6514    3099    /   48788   29709   /   0.0915  0.0901  0.0885 0.0968  4042763.253
212 4579    4921    /   8791    5863    /   6514    2940    /   48788   29688   /   0.104   0.103   0.101  0.108   4449383.966
213 4579    7807    /   8791    8367    /   6514    3801    /   48788   43256   /   0.0657  0.065   0.0635 0.0695  2764278.357
214 4579    12303   /   8791    8977    /   6514    5517    /   48788   65697   /   0.0392  0.0387  0.0376 0.0428  1746547.484
215 4579    7315    /   8791    10210   /   6514    6834    /   48788   60991   /   0.057   0.0568  0.0552 0.0628  2012203.278
216 4579    11332   /   8791    6309    /   6514    3671    /   48788   52141   /   0.0662  0.0652  0.0639 0.071   3563217.852
217 4579    7607    /   8791    6638    /   6514    3391    /   48788   43156   /   0.0737  0.0731  0.0719 0.0773  3557661.738
218 4579    7807    /   8791    8538    /   6514    4526    /   48788   43310   /   0.0535  0.0525  0.0513 0.0569  2400899.71
