Configure,Int Power,Switch Power,Leak Power,Total Power
SmallBoomConfig-benchmarks-add_fp.riscv,9.24e-03,9.92e-04,1.84e-03,1.21e-02
SmallBoomConfig-benchmarks-add_fp_large.riscv,9.21e-03,9.91e-04,1.84e-03,1.20e-02
SmallBoomConfig-benchmarks-add_int.riscv,1.06e-02,2.13e-03,1.84e-03,1.46e-02
SmallBoomConfig-benchmarks-add_int_large.riscv,1.07e-02,2.14e-03,1.85e-03,1.47e-02
SmallBoomConfig-benchmarks-adpcm_dec.riscv,9.60e-03,1.71e-03,1.85e-03,1.32e-02
SmallBoomConfig-benchmarks-adpcm_enc.riscv,9.28e-03,1.33e-03,1.85e-03,1.25e-02
SmallBoomConfig-benchmarks-basicmath_small.riscv,1.04e-02,1.94e-03,1.87e-03,1.42e-02
SmallBoomConfig-benchmarks-binarysearch.riscv,8.97e-03,1.21e-03,1.83e-03,1.20e-02
SmallBoomConfig-benchmarks-bitcount.riscv,9.59e-03,1.47e-03,1.83e-03,1.29e-02
SmallBoomConfig-benchmarks-bitonic.riscv,9.21e-03,1.23e-03,1.83e-03,1.23e-02
SmallBoomConfig-benchmarks-branchy.riscv,8.39e-03,5.80e-04,1.81e-03,1.08e-02
SmallBoomConfig-benchmarks-branchy_large.riscv,8.66e-03,5.41e-04,1.83e-03,1.10e-02
SmallBoomConfig-benchmarks-bsort.riscv,1.15e-02,2.71e-03,1.85e-03,1.60e-02
SmallBoomConfig-benchmarks-bubblesort.riscv,1.18e-02,3.04e-03,1.85e-03,1.67e-02
SmallBoomConfig-benchmarks-cjpeg_wrbmp.riscv,9.90e-03,1.79e-03,1.83e-03,1.35e-02
SmallBoomConfig-benchmarks-cnt.riscv,9.15e-03,1.03e-03,1.84e-03,1.20e-02
SmallBoomConfig-benchmarks-complex_updates.riscv,8.41e-03,6.54e-04,1.81e-03,1.09e-02
SmallBoomConfig-benchmarks-compress.riscv,8.75e-03,8.78e-04,1.84e-03,1.15e-02
SmallBoomConfig-benchmarks-countnegative.riscv,9.05e-03,1.16e-03,1.83e-03,1.20e-02
SmallBoomConfig-benchmarks-cover.riscv,8.49e-03,6.58e-04,1.81e-03,1.10e-02
SmallBoomConfig-benchmarks-crc.riscv,1.01e-02,1.80e-03,1.83e-03,1.37e-02
SmallBoomConfig-benchmarks-dhrystone.riscv,1.11e-02,2.50e-03,1.85e-03,1.55e-02
SmallBoomConfig-benchmarks-duff.riscv,8.54e-03,7.29e-04,1.81e-03,1.11e-02
SmallBoomConfig-benchmarks-edn.riscv,1.15e-02,2.64e-03,1.86e-03,1.60e-02
SmallBoomConfig-benchmarks-expint.riscv,8.90e-03,1.04e-03,1.84e-03,1.18e-02
SmallBoomConfig-benchmarks-fac.riscv,8.37e-03,5.79e-04,1.81e-03,1.08e-02
