fetchWidth,decodeWidth,numFetchBufferEntries,numRobEntries,numRasEntries,numIntPhysRegisters,numFpPhysRegisters,numLdqEntries,numStqEntries,maxBrCount,mem_issueWidth,int_issueWidth,fp_issueWidth,DCacheParams_nWays,DCacheParams_nMSHRs,DCacheParams_nTLBEntries,ICacheParams_nWays,ICacheParams_nTLBEntries,ICacheParams_fetchBytes,latency,power
8,5,40,140,36,140,140,36,36,22,2,5,2,8,8,32,8,32,4,122854.375,0.0450125
8,5,35,130,32,128,128,32,32,20,2,5,2,8,8,32,8,32,4,107696.75,0.0428
8,5,30,125,32,108,108,24,24,18,2,5,2,8,8,32,8,32,4,125172.25,0.0434625
8,4,40,136,32,136,136,36,36,20,2,4,2,8,8,32,8,32,4,124151.25,0.04547500000000001
8,4,32,128,32,128,128,32,32,20,2,4,2,8,8,32,8,32,4,101423.14285714286,0.0433
8,4,24,112,24,108,108,24,24,18,1,4,1,8,4,32,8,32,4,136122.16666666666,0.035012499999999995
8,3,30,114,24,112,112,32,32,16,2,3,2,8,4,32,8,32,4,126061.25,0.03622499999999999
8,3,24,96,32,100,96,24,24,16,1,3,1,8,4,16,8,16,4,110775.66666666667,0.02988
8,3,18,81,16,88,88,16,16,14,1,3,1,8,4,16,8,16,4,143178.375,0.0278125
8,2,24,80,24,88,72,20,20,14,1,2,1,8,4,16,4,16,4,147685.25,0.024725
4,2,16,64,32,80,64,16,16,12,1,2,1,4,2,8,4,8,2,115591.66666666667,0.0183
4,2,8,64,16,64,56,12,12,10,1,1,1,4,2,8,4,8,2,164019.625,0.0166375
4,1,16,48,12,68,56,16,16,10,1,2,1,8,4,16,4,16,2,163717.5,0.014114285714285715
4,1,8,32,32,52,48,8,8,8,1,1,1,4,2,8,4,8,2,133985.66666666666,0.01384
4,1,5,16,4,36,36,4,4,6,1,1,1,2,2,8,2,8,2,303877.0,0.011562499999999998
