Configure,Cycles
chipyard.TestHarness.BOOMCRTEDConfig2Config-ChipTop-mt-vvadd.riscv,108297
chipyard.TestHarness.BOOMCRTEDConfig2Config-ChipTop-whetstone.riscv,41503
chipyard.TestHarness.BOOMCRTEDConfig3Config-ChipTop-mt-vvadd.riscv,123620
chipyard.TestHarness.BOOMCRTEDConfig3Config-ChipTop-whetstone.riscv,41740
chipyard.TestHarness.BOOMCRTEDConfig4Config-ChipTop-mt-vvadd.riscv,111230
chipyard.TestHarness.BOOMCRTEDConfig4Config-ChipTop-whetstone.riscv,41698
chipyard.TestHarness.BOOMCRTEDConfig5Config-ChipTop-mt-vvadd.riscv,114417
chipyard.TestHarness.BOOMCRTEDConfig5Config-ChipTop-whetstone.riscv,41465
chipyard.TestHarness.BOOMCRTEDConfig14Config-ChipTop-mt-vvadd.riscv,115191
chipyard.TestHarness.BOOMCRTEDConfig14Config-ChipTop-whetstone.riscv,41683
chipyard.TestHarness.BOOMCRTEDConfig16Config-ChipTop-mt-vvadd.riscv,109344
chipyard.TestHarness.BOOMCRTEDConfig16Config-ChipTop-whetstone.riscv,41476
chipyard.TestHarness.BOOMCRTEDConfig23Config-ChipTop-mt-vvadd.riscv,114654
chipyard.TestHarness.BOOMCRTEDConfig23Config-ChipTop-whetstone.riscv,41464
chipyard.TestHarness.BOOMCRTEDConfig31Config-ChipTop-mt-vvadd.riscv,117141
chipyard.TestHarness.BOOMCRTEDConfig31Config-ChipTop-whetstone.riscv,41698
chipyard.TestHarness.BOOMCRTEDConfig38Config-ChipTop-mt-vvadd.riscv,109233
chipyard.TestHarness.BOOMCRTEDConfig38Config-ChipTop-whetstone.riscv,41477
chipyard.TestHarness.BOOMCRTEDConfig61Config-ChipTop-mt-vvadd.riscv,103000
chipyard.TestHarness.BOOMCRTEDConfig61Config-ChipTop-whetstone.riscv,41187
chipyard.TestHarness.BOOMCRTEDConfig68Config-ChipTop-mt-vvadd.riscv,108399
chipyard.TestHarness.BOOMCRTEDConfig68Config-ChipTop-whetstone.riscv,41466
chipyard.TestHarness.BOOMCRTEDConfig72Config-ChipTop-mt-vvadd.riscv,103138
chipyard.TestHarness.BOOMCRTEDConfig72Config-ChipTop-whetstone.riscv,41349
chipyard.TestHarness.BOOMCRTEDConfig73Config-ChipTop-mt-vvadd.riscv,112930
chipyard.TestHarness.BOOMCRTEDConfig73Config-ChipTop-whetstone.riscv,41286
chipyard.TestHarness.BOOMCRTEDConfig76Config-ChipTop-mt-vvadd.riscv,99981
chipyard.TestHarness.BOOMCRTEDConfig76Config-ChipTop-whetstone.riscv,41287
chipyard.TestHarness.BOOMCRTEDConfig77Config-ChipTop-mt-vvadd.riscv,112132
chipyard.TestHarness.BOOMCRTEDConfig77Config-ChipTop-whetstone.riscv,42714
chipyard.TestHarness.BOOMCRTEDConfig78Config-ChipTop-mt-vvadd.riscv,113255
chipyard.TestHarness.BOOMCRTEDConfig78Config-ChipTop-whetstone.riscv,41491
chipyard.TestHarness.BOOMCRTEDConfig83Config-ChipTop-mt-vvadd.riscv,99703
