Configure,Int Power,Switch Power,Leak Power,Total Power
CRTEDConfig2-benchmarks-mt-vvadd.riscv,5.48e-02,6.90e-03,3.34e-03,6.50e-02
CRTEDConfig2-benchmarks-whetstone.riscv,5.68e-02,6.10e-03,3.37e-03,6.63e-02
CRTEDConfig3-benchmarks-mt-vvadd.riscv,4.52e-02,6.59e-03,2.12e-03,5.39e-02
CRTEDConfig3-benchmarks-whetstone.riscv,4.63e-02,5.59e-03,2.14e-03,5.40e-02
CRTEDConfig4-benchmarks-mt-vvadd.riscv,4.89e-02,6.56e-03,2.54e-03,5.80e-02
CRTEDConfig4-benchmarks-whetstone.riscv,5.15e-02,5.89e-03,2.55e-03,5.99e-02
CRTEDConfig5-benchmarks-mt-vvadd.riscv,6.99e-02,9.90e-03,3.79e-03,8.35e-02
CRTEDConfig5-benchmarks-whetstone.riscv,7.17e-02,9.52e-03,3.80e-03,8.50e-02
CRTEDConfig14-benchmarks-mt-vvadd.riscv,6.34e-02,9.38e-03,3.25e-03,7.60e-02
CRTEDConfig14-benchmarks-whetstone.riscv,6.57e-02,9.16e-03,3.26e-03,7.81e-02
CRTEDConfig16-benchmarks-mt-vvadd.riscv,5.58e-02,7.10e-03,3.06e-03,6.59e-02
CRTEDConfig16-benchmarks-whetstone.riscv,5.71e-02,6.03e-03,3.08e-03,6.62e-02
CRTEDConfig23-benchmarks-mt-vvadd.riscv,6.26e-02,9.73e-03,3.16e-03,7.55e-02
CRTEDConfig23-benchmarks-whetstone.riscv,6.50e-02,9.14e-03,3.18e-03,7.73e-02
CRTEDConfig31-benchmarks-mt-vvadd.riscv,4.49e-02,5.96e-03,2.40e-03,5.32e-02
CRTEDConfig31-benchmarks-whetstone.riscv,4.76e-02,5.70e-03,2.41e-03,5.57e-02
CRTEDConfig38-benchmarks-mt-vvadd.riscv,5.65e-02,7.27e-03,3.38e-03,6.72e-02
CRTEDConfig38-benchmarks-whetstone.riscv,5.75e-02,6.18e-03,3.40e-03,6.71e-02
CRTEDConfig61-benchmarks-mt-vvadd.riscv,7.70e-02,1.22e-02,4.65e-03,9.39e-02
CRTEDConfig61-benchmarks-whetstone.riscv,7.58e-02,1.01e-02,4.67e-03,9.05e-02
CRTEDConfig68-benchmarks-mt-vvadd.riscv,6.27e-02,7.66e-03,3.37e-03,7.37e-02
CRTEDConfig68-benchmarks-whetstone.riscv,6.31e-02,6.13e-03,3.39e-03,7.26e-02
CRTEDConfig72-benchmarks-mt-vvadd.riscv,7.69e-02,1.17e-02,3.80e-03,9.24e-02
CRTEDConfig72-benchmarks-whetstone.riscv,7.53e-02,9.93e-03,3.82e-03,8.91e-02
CRTEDConfig73-benchmarks-mt-vvadd.riscv,7.28e-02,1.06e-02,4.24e-03,8.76e-02
CRTEDConfig73-benchmarks-whetstone.riscv,7.34e-02,9.70e-03,4.25e-03,8.74e-02
CRTEDConfig76-benchmarks-mt-vvadd.riscv,6.48e-02,8.57e-03,3.60e-03,7.70e-02
CRTEDConfig76-benchmarks-whetstone.riscv,6.27e-02,6.29e-03,3.62e-03,7.26e-02
CRTEDConfig77-benchmarks-mt-vvadd.riscv,6.75e-02,1.06e-02,3.62e-03,8.17e-02
CRTEDConfig77-benchmarks-whetstone.riscv,6.85e-02,9.62e-03,3.63e-03,8.18e-02
CRTEDConfig78-benchmarks-mt-vvadd.riscv,5.18e-02,7.06e-03,2.72e-03,6.16e-02
CRTEDConfig78-benchmarks-whetstone.riscv,5.28e-02,5.87e-03,2.73e-03,6.14e-02
CRTEDConfig83-benchmarks-mt-vvadd.riscv,5.84e-02,8.61e-03,3.13e-03,7.01e-02
CRTEDConfig83-benchmarks-whetstone.riscv,5.69e-02,6.20e-03,3.15e-03,6.62e-02
CRTEDConfig89-benchmarks-mt-vvadd.riscv,4.86e-02,6.83e-03,2.68e-03,5.81e-02
CRTEDConfig89-benchmarks-whetstone.riscv,4.88e-02,5.54e-03,2.70e-03,5.71e-02
CRTEDConfig108-benchmarks-mt-vvadd.riscv,5.44e-02,6.85e-03,2.99e-03,6.43e-02
CRTEDConfig108-benchmarks-whetstone.riscv,5.53e-02,5.88e-03,3.00e-03,6.42e-02
CRTEDConfig114-benchmarks-mt-vvadd.riscv,6.42e-02,1.06e-02,3.21e-03,7.80e-02
CRTEDConfig114-benchmarks-whetstone.riscv,6.61e-02,9.61e-03,3.22e-03,7.90e-02
CRTEDConfig121-benchmarks-mt-vvadd.riscv,6.76e-02,1.16e-02,3.40e-03,8.26e-02
CRTEDConfig121-benchmarks-whetstone.riscv,7.93e-02,1.50e-02,3.40e-03,9.77e-02
CRTEDConfig123-benchmarks-mt-vvadd.riscv,6.23e-02,8.56e-03,3.67e-03,7.45e-02
CRTEDConfig123-benchmarks-whetstone.riscv,6.19e-02,6.62e-03,3.70e-03,7.22e-02
CRTEDConfig126-benchmarks-mt-vvadd.riscv,8.48e-02,1.31e-02,4.38e-03,0.102
CRTEDConfig126-benchmarks-whetstone.riscv,9.56e-02,2.05e-02,4.38e-03,0.121
CRTEDConfig131-benchmarks-mt-vvadd.riscv,7.18e-02,1.17e-02,4.25e-03,8.77e-02
CRTEDConfig131-benchmarks-whetstone.riscv,7.19e-02,1.02e-02,4.27e-03,8.64e-02
CRTEDConfig142-benchmarks-mt-vvadd.riscv,6.50e-02,1.01e-02,3.19e-03,7.83e-02
CRTEDConfig142-benchmarks-whetstone.riscv,6.62e-02,9.17e-03,3.20e-03,7.86e-02
CRTEDConfig147-benchmarks-mt-vvadd.riscv,5.21e-02,7.32e-03,2.78e-03,6.22e-02
CRTEDConfig147-benchmarks-whetstone.riscv,5.28e-02,5.77e-03,2.79e-03,6.14e-02
CRTEDConfig164-benchmarks-mt-vvadd.riscv,6.57e-02,9.26e-03,3.46e-03,7.84e-02
CRTEDConfig164-benchmarks-whetstone.riscv,6.49e-02,7.09e-03,3.49e-03,7.55e-02
CRTEDConfig172-benchmarks-mt-vvadd.riscv,5.97e-02,8.12e-03,3.48e-03,7.13e-02
CRTEDConfig172-benchmarks-whetstone.riscv,6.08e-02,6.86e-03,3.50e-03,7.12e-02
CRTEDConfig181-benchmarks-mt-vvadd.riscv,6.50e-02,9.05e-03,4.12e-03,7.82e-02
