Configure,Int Power,Switch Power,Leak Power,Total Power
PRTEDConfig1-benchmarks-mt-vvadd.riscv,5.76e-02,6.89e-03,3.36e-03,6.79e-02
PRTEDConfig1-benchmarks-whetstone.riscv,5.94e-02,6.22e-03,3.37e-03,6.90e-02
PRTEDConfig2-benchmarks-mt-vvadd.riscv,8.67e-02,1.23e-02,4.39e-03,0.103
PRTEDConfig2-benchmarks-whetstone.riscv,8.51e-02,9.64e-03,4.41e-03,9.91e-02
PRTEDConfig3-benchmarks-mt-vvadd.riscv,0.102,1.75e-02,4.99e-03,0.124
PRTEDConfig3-benchmarks-whetstone.riscv,9.66e-02,1.35e-02,5.03e-03,0.115
PRTEDConfig4-benchmarks-mt-vvadd.riscv,4.78e-02,6.42e-03,2.42e-03,5.66e-02
PRTEDConfig4-benchmarks-whetstone.riscv,5.06e-02,6.09e-03,2.43e-03,5.91e-02
PRTEDConfig5-benchmarks-mt-vvadd.riscv,4.97e-02,6.35e-03,2.75e-03,5.88e-02
PRTEDConfig5-benchmarks-whetstone.riscv,5.19e-02,5.98e-03,2.76e-03,6.07e-02
PRTEDConfig6-benchmarks-mt-vvadd.riscv,5.35e-02,6.67e-03,3.12e-03,6.33e-02
PRTEDConfig6-benchmarks-whetstone.riscv,5.52e-02,6.01e-03,3.14e-03,6.44e-02
PRTEDConfig7-benchmarks-mt-vvadd.riscv,5.11e-02,6.97e-03,2.96e-03,6.10e-02
PRTEDConfig7-benchmarks-whetstone.riscv,5.25e-02,6.08e-03,2.98e-03,6.16e-02
PRTEDConfig8-benchmarks-mt-vvadd.riscv,4.25e-02,5.73e-03,2.08e-03,5.03e-02
PRTEDConfig8-benchmarks-whetstone.riscv,4.45e-02,5.33e-03,2.09e-03,5.19e-02
PRTEDConfig9-benchmarks-mt-vvadd.riscv,5.70e-02,7.11e-03,2.73e-03,6.68e-02
PRTEDConfig9-benchmarks-whetstone.riscv,5.60e-02,5.66e-03,2.74e-03,6.44e-02
PRTEDConfig10-benchmarks-mt-vvadd.riscv,6.71e-02,1.11e-02,3.28e-03,8.15e-02
PRTEDConfig10-benchmarks-whetstone.riscv,6.69e-02,9.44e-03,3.30e-03,7.97e-02
PRTEDConfig11-benchmarks-mt-vvadd.riscv,7.40e-02,1.13e-02,3.71e-03,8.90e-02
PRTEDConfig11-benchmarks-whetstone.riscv,7.45e-02,9.56e-03,3.72e-03,8.78e-02
PRTEDConfig12-benchmarks-mt-vvadd.riscv,5.42e-02,7.69e-03,3.32e-03,6.52e-02
PRTEDConfig12-benchmarks-whetstone.riscv,5.44e-02,5.99e-03,3.35e-03,6.38e-02
PRTEDConfig13-benchmarks-mt-vvadd.riscv,8.61e-02,1.27e-02,4.75e-03,0.104
PRTEDConfig13-benchmarks-whetstone.riscv,8.29e-02,1.01e-02,4.77e-03,9.78e-02
PRTEDConfig14-benchmarks-mt-vvadd.riscv,7.93e-02,1.36e-02,4.47e-03,9.74e-02
PRTEDConfig14-benchmarks-whetstone.riscv,7.76e-02,1.14e-02,4.50e-03,9.35e-02
PRTEDConfig15-benchmarks-mt-vvadd.riscv,7.60e-02,1.08e-02,3.90e-03,9.07e-02
PRTEDConfig15-benchmarks-whetstone.riscv,7.69e-02,9.92e-03,3.92e-03,9.07e-02
PRTEDConfig16-benchmarks-mt-vvadd.riscv,8.69e-02,1.38e-02,4.84e-03,0.106
PRTEDConfig16-benchmarks-whetstone.riscv,8.67e-02,1.18e-02,4.87e-03,0.103
PRTEDConfig17-benchmarks-mt-vvadd.riscv,6.96e-02,1.16e-02,3.39e-03,8.45e-02
PRTEDConfig17-benchmarks-whetstone.riscv,6.94e-02,9.58e-03,3.41e-03,8.24e-02
PRTEDConfig18-benchmarks-mt-vvadd.riscv,6.45e-02,7.22e-03,3.79e-03,7.55e-02
PRTEDConfig18-benchmarks-whetstone.riscv,6.63e-02,6.27e-03,3.80e-03,7.64e-02
PRTEDConfig19-benchmarks-mt-vvadd.riscv,7.80e-02,1.16e-02,4.36e-03,9.39e-02
PRTEDConfig19-benchmarks-whetstone.riscv,7.68e-02,8.76e-03,4.40e-03,8.99e-02
PRTEDConfig20-benchmarks-mt-vvadd.riscv,5.27e-02,7.49e-03,2.91e-03,6.31e-02
PRTEDConfig20-benchmarks-whetstone.riscv,5.25e-02,6.01e-03,2.92e-03,6.15e-02
PRTEDConfig21-benchmarks-mt-vvadd.riscv,8.26e-02,1.33e-02,4.58e-03,0.100
PRTEDConfig21-benchmarks-whetstone.riscv,8.22e-02,1.12e-02,4.61e-03,9.80e-02
PRTEDConfig22-benchmarks-mt-vvadd.riscv,0.103,1.68e-02,5.03e-03,0.124
PRTEDConfig22-benchmarks-whetstone.riscv,0.103,1.48e-02,5.06e-03,0.123
PRTEDConfig23-benchmarks-mt-vvadd.riscv,6.74e-02,1.09e-02,3.61e-03,8.19e-02
PRTEDConfig23-benchmarks-whetstone.riscv,6.76e-02,9.14e-03,3.63e-03,8.04e-02
PRTEDConfig24-benchmarks-mt-vvadd.riscv,7.43e-02,1.17e-02,4.36e-03,9.03e-02
PRTEDConfig24-benchmarks-whetstone.riscv,7.23e-02,9.19e-03,4.40e-03,8.59e-02
PRTEDConfig25-benchmarks-mt-vvadd.riscv,6.00e-02,1.04e-02,2.95e-03,7.34e-02
PRTEDConfig25-benchmarks-whetstone.riscv,6.03e-02,9.07e-03,2.97e-03,7.24e-02
PRTEDConfig26-benchmarks-mt-vvadd.riscv,5.40e-02,8.00e-03,3.24e-03,6.52e-02
PRTEDConfig26-benchmarks-whetstone.riscv,5.44e-02,6.70e-03,3.26e-03,6.44e-02
PRTEDConfig27-benchmarks-mt-vvadd.riscv,5.71e-02,7.61e-03,4.13e-03,6.88e-02
PRTEDConfig27-benchmarks-whetstone.riscv,5.84e-02,6.63e-03,4.16e-03,6.92e-02
PRTEDConfig28-benchmarks-mt-vvadd.riscv,8.40e-02,1.23e-02,4.99e-03,0.101
PRTEDConfig28-benchmarks-whetstone.riscv,8.24e-02,9.31e-03,5.03e-03,9.67e-02
PRTEDConfig29-benchmarks-mt-vvadd.riscv,6.26e-02,1.02e-02,3.15e-03,7.60e-02
PRTEDConfig29-benchmarks-whetstone.riscv,6.41e-02,9.26e-03,3.17e-03,7.65e-02
PRTEDConfig30-benchmarks-mt-vvadd.riscv,6.73e-02,1.05e-02,3.22e-03,8.10e-02
PRTEDConfig30-benchmarks-whetstone.riscv,6.99e-02,9.89e-03,3.23e-03,8.30e-02
PRTEDConfig31-benchmarks-mt-vvadd.riscv,6.35e-02,9.74e-03,3.26e-03,7.65e-02
PRTEDConfig31-benchmarks-whetstone.riscv,6.65e-02,9.72e-03,3.27e-03,7.95e-02
PRTEDConfig32-benchmarks-mt-vvadd.riscv,5.63e-02,9.57e-03,2.61e-03,6.85e-02
PRTEDConfig32-benchmarks-whetstone.riscv,5.79e-02,9.10e-03,2.62e-03,6.96e-02
PRTEDConfig33-benchmarks-mt-vvadd.riscv,6.16e-02,1.02e-02,2.76e-03,7.45e-02
PRTEDConfig33-benchmarks-whetstone.riscv,6.27e-02,9.41e-03,2.77e-03,7.49e-02
PRTEDConfig34-benchmarks-mt-vvadd.riscv,4.52e-02,6.44e-03,2.48e-03,5.41e-02
PRTEDConfig34-benchmarks-whetstone.riscv,4.61e-02,5.44e-03,2.49e-03,5.40e-02
PRTEDConfig35-benchmarks-mt-vvadd.riscv,8.46e-02,1.40e-02,4.25e-03,0.103
PRTEDConfig35-benchmarks-whetstone.riscv,8.66e-02,1.27e-02,4.28e-03,0.104
