Configure,Cycles
chipyard.TestHarness.BOOMConfig1Config-ChipTop-mt-vvadd.riscv,115455
chipyard.TestHarness.BOOMConfig1Config-ChipTop-whetstone.riscv,41561
chipyard.TestHarness.BOOMConfig2Config-ChipTop-mt-vvadd.riscv,111703
chipyard.TestHarness.BOOMConfig2Config-ChipTop-whetstone.riscv,41242
chipyard.TestHarness.BOOMConfig3Config-ChipTop-mt-vvadd.riscv,108836
chipyard.TestHarness.BOOMConfig3Config-ChipTop-whetstone.riscv,42557
chipyard.TestHarness.BOOMConfig4Config-ChipTop-mt-vvadd.riscv,109465
chipyard.TestHarness.BOOMConfig4Config-ChipTop-whetstone.riscv,41495
chipyard.TestHarness.BOOMConfig5Config-ChipTop-mt-vvadd.riscv,112618
chipyard.TestHarness.BOOMConfig5Config-ChipTop-whetstone.riscv,41460
chipyard.TestHarness.BOOMConfig6Config-ChipTop-mt-vvadd.riscv,119966
chipyard.TestHarness.BOOMConfig6Config-ChipTop-whetstone.riscv,41699
chipyard.TestHarness.BOOMConfig7Config-ChipTop-mt-vvadd.riscv,108584
chipyard.TestHarness.BOOMConfig7Config-ChipTop-whetstone.riscv,41240
chipyard.TestHarness.BOOMConfig8Config-ChipTop-mt-vvadd.riscv,121041
chipyard.TestHarness.BOOMConfig8Config-ChipTop-whetstone.riscv,41730
chipyard.TestHarness.BOOMConfig9Config-ChipTop-mt-vvadd.riscv,117331
chipyard.TestHarness.BOOMConfig9Config-ChipTop-whetstone.riscv,41387
chipyard.TestHarness.BOOMConfig10Config-ChipTop-mt-vvadd.riscv,96732
chipyard.TestHarness.BOOMConfig10Config-ChipTop-whetstone.riscv,41198
chipyard.TestHarness.BOOMConfig11Config-ChipTop-mt-vvadd.riscv,117500
chipyard.TestHarness.BOOMConfig11Config-ChipTop-whetstone.riscv,41349
chipyard.TestHarness.BOOMConfig12Config-ChipTop-mt-vvadd.riscv,116131
chipyard.TestHarness.BOOMConfig12Config-ChipTop-whetstone.riscv,41473
chipyard.TestHarness.BOOMConfig13Config-ChipTop-mt-vvadd.riscv,116210
