Configure,Int Power,Switch Power,Leak Power,Total Power
Config1-benchmarks-mt-vvadd.riscv,5.79e-02,9.75e-03,2.75e-03,7.04e-02
Config1-benchmarks-whetstone.riscv,5.89e-02,8.88e-03,2.76e-03,7.06e-02
Config2-benchmarks-mt-vvadd.riscv,6.97e-02,1.17e-02,4.48e-03,8.59e-02
Config2-benchmarks-whetstone.riscv,7.09e-02,1.06e-02,4.50e-03,8.60e-02
Config3-benchmarks-mt-vvadd.riscv,6.98e-02,1.14e-02,3.72e-03,8.48e-02
Config3-benchmarks-whetstone.riscv,6.98e-02,9.58e-03,3.74e-03,8.32e-02
Config4-benchmarks-mt-vvadd.riscv,5.34e-02,6.93e-03,2.86e-03,6.32e-02
Config4-benchmarks-whetstone.riscv,5.36e-02,5.57e-03,2.87e-03,6.21e-02
Config5-benchmarks-mt-vvadd.riscv,8.12e-02,1.07e-02,4.38e-03,9.62e-02
Config5-benchmarks-whetstone.riscv,8.28e-02,1.01e-02,4.40e-03,9.72e-02
Config6-benchmarks-mt-vvadd.riscv,4.85e-02,5.84e-03,2.69e-03,5.70e-02
Config6-benchmarks-whetstone.riscv,5.07e-02,5.63e-03,2.70e-03,5.91e-02
Config7-benchmarks-mt-vvadd.riscv,6.46e-02,1.07e-02,3.46e-03,7.89e-02
Config7-benchmarks-whetstone.riscv,6.51e-02,9.25e-03,3.49e-03,7.78e-02
Config8-benchmarks-mt-vvadd.riscv,6.26e-02,1.02e-02,2.83e-03,7.56e-02
Config8-benchmarks-whetstone.riscv,6.36e-02,9.33e-03,2.85e-03,7.58e-02
Config9-benchmarks-mt-vvadd.riscv,8.65e-02,1.13e-02,5.25e-03,0.103
Config9-benchmarks-whetstone.riscv,8.65e-02,9.10e-03,5.28e-03,0.101
Config10-benchmarks-mt-vvadd.riscv,8.65e-02,1.35e-02,4.71e-03,0.105
Config10-benchmarks-whetstone.riscv,8.62e-02,1.14e-02,4.74e-03,0.102
Config11-benchmarks-mt-vvadd.riscv,5.49e-02,6.55e-03,2.97e-03,6.44e-02
Config11-benchmarks-whetstone.riscv,5.62e-02,5.42e-03,2.98e-03,6.46e-02
Config12-benchmarks-mt-vvadd.riscv,6.39e-02,1.01e-02,3.59e-03,7.75e-02
Config12-benchmarks-whetstone.riscv,6.66e-02,9.74e-03,3.61e-03,7.99e-02
Config13-benchmarks-mt-vvadd.riscv,4.71e-02,7.28e-03,2.29e-03,5.66e-02
Config13-benchmarks-whetstone.riscv,4.74e-02,5.73e-03,2.30e-03,5.54e-02
Config14-benchmarks-mt-vvadd.riscv,5.39e-02,7.33e-03,2.64e-03,6.39e-02
Config14-benchmarks-whetstone.riscv,5.48e-02,6.16e-03,2.66e-03,6.36e-02
Config15-benchmarks-mt-vvadd.riscv,6.05e-02,9.29e-03,3.01e-03,7.28e-02
Config15-benchmarks-whetstone.riscv,6.24e-02,8.85e-03,3.03e-03,7.42e-02
Config16-benchmarks-mt-vvadd.riscv,7.31e-02,1.18e-02,4.62e-03,8.95e-02
Config16-benchmarks-whetstone.riscv,7.09e-02,8.50e-03,4.57e-03,8.40e-02
Config17-benchmarks-mt-vvadd.riscv,6.48e-02,9.34e-03,4.19e-03,7.83e-02
Config17-benchmarks-whetstone.riscv,6.47e-02,7.25e-03,4.22e-03,7.61e-02
Config18-benchmarks-mt-vvadd.riscv,6.06e-02,8.29e-03,3.63e-03,7.25e-02
Config18-benchmarks-whetstone.riscv,6.14e-02,7.14e-03,3.65e-03,7.22e-02
Config19-benchmarks-mt-vvadd.riscv,7.56e-02,1.19e-02,4.10e-03,9.16e-02
Config19-benchmarks-whetstone.riscv,7.31e-02,9.92e-03,4.12e-03,8.72e-02
Config20-benchmarks-mt-vvadd.riscv,7.87e-02,1.08e-02,4.91e-03,9.44e-02
Config20-benchmarks-whetstone.riscv,7.72e-02,8.29e-03,4.95e-03,9.05e-02
Config21-benchmarks-mt-vvadd.riscv,4.67e-02,6.27e-03,2.29e-03,5.52e-02
Config21-benchmarks-whetstone.riscv,4.86e-02,5.75e-03,2.31e-03,5.67e-02
Config22-benchmarks-mt-vvadd.riscv,4.82e-02,6.34e-03,2.72e-03,5.72e-02
Config22-benchmarks-whetstone.riscv,5.05e-02,6.09e-03,2.73e-03,5.94e-02
Config23-benchmarks-mt-vvadd.riscv,6.19e-02,9.62e-03,3.02e-03,7.46e-02
Config23-benchmarks-whetstone.riscv,6.43e-02,9.28e-03,3.03e-03,7.66e-02
Config24-benchmarks-mt-vvadd.riscv,6.55e-02,1.03e-02,3.73e-03,7.95e-02
Config24-benchmarks-whetstone.riscv,6.72e-02,9.76e-03,3.75e-03,8.07e-02
Config25-benchmarks-mt-vvadd.riscv,5.26e-02,9.60e-03,2.33e-03,6.45e-02
Config25-benchmarks-whetstone.riscv,5.38e-02,8.70e-03,2.34e-03,6.49e-02
Config26-benchmarks-mt-vvadd.riscv,6.44e-02,7.75e-03,3.53e-03,7.57e-02
Config26-benchmarks-whetstone.riscv,6.52e-02,6.40e-03,3.56e-03,7.51e-02
Config27-benchmarks-mt-vvadd.riscv,5.10e-02,6.54e-03,2.93e-03,6.04e-02
Config27-benchmarks-whetstone.riscv,5.37e-02,5.84e-03,2.94e-03,6.24e-02
Config28-benchmarks-mt-vvadd.riscv,6.21e-02,1.08e-02,3.03e-03,7.59e-02
Config28-benchmarks-whetstone.riscv,6.24e-02,9.29e-03,3.04e-03,7.47e-02
Config29-benchmarks-mt-vvadd.riscv,6.49e-02,9.64e-03,3.11e-03,7.77e-02
Config29-benchmarks-whetstone.riscv,6.75e-02,9.30e-03,3.13e-03,7.99e-02
Config30-benchmarks-mt-vvadd.riscv,5.67e-02,7.02e-03,3.08e-03,6.68e-02
Config30-benchmarks-whetstone.riscv,5.75e-02,5.78e-03,3.10e-03,6.64e-02
Config31-benchmarks-mt-vvadd.riscv,7.68e-02,1.05e-02,4.12e-03,9.14e-02
Config31-benchmarks-whetstone.riscv,7.72e-02,8.86e-03,4.14e-03,9.02e-02
Config32-benchmarks-mt-vvadd.riscv,5.42e-02,7.50e-03,3.05e-03,6.47e-02
Config32-benchmarks-whetstone.riscv,5.45e-02,5.87e-03,3.07e-03,6.35e-02
Config33-benchmarks-mt-vvadd.riscv,6.71e-02,1.03e-02,3.50e-03,8.08e-02
Config33-benchmarks-whetstone.riscv,6.87e-02,9.52e-03,3.52e-03,8.17e-02
Config34-benchmarks-mt-vvadd.riscv,4.78e-02,6.35e-03,2.35e-03,5.65e-02
Config34-benchmarks-whetstone.riscv,4.91e-02,5.23e-03,2.36e-03,5.67e-02
Config35-benchmarks-mt-vvadd.riscv,8.08e-02,1.34e-02,4.40e-03,9.85e-02
Config35-benchmarks-whetstone.riscv,7.95e-02,1.08e-02,4.44e-03,9.47e-02
Config36-benchmarks-mt-vvadd.riscv,7.06e-02,1.05e-02,3.52e-03,8.46e-02
Config36-benchmarks-whetstone.riscv,7.27e-02,9.68e-03,3.54e-03,8.59e-02
Config37-benchmarks-mt-vvadd.riscv,6.09e-02,9.49e-03,3.03e-03,7.34e-02
Config37-benchmarks-whetstone.riscv,6.29e-02,9.30e-03,3.04e-03,7.53e-02
Config38-benchmarks-mt-vvadd.riscv,6.28e-02,8.56e-03,3.59e-03,7.49e-02
Config38-benchmarks-whetstone.riscv,6.18e-02,6.31e-03,3.62e-03,7.17e-02
Config39-benchmarks-mt-vvadd.riscv,7.04e-02,8.51e-03,4.02e-03,8.29e-02
Config39-benchmarks-whetstone.riscv,7.11e-02,7.08e-03,4.04e-03,8.22e-02
Config40-benchmarks-mt-vvadd.riscv,7.25e-02,1.14e-02,3.50e-03,8.74e-02
Config40-benchmarks-whetstone.riscv,7.20e-02,9.84e-03,3.52e-03,8.54e-02
Config41-benchmarks-mt-vvadd.riscv,6.28e-02,9.77e-03,3.19e-03,7.58e-02
Config41-benchmarks-whetstone.riscv,6.44e-02,9.29e-03,3.19e-03,7.69e-02
Config42-benchmarks-mt-vvadd.riscv,7.75e-02,1.22e-02,4.33e-03,9.40e-02
Config42-benchmarks-whetstone.riscv,7.69e-02,1.03e-02,4.35e-03,9.16e-02
Config43-benchmarks-mt-vvadd.riscv,8.81e-02,1.44e-02,4.68e-03,0.107
Config43-benchmarks-whetstone.riscv,8.37e-02,1.12e-02,4.73e-03,9.95e-02
Config44-benchmarks-mt-vvadd.riscv,4.94e-02,6.62e-03,2.51e-03,5.86e-02
Config44-benchmarks-whetstone.riscv,5.03e-02,5.58e-03,2.53e-03,5.84e-02
Config45-benchmarks-mt-vvadd.riscv,8.35e-02,1.16e-02,4.16e-03,9.93e-02
Config45-benchmarks-whetstone.riscv,8.32e-02,9.13e-03,4.19e-03,9.65e-02
Config46-benchmarks-mt-vvadd.riscv,7.38e-02,1.03e-02,4.74e-03,8.88e-02
Config46-benchmarks-whetstone.riscv,7.32e-02,8.05e-03,4.78e-03,8.60e-02
