fetchWidth,decodeWidth,numFetchBufferEntries,numRobEntries,numRasEntries,numIntPhysRegisters,numFpPhysRegisters,numLdqEntries,numStqEntries,maxBrCount,mem_issueWidth,int_issueWidth,fp_issueWidth,DCacheParams_nWays,DCacheParams_nMSHRs,DCacheParams_nTLBEntries,ICacheParams_nWays,ICacheParams_nTLBEntries,ICacheParams_fetchBytes,latency,power
8,2,16,64,24,48,48,8,8,12,1,1,1,4,8,16,2,32,4,41561.0,0.0706
8,2,16,128,16,48,48,16,16,20,1,3,1,2,2,16,4,32,4,41242.0,0.086
8,2,24,32,16,64,64,32,32,16,2,3,2,4,2,32,4,32,4,42557.0,0.0832
4,2,16,128,16,48,48,16,16,12,1,5,1,4,8,32,2,16,2,41495.0,0.0621
8,1,32,130,16,112,112,32,32,20,2,5,2,4,2,8,8,8,4,41460.0,0.0972
4,1,16,32,24,96,96,16,16,12,1,5,1,2,8,16,2,8,2,41699.0,0.0591
8,2,24,130,24,48,48,16,16,8,2,4,2,4,4,16,2,32,4,41240.0,0.0778
8,1,35,96,24,96,96,8,8,16,1,1,1,4,4,16,4,32,4,41730.0,0.0758
4,4,8,32,24,112,112,32,32,16,2,5,2,8,8,8,4,8,2,41387.0,0.10099999999999999
8,4,32,96,32,96,96,16,16,20,1,5,1,8,2,8,2,8,4,41198.0,0.102
4,2,8,32,24,48,48,8,8,20,2,3,2,2,8,16,8,8,2,41349.0,0.0646
8,1,40,96,24,96,96,24,24,8,2,2,2,2,4,16,8,32,4,41473.0,0.0799
4,1,35,64,24,48,48,24,24,20,1,1,1,8,2,8,8,16,2,41716.0,0.0554
4,1,40,128,24,96,96,24,24,16,1,1,1,2,2,32,8,8,2,41716.0,0.0636
8,1,24,64,32,48,48,8,8,12,2,5,2,4,4,8,2,8,4,41486.0,0.0742
4,4,40,32,16,112,112,32,32,8,2,4,2,2,2,32,4,16,2,41357.0,0.084
4,4,40,32,16,64,64,24,24,12,2,4,2,4,8,32,4,32,2,41355.0,0.0761
4,4,8,128,24,112,112,8,8,12,1,3,1,4,4,32,2,32,2,41456.0,0.0722
8,2,24,128,24,96,96,32,32,16,2,1,2,2,4,32,2,32,4,41268.0,0.0872
4,4,40,64,24,96,96,24,24,16,2,4,2,8,8,16,8,8,2,41210.0,0.0905
4,1,16,128,16,48,48,8,8,12,1,5,1,8,2,32,2,16,2,41707.0,0.0567
4,1,40,96,32,112,112,32,32,8,1,3,1,4,4,8,2,8,2,41694.0,0.0594
8,1,16,32,32,64,64,24,24,20,1,5,1,4,4,32,8,8,4,41679.0,0.0766
8,1,40,96,24,112,112,32,32,8,2,2,2,4,4,16,4,8,4,41473.0,0.0807
8,1,40,32,16,48,48,8,8,12,1,1,1,4,2,16,4,32,4,41739.0,0.0649
4,2,32,128,24,96,96,8,8,20,2,3,2,4,2,32,8,8,2,41264.0,0.0751
4,1,35,64,16,48,48,24,24,12,2,3,2,4,8,16,8,16,2,41485.0,0.0624
8,2,16,96,24,48,48,32,32,8,1,3,1,8,2,8,2,32,4,41447.0,0.0747
8,1,16,64,32,96,96,16,16,12,1,5,1,8,4,32,8,32,4,41679.0,0.0799
4,2,24,32,32,112,112,8,8,16,2,1,2,4,2,16,8,8,2,41393.0,0.0664
4,4,24,32,16,80,80,32,32,20,1,2,1,2,8,16,2,32,2,41538.0,0.0902
4,2,32,128,32,48,48,8,8,8,2,5,2,8,4,8,4,32,2,41285.0,0.0635
8,1,16,96,32,80,80,24,24,12,2,2,2,8,4,32,4,16,4,41464.0,0.0817
4,2,16,32,24,48,48,16,16,16,1,2,1,2,2,16,8,8,2,41536.0,0.0567
8,4,16,96,32,64,64,16,16,16,2,2,2,8,8,16,2,16,4,41092.0,0.0947
8,1,16,130,16,48,48,32,32,12,2,5,2,8,2,16,8,16,4,41461.0,0.0859
8,1,35,96,32,80,80,8,8,12,1,4,1,2,8,32,4,32,4,41705.0,0.0753
4,2,32,32,16,96,96,32,32,16,2,1,2,8,8,16,4,8,2,41336.0,0.0717
4,4,32,32,32,112,112,8,8,20,1,3,1,4,8,8,8,16,2,41548.0,0.0822
8,1,32,130,16,80,80,24,24,20,2,1,2,4,2,8,4,32,4,41488.0,0.0854
8,1,32,64,24,64,64,32,32,16,1,3,1,4,8,8,2,32,4,41682.0,0.0769
8,4,32,96,32,48,48,24,24,20,1,3,1,2,8,8,2,32,4,41581.0,0.0916
8,5,35,130,24,96,96,24,24,20,1,1,1,8,4,8,2,8,4,41307.0,0.0995
4,2,24,130,32,48,48,8,8,16,1,2,1,4,4,8,2,32,2,41531.0,0.0584
4,4,40,64,16,64,64,32,32,20,1,5,1,8,2,32,2,8,2,41423.0,0.0965
4,4,16,64,24,96,96,24,24,16,2,4,2,4,8,8,2,16,2,41183.0,0.086
4,2,40,130,16,112,112,24,24,8,1,1,1,8,8,8,8,32,2,41506.0,0.0647
8,4,24,96,24,64,64,16,16,8,2,2,2,2,2,32,4,16,4,41084.0,0.0833
4,1,40,32,32,80,80,8,8,8,1,5,1,4,2,16,8,8,2,41706.0,0.055
4,4,8,96,24,96,96,16,16,20,2,3,2,8,4,16,8,32,2,41195.0,0.0909
4,1,8,96,16,112,112,8,8,16,2,2,2,4,2,8,2,8,2,41502.0,0.0645
8,4,40,64,32,96,96,24,24,12,1,3,1,4,4,8,4,16,4,41318.0,0.0904
4,1,16,32,24,96,96,24,24,16,1,5,1,8,2,32,4,32,2,41689.0,0.0634
4,2,32,64,32,48,48,32,32,12,2,2,2,4,4,8,4,32,2,41275.0,0.0628
8,1,24,130,24,48,48,24,24,20,2,1,2,8,8,32,4,32,4,41495.0,0.0813
8,1,16,128,32,96,96,8,8,8,1,5,1,8,4,32,4,8,4,41700.0,0.0768
4,1,35,96,16,80,80,16,16,12,1,3,1,8,8,8,4,8,2,41698.0,0.0603
8,4,16,96,32,80,80,16,16,16,2,4,2,2,8,8,2,32,4,41023.0,0.099
4,4,24,64,24,80,80,8,8,20,2,1,2,8,4,8,2,32,2,41354.0,0.0795
8,1,24,32,24,48,48,24,24,8,2,5,2,8,4,16,8,32,4,41465.0,0.0784
8,1,35,32,24,64,64,8,8,8,1,2,1,2,4,16,4,8,4,41716.0,0.0658
4,1,8,64,32,48,48,24,24,12,1,3,1,4,8,32,2,16,2,41705.0,0.0547
4,4,32,64,32,64,64,8,8,20,2,3,2,4,8,8,2,32,2,41279.0,0.078
8,1,24,64,32,80,80,32,32,16,1,2,1,8,8,32,8,16,4,41701.0,0.0816
4,4,40,128,32,112,112,8,8,8,2,2,2,4,2,8,8,8,2,41203.0,0.0716
4,1,35,130,16,80,80,24,24,20,1,2,1,8,8,16,2,16,2,41699.0,0.0668
4,4,16,64,24,96,96,32,32,12,1,5,1,4,2,8,2,16,2,41359.0,0.0821
4,2,32,128,32,80,80,32,32,12,2,1,2,4,8,8,2,16,2,41289.0,0.0678
4,4,16,32,16,80,80,8,8,20,1,3,1,8,2,32,2,8,2,41560.0,0.0739
8,1,40,128,24,96,96,8,8,16,1,1,1,2,4,8,8,8,4,41738.0,0.0786
8,1,35,32,16,112,112,8,8,8,1,2,1,8,8,32,4,32,4,41724.0,0.0711
4,2,40,130,24,80,80,16,16,12,1,5,1,2,4,32,8,8,2,41400.0,0.067
4,1,32,32,24,64,64,24,24,20,1,1,1,4,4,16,8,8,2,41722.0,0.0556
4,1,35,64,24,80,80,24,24,8,1,2,1,8,4,32,2,32,2,41696.0,0.0551
8,1,16,130,32,64,64,16,16,20,2,3,2,2,4,8,2,16,4,41466.0,0.0781
4,4,40,64,24,80,80,32,32,8,1,2,1,8,2,32,8,16,2,41386.0,0.0775
4,4,40,128,24,112,112,24,24,8,2,4,2,2,4,16,2,16,2,41086.0,0.078
4,2,24,128,24,48,48,32,32,8,2,4,2,2,4,16,2,16,2,41253.0,0.0627
8,2,32,128,16,64,64,32,32,12,2,5,2,4,4,32,2,16,4,41179.0,0.0855
8,1,32,96,16,80,80,8,8,16,1,3,1,4,4,8,4,32,4,41699.0,0.0755
4,4,40,96,32,96,96,32,32,8,2,5,2,4,2,16,4,16,2,41154.0,0.0889
8,2,16,130,24,64,64,8,8,20,1,1,1,2,2,32,2,32,4,41528.0,0.0771
4,2,40,130,16,96,96,8,8,12,2,5,2,2,2,32,2,8,2,41265.0,0.0679
4,2,24,130,16,112,112,8,8,8,1,1,1,4,2,16,8,16,2,41579.0,0.0588
8,1,16,96,16,96,96,8,8,12,2,3,2,8,8,32,8,8,4,41491.0,0.0834
8,1,16,130,24,64,64,16,16,8,2,1,2,8,4,32,4,32,4,41482.0,0.0762
8,2,16,32,32,80,80,8,8,20,2,3,2,2,2,32,4,16,4,41299.0,0.083
4,1,8,130,32,64,64,32,32,16,1,1,1,2,4,32,4,16,2,41727.0,0.06
4,2,8,130,32,112,112,8,8,12,1,2,1,2,8,32,4,16,2,41525.0,0.0629
8,2,40,96,32,64,64,16,16,20,1,5,1,2,8,32,4,8,4,41377.0,0.0852
8,1,24,64,24,96,96,16,16,12,2,2,2,4,2,16,4,8,4,41472.0,0.0784
4,1,16,96,32,112,112,8,8,8,1,1,1,2,8,32,2,8,2,41746.0,0.0549
8,4,32,64,16,48,48,24,24,8,1,2,1,2,2,16,8,8,4,41600.0,0.0792
8,2,32,32,32,80,80,32,32,12,1,4,1,8,4,8,8,8,4,42665.0,0.0826
4,4,40,96,24,64,64,24,24,20,2,3,2,4,2,32,4,32,2,41159.0,0.0846
8,2,16,130,24,80,80,16,16,20,2,3,2,4,4,8,8,16,4,41200.0,0.092
8,1,16,96,32,96,96,8,8,16,1,2,1,4,8,32,4,32,4,41715.0,0.0782
4,1,16,32,24,80,80,8,8,16,2,3,2,2,4,32,8,32,2,41500.0,0.0621
4,2,40,32,32,48,48,16,16,20,1,1,1,2,2,8,4,8,2,41592.0,0.0572
4,1,32,130,24,48,48,32,32,12,2,4,2,8,4,16,2,8,2,41481.0,0.0662
8,2,24,32,16,48,48,32,32,16,2,5,2,4,4,8,4,32,4,41225.0,0.0832
8,1,35,96,24,80,80,32,32,16,2,5,2,8,8,32,2,16,4,41471.0,0.089
8,4,24,64,16,48,48,32,32,20,2,4,2,2,2,8,4,8,4,41401.0,0.106
8,1,16,130,32,96,96,16,16,8,1,5,1,2,8,8,8,16,4,41683.0,0.0806
8,4,24,128,32,48,48,24,24,8,1,5,1,8,8,32,2,16,4,41593.0,0.0865
4,1,32,128,24,80,80,24,24,20,2,1,2,4,4,16,2,16,2,41500.0,0.0686
4,2,32,130,16,80,80,8,8,16,1,1,1,8,2,8,4,32,2,41573.0,0.0619
8,4,32,96,32,64,64,8,8,8,2,4,2,8,4,16,2,32,4,41225.0,0.0852
4,2,24,32,24,48,48,32,32,20,2,5,2,8,8,16,8,8,2,41284.0,0.0736
4,4,8,96,32,80,80,24,24,16,1,3,1,4,2,16,4,8,2,41367.0,0.078
8,5,35,130,32,80,80,16,16,16,2,4,2,4,4,8,8,32,4,41026.0,0.124
8,2,16,96,32,48,48,8,8,12,1,1,1,4,4,8,2,16,4,41562.0,0.069
4,1,35,96,16,80,80,24,24,12,1,3,1,2,8,16,4,32,2,41698.0,0.0602
8,1,16,32,24,64,64,16,16,16,2,5,2,8,4,8,2,32,4,41466.0,0.0796
8,2,40,130,32,96,96,24,24,8,2,1,2,8,8,32,2,8,4,41282.0,0.0835
8,4,24,64,32,112,112,8,8,16,2,1,2,2,4,32,2,8,4,41301.0,0.0913
8,1,32,96,24,64,64,8,8,16,1,4,1,2,4,32,4,8,4,41699.0,0.075
4,1,24,96,32,80,80,8,8,20,2,3,2,2,2,16,8,8,2,41494.0,0.0667
8,4,40,128,24,48,48,8,8,16,2,3,2,4,2,8,8,16,4,41451.0,0.0889
8,2,32,130,32,64,64,8,8,8,1,3,1,8,8,16,8,16,4,41458.0,0.0775
4,4,40,128,16,112,112,8,8,8,1,3,1,4,8,8,4,16,2,41365.0,0.0688
4,2,16,64,32,64,64,8,8,16,2,1,2,8,8,32,4,16,2,41350.0,0.0648
8,1,35,130,16,80,80,24,24,8,2,4,2,4,8,32,2,32,4,41471.0,0.081
8,1,40,128,24,112,112,24,24,8,2,5,2,4,4,32,2,16,4,41467.0,0.0835
4,4,16,96,32,96,96,32,32,8,1,1,1,4,2,16,4,8,2,41347.0,0.0738
8,4,40,128,32,64,64,24,24,12,2,2,2,4,2,8,4,8,4,41078.0,0.0916
8,1,24,96,16,64,64,16,16,16,2,2,2,4,2,32,4,16,4,41472.0,0.0787
4,1,16,130,16,80,80,8,8,16,2,3,2,8,4,8,2,8,2,41500.0,0.0663
4,1,24,130,32,80,80,16,16,12,2,1,2,4,4,16,8,32,2,41500.0,0.0638
8,1,35,32,24,96,96,8,8,12,1,4,1,2,2,32,2,8,4,41695.0,0.0717
8,2,40,128,32,112,112,8,8,12,2,3,2,2,4,8,8,16,4,41280.0,0.0863
