id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
alias,SmallBoomSEConfig,SmallBoomConfig,SmallBoomProConfig,MediumBoomSEConfig,MediumBoomConfig,MediumBoomProConfig,LargeBoomSEConfig,LargeBoomConfig,LargeBoomProConfig,MegaBoomSEConfig,MegaBoomConfig,MegaBoomProConfig,GigaBoomSEConfig,GigaBoomConfig,GigaBoomProConfig
fetchWidth,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8 
decodeWidth,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5 
numFetchBufferEntries,5,8,16,8,16,24,18,24,30,24,32,40,30,35,40 
numRobEntries,16,32,48,64,64,80,81,96,114,112,128,136,125,130,140 
numRasEntries,4,32,12,16,32,24,16,32,24,24,32,32,32,32,36 
numIntPhysRegisters,36,52,68,64,80,88,88,100,112,108,128,136,108,128,140 
numFpPhysRegisters,36,48,56,56,64,72,88,96,112,108,128,136,108,128,140 
numLdqEntries,4,8,16,12,16,20,16,24,32,24,32,36,24,32,36 
numStqEntries,4,8,16,12,16,20,16,24,32,24,32,36,24,32,36 
maxBrCount,6,8,10,10,12,14,14,16,16,18,20,20,18,20,22 
mem_issueWidth,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2 
int_issueWidth,1,1,2,1,2,2,3,3,3,4,4,4,5,5,5 
fp_issueWidth,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2 
DCacheParams_nWays,2,4,8,4,4,8,8,8,8,8,8,8,8,8,8
DCacheParams_nMSHRs,2,2,4,2,2,4,4,4,4,4,8,8,8,8,8
DCacheParams_nTLBEntries,8,8,16,8,8,16,16,16,32,32,32,32,32,32,32
ICacheParams_nWays,2,4,4,4,4,4,8,8,8,8,8,8,8,8,8
ICacheParams_nTLBEntries,8,8,16,8,8,16,16,16,32,32,32,32,32,32,32 
ICacheParams_fetchBytes,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4
