Configure,Int Power,Switch Power,Leak Power,Total Power
ASPLOS06Config1-benchmarks-mt-vvadd.riscv,4.35e-02,6.56e-03,2.14e-03,5.22e-02
ASPLOS06Config1-benchmarks-whetstone.riscv,4.43e-02,5.61e-03,2.15e-03,5.21e-02
ASPLOS06Config4-benchmarks-mt-vvadd.riscv,4.55e-02,6.93e-03,2.38e-03,5.48e-02
ASPLOS06Config4-benchmarks-whetstone.riscv,4.60e-02,5.95e-03,2.39e-03,5.44e-02
ASPLOS06Config5-benchmarks-mt-vvadd.riscv,4.74e-02,6.96e-03,2.56e-03,5.69e-02
ASPLOS06Config5-benchmarks-whetstone.riscv,4.89e-02,5.95e-03,2.57e-03,5.75e-02
ASPLOS06Config8-benchmarks-mt-vvadd.riscv,4.28e-02,6.48e-03,2.12e-03,5.14e-02
ASPLOS06Config8-benchmarks-whetstone.riscv,4.38e-02,5.61e-03,2.13e-03,5.15e-02
ASPLOS06Config10-benchmarks-mt-vvadd.riscv,4.03e-02,6.25e-03,1.96e-03,4.85e-02
ASPLOS06Config10-benchmarks-whetstone.riscv,4.15e-02,5.44e-03,1.97e-03,4.90e-02
