Configure,Int Power,Switch Power,Leak Power,Total Power
DAC16Config1-benchmarks-mt-vvadd.riscv,5.47e-02,7.31e-03,3.16e-03,6.52e-02
DAC16Config1-benchmarks-whetstone.riscv,5.52e-02,6.07e-03,3.18e-03,6.45e-02
DAC16Config3-benchmarks-mt-vvadd.riscv,5.51e-02,7.40e-03,3.59e-03,6.61e-02
DAC16Config3-benchmarks-whetstone.riscv,5.56e-02,6.32e-03,3.61e-03,6.55e-02
DAC16Config4-benchmarks-mt-vvadd.riscv,4.76e-02,7.29e-03,2.51e-03,5.74e-02
DAC16Config4-benchmarks-whetstone.riscv,4.80e-02,5.82e-03,2.53e-03,5.63e-02
DAC16Config5-benchmarks-mt-vvadd.riscv,5.37e-02,7.26e-03,3.09e-03,6.41e-02
DAC16Config5-benchmarks-whetstone.riscv,5.46e-02,5.94e-03,3.11e-03,6.37e-02
DAC16Config6-benchmarks-mt-vvadd.riscv,5.42e-02,7.57e-03,2.99e-03,6.47e-02
DAC16Config6-benchmarks-whetstone.riscv,5.30e-02,5.69e-03,3.02e-03,6.18e-02
DAC16Config7-benchmarks-mt-vvadd.riscv,5.33e-02,6.86e-03,2.97e-03,6.31e-02
DAC16Config7-benchmarks-whetstone.riscv,5.53e-02,6.15e-03,2.98e-03,6.45e-02
DAC16Config8-benchmarks-mt-vvadd.riscv,5.76e-02,6.45e-03,2.90e-03,6.70e-02
DAC16Config8-benchmarks-whetstone.riscv,5.92e-02,5.85e-03,2.92e-03,6.80e-02
DAC16Config10-benchmarks-mt-vvadd.riscv,5.28e-02,7.37e-03,2.97e-03,6.32e-02
DAC16Config10-benchmarks-whetstone.riscv,5.29e-02,5.76e-03,2.98e-03,6.17e-02
