Configure,Int Power,Switch Power,Leak Power,Total Power
HPCA07Config1-benchmarks-mt-vvadd.riscv,4.67e-02,6.97e-03,2.42e-03,5.61e-02
HPCA07Config1-benchmarks-whetstone.riscv,4.80e-02,5.50e-03,2.43e-03,5.59e-02
HPCA07Config4-benchmarks-mt-vvadd.riscv,5.18e-02,7.46e-03,2.69e-03,6.19e-02
HPCA07Config4-benchmarks-whetstone.riscv,5.08e-02,5.80e-03,2.71e-03,5.93e-02
HPCA07Config5-benchmarks-mt-vvadd.riscv,4.40e-02,6.55e-03,2.26e-03,5.28e-02
HPCA07Config5-benchmarks-whetstone.riscv,4.42e-02,5.11e-03,2.28e-03,5.16e-02
HPCA07Config8-benchmarks-mt-vvadd.riscv,4.94e-02,7.38e-03,2.49e-03,5.93e-02
HPCA07Config8-benchmarks-whetstone.riscv,4.86e-02,5.72e-03,2.51e-03,5.68e-02
HPCA07Config9-benchmarks-mt-vvadd.riscv,4.82e-02,6.83e-03,2.49e-03,5.75e-02
HPCA07Config9-benchmarks-whetstone.riscv,4.80e-02,5.52e-03,2.50e-03,5.60e-02
