Configure,Cycles
chipyard.TestHarness.BOOMLRConfig1Config-ChipTop-mt-vvadd.riscv,125595
chipyard.TestHarness.BOOMLRConfig1Config-ChipTop-whetstone.riscv,41517
chipyard.TestHarness.BOOMLRConfig2Config-ChipTop-mt-vvadd.riscv,125673
chipyard.TestHarness.BOOMLRConfig2Config-ChipTop-whetstone.riscv,42164
chipyard.TestHarness.BOOMLRConfig3Config-ChipTop-mt-vvadd.riscv,125673
chipyard.TestHarness.BOOMLRConfig3Config-ChipTop-whetstone.riscv,42164
chipyard.TestHarness.BOOMLRConfig4Config-ChipTop-mt-vvadd.riscv,125673
chipyard.TestHarness.BOOMLRConfig4Config-ChipTop-whetstone.riscv,42164
chipyard.TestHarness.BOOMLRConfig5Config-ChipTop-mt-vvadd.riscv,125673
chipyard.TestHarness.BOOMLRConfig5Config-ChipTop-whetstone.riscv,42164
chipyard.TestHarness.BOOMLRConfig6Config-ChipTop-mt-vvadd.riscv,125673
chipyard.TestHarness.BOOMLRConfig6Config-ChipTop-whetstone.riscv,42164
chipyard.TestHarness.BOOMLRConfig7Config-ChipTop-mt-vvadd.riscv,125673
chipyard.TestHarness.BOOMLRConfig7Config-ChipTop-whetstone.riscv,42164
chipyard.TestHarness.BOOMLRConfig9Config-ChipTop-mt-vvadd.riscv,125673
chipyard.TestHarness.BOOMLRConfig9Config-ChipTop-whetstone.riscv,42164
chipyard.TestHarness.BOOMLRConfig11Config-ChipTop-mt-vvadd.riscv,125673
chipyard.TestHarness.BOOMLRConfig11Config-ChipTop-whetstone.riscv,42164
