Configure,Int Power,Switch Power,Leak Power,Total Power
LRConfig1-benchmarks-mt-vvadd.riscv,4.06e-02,6.15e-03,2.18e-03,4.89e-02
LRConfig1-benchmarks-whetstone.riscv,4.20e-02,5.30e-03,2.19e-03,4.95e-02
LRConfig2-benchmarks-mt-vvadd.riscv,4.42e-02,6.65e-03,2.58e-03,5.34e-02
LRConfig2-benchmarks-whetstone.riscv,4.54e-02,5.78e-03,2.59e-03,5.38e-02
LRConfig3-benchmarks-mt-vvadd.riscv,4.44e-02,6.67e-03,2.61e-03,5.37e-02
LRConfig3-benchmarks-whetstone.riscv,4.55e-02,5.78e-03,2.62e-03,5.39e-02
LRConfig4-benchmarks-mt-vvadd.riscv,4.43e-02,6.67e-03,2.60e-03,5.36e-02
LRConfig4-benchmarks-whetstone.riscv,4.55e-02,5.80e-03,2.61e-03,5.39e-02
LRConfig5-benchmarks-mt-vvadd.riscv,4.42e-02,6.67e-03,2.59e-03,5.35e-02
LRConfig5-benchmarks-whetstone.riscv,4.54e-02,5.78e-03,2.60e-03,5.38e-02
LRConfig6-benchmarks-mt-vvadd.riscv,4.42e-02,6.67e-03,2.59e-03,5.35e-02
LRConfig6-benchmarks-whetstone.riscv,4.55e-02,5.79e-03,2.60e-03,5.38e-02
LRConfig7-benchmarks-mt-vvadd.riscv,4.42e-02,6.66e-03,2.58e-03,5.34e-02
LRConfig7-benchmarks-whetstone.riscv,4.54e-02,5.78e-03,2.59e-03,5.37e-02
LRConfig9-benchmarks-mt-vvadd.riscv,4.43e-02,6.66e-03,2.60e-03,5.36e-02
LRConfig9-benchmarks-whetstone.riscv,4.55e-02,5.77e-03,2.62e-03,5.38e-02
LRConfig11-benchmarks-mt-vvadd.riscv,4.43e-02,6.67e-03,2.59e-03,5.35e-02
LRConfig11-benchmarks-whetstone.riscv,4.54e-02,5.78e-03,2.60e-03,5.38e-02
