Configure,Area
chipyard.TestHarness.BOOMXGBConfig1Config-ChipTop,2314606
chipyard.TestHarness.BOOMXGBConfig2Config-ChipTop,1978201
chipyard.TestHarness.BOOMXGBConfig3Config-ChipTop,1980135
chipyard.TestHarness.BOOMXGBConfig4Config-ChipTop,1912048
chipyard.TestHarness.BOOMXGBConfig5Config-ChipTop,1926489
chipyard.TestHarness.BOOMXGBConfig6Config-ChipTop,1914668
chipyard.TestHarness.BOOMXGBConfig7Config-ChipTop,1861122
chipyard.TestHarness.BOOMXGBConfig8Config-ChipTop,2111472
chipyard.TestHarness.BOOMXGBConfig9Config-ChipTop,2112084
chipyard.TestHarness.BOOMXGBConfig10Config-ChipTop,1928496
chipyard.TestHarness.BOOMXGBConfig11Config-ChipTop,1862205
