Configure,Cycles
chipyard.TestHarness.BOOMXGBConfig1Config-ChipTop-mt-vvadd.riscv,109027
chipyard.TestHarness.BOOMXGBConfig1Config-ChipTop-whetstone.riscv,41113
chipyard.TestHarness.BOOMXGBConfig2Config-ChipTop-mt-vvadd.riscv,100750
chipyard.TestHarness.BOOMXGBConfig2Config-ChipTop-whetstone.riscv,41446
chipyard.TestHarness.BOOMXGBConfig3Config-ChipTop-mt-vvadd.riscv,100750
chipyard.TestHarness.BOOMXGBConfig3Config-ChipTop-whetstone.riscv,41446
chipyard.TestHarness.BOOMXGBConfig4Config-ChipTop-mt-vvadd.riscv,100750
chipyard.TestHarness.BOOMXGBConfig4Config-ChipTop-whetstone.riscv,41446
chipyard.TestHarness.BOOMXGBConfig5Config-ChipTop-mt-vvadd.riscv,101629
chipyard.TestHarness.BOOMXGBConfig5Config-ChipTop-whetstone.riscv,41462
chipyard.TestHarness.BOOMXGBConfig6Config-ChipTop-mt-vvadd.riscv,100750
chipyard.TestHarness.BOOMXGBConfig6Config-ChipTop-whetstone.riscv,41446
chipyard.TestHarness.BOOMXGBConfig7Config-ChipTop-mt-vvadd.riscv,101629
chipyard.TestHarness.BOOMXGBConfig7Config-ChipTop-whetstone.riscv,41462
chipyard.TestHarness.BOOMXGBConfig8Config-ChipTop-mt-vvadd.riscv,100750
chipyard.TestHarness.BOOMXGBConfig8Config-ChipTop-whetstone.riscv,41446
chipyard.TestHarness.BOOMXGBConfig9Config-ChipTop-mt-vvadd.riscv,100750
chipyard.TestHarness.BOOMXGBConfig9Config-ChipTop-whetstone.riscv,41446
chipyard.TestHarness.BOOMXGBConfig10Config-ChipTop-mt-vvadd.riscv,101629
chipyard.TestHarness.BOOMXGBConfig10Config-ChipTop-whetstone.riscv,41462
chipyard.TestHarness.BOOMXGBConfig11Config-ChipTop-mt-vvadd.riscv,101629
chipyard.TestHarness.BOOMXGBConfig11Config-ChipTop-whetstone.riscv,41462
