Configure,Int Power,Switch Power,Leak Power,Total Power
GigaBoomProConfig-benchmarks-minver.riscv,2.81e-02,2.60e-03,7.34e-03,3.81e-02
GigaBoomProConfig-benchmarks-h264_dec.riscv,3.42e-02,7.21e-03,7.42e-03,4.88e-02
GigaBoomProConfig-benchmarks-vvadd.riscv,3.06e-02,4.34e-03,7.38e-03,4.23e-02
GigaBoomProConfig-benchmarks-recursion.riscv,2.84e-02,2.68e-03,7.33e-03,3.84e-02
GigaBoomProConfig-benchmarks-tarai.riscv,2.82e-02,2.54e-03,7.33e-03,3.80e-02
GigaBoomProConfig-benchmarks-towers.riscv,3.28e-02,5.85e-03,7.41e-03,4.60e-02
GigaBoomProConfig-benchmarks-complex_updates.riscv,2.79e-02,2.34e-03,7.34e-03,3.75e-02
GigaBoomProConfig-benchmarks-huff_dec.riscv,3.73e-02,8.76e-03,7.48e-03,5.35e-02
GigaBoomProConfig-benchmarks-mt-matmul.riscv,3.29e-02,5.52e-03,7.41e-03,4.59e-02
GigaBoomProConfig-benchmarks-prime.riscv,2.89e-02,3.03e-03,7.39e-03,3.93e-02
GigaBoomProConfig-benchmarks-median.riscv,3.25e-02,5.73e-03,7.42e-03,4.57e-02
GigaBoomProConfig-benchmarks-statemate.riscv,3.44e-02,6.55e-03,7.41e-03,4.84e-02
GigaBoomProConfig-benchmarks-martrix_mult.riscv,3.61e-02,7.58e-03,7.52e-03,5.12e-02
GigaBoomProConfig-benchmarks-multiply.riscv,3.51e-02,6.98e-03,7.45e-03,4.95e-02
GigaBoomProConfig-benchmarks-rv64ui-p-slti_200,3.62e-02,7.46e-03,7.36e-03,5.10e-02
GigaBoomProConfig-benchmarks-rv64ui-p-bltu_200,3.71e-02,8.22e-03,7.37e-03,5.27e-02
GigaBoomProConfig-benchmarks-rv64ui-p-and_200,3.74e-02,8.39e-03,7.38e-03,5.32e-02
GigaBoomProConfig-benchmarks-rv64ud-p-fcmp_200,2.99e-02,3.72e-03,7.37e-03,4.10e-02
GigaBoomProConfig-benchmarks-rv64ui-p-srl_200,3.70e-02,8.23e-03,7.38e-03,5.26e-02
GigaBoomProConfig-benchmarks-bitcount.riscv,3.10e-02,4.69e-03,7.41e-03,4.31e-02
GigaBoomProConfig-benchmarks-add_int_large.riscv,3.54e-02,6.72e-03,7.52e-03,4.96e-02
GigaBoomProConfig-benchmarks-mt-vvadd.riscv,3.04e-02,4.34e-03,7.39e-03,4.21e-02
GigaBoomProConfig-benchmarks-spmv.riscv,2.93e-02,3.73e-03,7.36e-03,4.03e-02
GigaBoomProConfig-benchmarks-duff.riscv,2.80e-02,2.43e-03,7.33e-03,3.77e-02
GigaBoomProConfig-benchmarks-compress.riscv,2.83e-02,2.98e-03,7.34e-03,3.87e-02
GigaBoomProConfig-benchmarks-dhrystone.riscv,3.98e-02,1.08e-02,7.48e-03,5.80e-02
GigaBoomProConfig-benchmarks-petrinet.riscv,2.94e-02,3.53e-03,7.35e-03,4.03e-02
GigaBoomProConfig-benchmarks-sqrt.riscv,3.11e-02,4.18e-03,7.54e-03,4.28e-02
GigaBoomProConfig-benchmarks-mm.riscv,3.82e-02,8.41e-03,7.58e-03,5.42e-02
GigaBoomProConfig-benchmarks-matrix1.riscv,5.486,0.932,7.27e-03,6.426
GigaBoomProConfig-benchmarks-hello_world.riscv,3.65e-02,7.37e-03,7.51e-03,5.13e-02
GigaBoomProConfig-benchmarks-qsort.riscv,2.82e-02,6.33e-03,7.55e-03,4.21e-02
GigaBoomProConfig-benchmarks-rsort.riscv,4.13e-02,1.13e-02,7.49e-03,6.01e-02
GigaBoomProConfig-benchmarks-frac.riscv,3.08e-02,4.18e-03,7.42e-03,4.24e-02
GigaBoomProConfig-benchmarks-rv64ui-p-fence_i_200,3.08e-02,3.08e-03,7.38e-03,4.13e-02
GigaBoomProConfig-benchmarks-rv64ui-p-xori_200,3.68e-02,7.97e-03,7.39e-03,5.21e-02
GigaBoomProConfig-benchmarks-whetstone.riscv,2.93e-02,3.42e-03,7.45e-03,4.02e-02
GigaBoomProConfig-benchmarks-rv64um-p-mulw_200,3.62e-02,7.60e-03,7.37e-03,5.11e-02
GigaBoomProConfig-benchmarks-rv64ui-p-slt_200,3.63e-02,7.88e-03,7.37e-03,5.16e-02
GigaBoomProConfig-benchmarks-countnegative.riscv,2.96e-02,3.65e-03,7.40e-03,4.06e-02
GigaBoomProConfig-benchmarks-fmref.riscv,3.72e-02,7.87e-03,7.60e-03,5.27e-02
GigaBoomProConfig-benchmarks-rv64ua-p-amoadd_d_200,2.97e-02,3.58e-03,7.39e-03,4.07e-02
GigaBoomProConfig-benchmarks-rv64ua-p-amoand_d_200,2.95e-02,3.27e-03,7.37e-03,4.01e-02
GigaBoomProConfig-benchmarks-iir.riscv,2.80e-02,2.43e-03,7.33e-03,3.78e-02
GigaBoomProConfig-benchmarks-adpcm_dec.riscv,3.11e-02,4.09e-03,7.52e-03,4.27e-02
GigaBoomProConfig-benchmarks-rv64ui-p-slli_200,3.66e-02,7.78e-03,7.37e-03,5.17e-02
GigaBoomProConfig-benchmarks-rv64ui-p-add_200,3.63e-02,7.86e-03,7.38e-03,5.16e-02
GigaBoomProConfig-benchmarks-rv64ui-p-sub_200,3.66e-02,8.09e-03,7.37e-03,5.21e-02
GigaBoomProConfig-benchmarks-add_fp_large.riscv,2.93e-02,3.17e-03,7.37e-03,3.99e-02
GigaBoomProConfig-benchmarks-ndes.riscv,3.36e-02,6.60e-03,7.44e-03,4.77e-02
GigaBoomProConfig-benchmarks-hello_world_large.riscv,3.71e-02,7.67e-03,7.52e-03,5.23e-02
GigaBoomProConfig-benchmarks-rv64ua-p-amomax_d_200,2.93e-02,3.26e-03,7.37e-03,4.00e-02
GigaBoomProConfig-benchmarks-rv64ui-p-or_200,3.76e-02,8.59e-03,7.39e-03,5.36e-02
GigaBoomProConfig-benchmarks-fibonacci.riscv,3.43e-02,6.31e-03,7.41e-03,4.80e-02
GigaBoomProConfig-benchmarks-qurt.riscv,3.17e-02,4.45e-03,7.55e-03,4.37e-02
GigaBoomProConfig-benchmarks-rv64ua-p-amomin_d_200,2.94e-02,3.38e-03,7.37e-03,4.02e-02
GigaBoomProConfig-benchmarks-rv64ua-p-amoor_d_200,2.94e-02,3.31e-03,7.37e-03,4.01e-02
GigaBoomProConfig-benchmarks-rv64ua-p-amoswap_d_200,2.95e-02,3.31e-03,7.37e-03,4.02e-02
GigaBoomProConfig-benchmarks-rv64ua-p-amoxor_d_200,2.94e-02,3.32e-03,7.37e-03,4.01e-02
GigaBoomProConfig-benchmarks-basicmath_small.riscv,3.39e-02,6.49e-03,7.54e-03,4.79e-02
GigaBoomProConfig-benchmarks-rv64ui-p-lh_200,3.69e-02,7.93e-03,7.38e-03,5.22e-02
GigaBoomProConfig-benchmarks-rv64ui-p-srai_200,3.74e-02,8.50e-03,7.41e-03,5.33e-02
GigaBoomProConfig-benchmarks-rv64ui-p-ld_200,3.83e-02,8.75e-03,7.42e-03,5.44e-02
GigaBoomProConfig-benchmarks-rv64ui-p-sb_200,3.68e-02,8.73e-03,7.42e-03,5.30e-02
GigaBoomProConfig-benchmarks-insertsort.riscv,2.80e-02,2.39e-03,7.33e-03,3.77e-02
GigaBoomProConfig-benchmarks-rv64ui-p-auipc_200,3.70e-02,5.87e-03,7.36e-03,5.02e-02
GigaBoomProConfig-benchmarks-rv64ud-p-fclass_200,3.90e-02,8.17e-03,7.38e-03,5.45e-02
GigaBoomProConfig-benchmarks-rv64ui-p-jal_200,3.45e-02,4.59e-03,7.32e-03,4.64e-02
GigaBoomProConfig-benchmarks-binarysearch.riscv,3.00e-02,3.97e-03,7.43e-03,4.14e-02
GigaBoomProConfig-benchmarks-ns.riscv,2.72e-02,2.11e-03,7.32e-03,3.66e-02
GigaBoomProConfig-benchmarks-rv64ui-p-lui_200,3.51e-02,5.41e-03,7.33e-03,4.78e-02
GigaBoomProConfig-benchmarks-fir2dim.riscv,2.89e-02,3.09e-03,7.35e-03,3.93e-02
GigaBoomProConfig-benchmarks-reduce_array.riscv,2.66e-02,2.09e-03,7.32e-03,3.60e-02
GigaBoomProConfig-benchmarks-rv64ui-p-jalr_200,3.63e-02,6.80e-03,7.35e-03,5.04e-02
GigaBoomProConfig-benchmarks-add_fp.riscv,2.93e-02,3.16e-03,7.37e-03,3.98e-02
GigaBoomProConfig-benchmarks-crc.riscv,3.26e-02,5.87e-03,7.42e-03,4.59e-02
GigaBoomProConfig-benchmarks-cnt.riscv,2.93e-02,3.67e-03,7.38e-03,4.04e-02
GigaBoomProConfig-benchmarks-rv64ud-p-structural_200,4.15e-02,8.70e-03,7.40e-03,5.76e-02
GigaBoomProConfig-benchmarks-rv64ui-p-srli_200,3.70e-02,8.12e-03,7.38e-03,5.25e-02
GigaBoomProConfig-benchmarks-rv64um-p-mul_200,3.67e-02,7.88e-03,7.38e-03,5.20e-02
GigaBoomProConfig-benchmarks-rv64ui-p-xor_200,3.75e-02,8.47e-03,7.39e-03,5.33e-02
GigaBoomProConfig-benchmarks-add_int.riscv,3.54e-02,6.75e-03,7.52e-03,4.97e-02
GigaBoomProConfig-benchmarks-select.riscv,2.87e-02,2.92e-03,7.34e-03,3.90e-02
GigaBoomProConfig-benchmarks-rv64ui-p-andi_200,3.64e-02,7.54e-03,7.37e-03,5.13e-02
GigaBoomProConfig-benchmarks-rv64ui-p-addi_200,3.65e-02,7.72e-03,7.38e-03,5.16e-02
GigaBoomProConfig-benchmarks-jfdcint.riscv,2.83e-02,2.60e-03,7.34e-03,3.82e-02
GigaBoomProConfig-benchmarks-lms.riscv,3.66e-02,7.79e-03,7.56e-03,5.19e-02
GigaBoomProConfig-benchmarks-bubblesort.riscv,3.77e-02,9.07e-03,7.54e-03,5.43e-02
GigaBoomProConfig-benchmarks-rv64ui-p-ori_200,3.68e-02,7.96e-03,7.39e-03,5.21e-02
GigaBoomProConfig-benchmarks-expint.riscv,2.85e-02,2.70e-03,7.44e-03,3.87e-02
GigaBoomProConfig-benchmarks-rv64ui-p-sll_200,3.67e-02,8.10e-03,7.38e-03,5.22e-02
GigaBoomProConfig-benchmarks-rv64ud-p-fmin_200,2.95e-02,3.51e-03,7.38e-03,4.04e-02
GigaBoomProConfig-benchmarks-st.riscv,3.22e-02,5.07e-03,7.50e-03,4.48e-02
GigaBoomProConfig-benchmarks-mergesort.riscv,4.25e-02,1.27e-02,7.54e-03,6.27e-02
GigaBoomProConfig-benchmarks-rv64ud-p-fcvt_200,2.96e-02,3.39e-03,7.37e-03,4.03e-02
GigaBoomProConfig-benchmarks-rv64ui-p-lw_200,3.70e-02,8.07e-03,7.39e-03,5.24e-02
GigaBoomProConfig-benchmarks-rv64ui-p-sra_200,3.72e-02,8.73e-03,7.41e-03,5.34e-02
GigaBoomProConfig-benchmarks-rv64ui-p-sh_200,3.71e-02,8.86e-03,7.43e-03,5.34e-02
GigaBoomProConfig-benchmarks-cjpeg_wrbmp.riscv,3.15e-02,5.37e-03,7.44e-03,4.43e-02
GigaBoomProConfig-benchmarks-lift.riscv,4.29e-02,1.24e-02,7.47e-03,6.28e-02
GigaBoomProConfig-benchmarks-rv64ui-p-bne_200,3.59e-02,7.47e-03,7.36e-03,5.08e-02
GigaBoomProConfig-benchmarks-rv64ui-p-lb_200,3.64e-02,7.60e-03,7.37e-03,5.14e-02
GigaBoomProConfig-benchmarks-rv64ui-p-blt_200,3.64e-02,7.87e-03,7.38e-03,5.16e-02
GigaBoomProConfig-benchmarks-rv64ud-p-fadd_200,2.95e-02,3.49e-03,7.38e-03,4.04e-02
GigaBoomProConfig-benchmarks-edn.riscv,3.75e-02,9.36e-03,7.46e-03,5.43e-02
GigaBoomProConfig-benchmarks-rv64ui-p-sw_200,3.74e-02,9.04e-03,7.42e-03,5.39e-02
GigaBoomProConfig-benchmarks-rv64ui-p-sd_200,3.77e-02,8.88e-03,7.41e-03,5.40e-02
GigaBoomProConfig-benchmarks-branchy_large.riscv,2.78e-02,2.21e-03,7.32e-03,3.73e-02
GigaBoomProConfig-benchmarks-fft.riscv,3.33e-02,5.67e-03,7.55e-03,4.65e-02
GigaBoomProConfig-benchmarks-rv64ud-p-fcvt_w_200,3.04e-02,3.93e-03,7.43e-03,4.17e-02
GigaBoomProConfig-benchmarks-rv64ud-p-move_200,4.46e-02,1.17e-02,7.52e-03,6.38e-02
GigaBoomProConfig-benchmarks-branchy.riscv,2.78e-02,2.21e-03,7.32e-03,3.73e-02
GigaBoomProConfig-benchmarks-cover.riscv,2.78e-02,2.22e-03,7.32e-03,3.73e-02
GigaBoomProConfig-benchmarks-bsort.riscv,3.89e-02,1.07e-02,7.47e-03,5.71e-02
GigaBoomProConfig-benchmarks-levenshtein.riscv,3.80e-02,8.96e-03,7.46e-03,5.44e-02
GigaBoomProConfig-benchmarks-fac.riscv,2.78e-02,2.23e-03,7.32e-03,3.73e-02
GigaBoomProConfig-benchmarks-bitonic.riscv,3.04e-02,4.23e-03,7.37e-03,4.20e-02
GigaBoomProConfig-benchmarks-ludcmp.riscv,2.71e-02,2.28e-03,7.32e-03,3.67e-02
GigaBoomProConfig-benchmarks-adpcm_enc.riscv,3.05e-02,3.59e-03,7.52e-03,4.16e-02
GigaBoomConfig-benchmarks-st.riscv,3.00e-02,4.95e-03,6.83e-03,4.18e-02
GigaBoomConfig-benchmarks-rv64ui-p-lw_200,3.47e-02,7.76e-03,6.72e-03,4.92e-02
GigaBoomConfig-benchmarks-frac.riscv,2.86e-02,4.02e-03,6.75e-03,3.94e-02
GigaBoomConfig-benchmarks-fmref.riscv,3.44e-02,7.42e-03,6.92e-03,4.88e-02
GigaBoomConfig-benchmarks-vvadd.riscv,2.86e-02,4.21e-03,6.71e-03,3.95e-02
GigaBoomConfig-benchmarks-towers.riscv,3.06e-02,5.60e-03,6.74e-03,4.30e-02
GigaBoomConfig-benchmarks-rv64ui-p-jal_200,3.24e-02,4.39e-03,6.65e-03,4.34e-02
GigaBoomConfig-benchmarks-rv64ud-p-fclass_200,3.66e-02,7.86e-03,6.71e-03,5.12e-02
GigaBoomConfig-benchmarks-cnt.riscv,2.74e-02,3.61e-03,6.70e-03,3.77e-02
GigaBoomConfig-benchmarks-fft.riscv,2.57e-02,4.59e-03,6.87e-03,3.72e-02
GigaBoomConfig-benchmarks-mt-matmul.riscv,3.09e-02,5.36e-03,6.73e-03,4.30e-02
GigaBoomConfig-benchmarks-median.riscv,3.04e-02,5.54e-03,6.75e-03,4.27e-02
GigaBoomConfig-benchmarks-basicmath_small.riscv,3.17e-02,6.23e-03,6.87e-03,4.48e-02
GigaBoomConfig-benchmarks-multiply.riscv,3.30e-02,6.76e-03,6.77e-03,4.65e-02
GigaBoomConfig-benchmarks-whetstone.riscv,2.73e-02,3.35e-03,6.78e-03,3.75e-02
GigaBoomConfig-benchmarks-mt-vvadd.riscv,2.83e-02,4.19e-03,6.71e-03,3.92e-02
GigaBoomConfig-benchmarks-edn.riscv,3.52e-02,9.01e-03,6.78e-03,5.10e-02
GigaBoomConfig-benchmarks-spmv.riscv,2.96e-02,5.10e-03,6.72e-03,4.15e-02
GigaBoomConfig-benchmarks-add_int.riscv,3.30e-02,6.45e-03,6.84e-03,4.63e-02
GigaBoomConfig-benchmarks-dhrystone.riscv,3.73e-02,1.03e-02,6.80e-03,5.44e-02
GigaBoomConfig-benchmarks-h264_dec.riscv,3.18e-02,6.80e-03,6.74e-03,4.54e-02
GigaBoomConfig-benchmarks-rv64ui-p-jalr_200,3.41e-02,6.55e-03,6.68e-03,4.73e-02
GigaBoomConfig-benchmarks-qsort.riscv,3.35e-02,7.67e-03,6.84e-03,4.80e-02
GigaBoomConfig-benchmarks-rsort.riscv,3.70e-02,9.65e-03,6.79e-03,5.34e-02
GigaBoomConfig-benchmarks-add_int_large.riscv,3.30e-02,6.42e-03,6.84e-03,4.63e-02
GigaBoomConfig-benchmarks-mm.riscv,3.56e-02,8.06e-03,6.89e-03,5.06e-02
GigaBoomConfig-benchmarks-expint.riscv,2.65e-02,2.67e-03,6.76e-03,3.60e-02
GigaBoomConfig-benchmarks-add_fp_large.riscv,2.74e-02,3.08e-03,6.70e-03,3.71e-02
GigaBoomConfig-benchmarks-bubblesort.riscv,3.30e-02,7.42e-03,6.81e-03,4.73e-02
GigaBoomConfig-benchmarks-add_fp.riscv,2.74e-02,3.08e-03,6.70e-03,3.71e-02
GigaBoomConfig-benchmarks-adpcm_enc.riscv,2.73e-02,3.03e-03,6.80e-03,3.72e-02
GigaBoomConfig-benchmarks-hello_world_large.riscv,3.46e-02,7.34e-03,6.84e-03,4.88e-02
GigaBoomConfig-benchmarks-rv64ui-p-slt_200,3.41e-02,7.57e-03,6.70e-03,4.84e-02
GigaBoomConfig-benchmarks-mergesort.riscv,3.98e-02,1.20e-02,6.86e-03,5.87e-02
GigaBoomConfig-benchmarks-branchy_large.riscv,2.59e-02,2.20e-03,6.65e-03,3.48e-02
GigaBoomConfig-benchmarks-branchy.riscv,2.59e-02,2.20e-03,6.65e-03,3.48e-02
GigaBoomConfig-benchmarks-cjpeg_wrbmp.riscv,2.75e-02,3.94e-03,6.70e-03,3.82e-02
