Configure,Cycles
chipyard.TestHarness.BOOMConfig1Config-ChipTop-fft.riscv,162902
chipyard.TestHarness.BOOMConfig1Config-ChipTop-h264_dec.riscv,165199
chipyard.TestHarness.BOOMConfig1Config-ChipTop-mt-vvadd.riscv,115455
chipyard.TestHarness.BOOMConfig1Config-ChipTop-whetstone.riscv,41561
chipyard.TestHarness.BOOMConfig2Config-ChipTop-fft.riscv,143676
chipyard.TestHarness.BOOMConfig2Config-ChipTop-h264_dec.riscv,149246
chipyard.TestHarness.BOOMConfig2Config-ChipTop-mt-vvadd.riscv,111703
chipyard.TestHarness.BOOMConfig2Config-ChipTop-whetstone.riscv,41242
chipyard.TestHarness.BOOMConfig3Config-ChipTop-fft.riscv,154206
chipyard.TestHarness.BOOMConfig3Config-ChipTop-h264_dec.riscv,
chipyard.TestHarness.BOOMConfig3Config-ChipTop-mt-vvadd.riscv,108836
chipyard.TestHarness.BOOMConfig3Config-ChipTop-whetstone.riscv,42557
chipyard.TestHarness.BOOMConfig4Config-ChipTop-fft.riscv,162753
chipyard.TestHarness.BOOMConfig4Config-ChipTop-h264_dec.riscv,162239
chipyard.TestHarness.BOOMConfig4Config-ChipTop-mt-vvadd.riscv,109465
chipyard.TestHarness.BOOMConfig4Config-ChipTop-whetstone.riscv,41495
chipyard.TestHarness.BOOMConfig5Config-ChipTop-fft.riscv,
chipyard.TestHarness.BOOMConfig5Config-ChipTop-h264_dec.riscv,
chipyard.TestHarness.BOOMConfig5Config-ChipTop-mt-vvadd.riscv,112618
chipyard.TestHarness.BOOMConfig5Config-ChipTop-whetstone.riscv,41460
chipyard.TestHarness.BOOMConfig6Config-ChipTop-fft.riscv,
chipyard.TestHarness.BOOMConfig6Config-ChipTop-h264_dec.riscv,
chipyard.TestHarness.BOOMConfig6Config-ChipTop-mt-vvadd.riscv,119966
chipyard.TestHarness.BOOMConfig6Config-ChipTop-whetstone.riscv,41699
chipyard.TestHarness.BOOMConfig7Config-ChipTop-fft.riscv,158856
chipyard.TestHarness.BOOMConfig7Config-ChipTop-h264_dec.riscv,146948
chipyard.TestHarness.BOOMConfig7Config-ChipTop-mt-vvadd.riscv,108584
chipyard.TestHarness.BOOMConfig7Config-ChipTop-whetstone.riscv,41240
chipyard.TestHarness.BOOMConfig8Config-ChipTop-fft.riscv,165953
chipyard.TestHarness.BOOMConfig8Config-ChipTop-h264_dec.riscv,195716
chipyard.TestHarness.BOOMConfig8Config-ChipTop-mt-vvadd.riscv,121041
chipyard.TestHarness.BOOMConfig8Config-ChipTop-whetstone.riscv,41730
chipyard.TestHarness.BOOMConfig9Config-ChipTop-fft.riscv,166346
chipyard.TestHarness.BOOMConfig9Config-ChipTop-h264_dec.riscv,186292
chipyard.TestHarness.BOOMConfig9Config-ChipTop-mt-vvadd.riscv,117331
chipyard.TestHarness.BOOMConfig9Config-ChipTop-whetstone.riscv,41387
chipyard.TestHarness.BOOMConfig10Config-ChipTop-fft.riscv,136846
chipyard.TestHarness.BOOMConfig10Config-ChipTop-h264_dec.riscv,150767
chipyard.TestHarness.BOOMConfig10Config-ChipTop-mt-vvadd.riscv,96732
chipyard.TestHarness.BOOMConfig10Config-ChipTop-whetstone.riscv,41198
chipyard.TestHarness.BOOMConfig11Config-ChipTop-fft.riscv,160001
chipyard.TestHarness.BOOMConfig11Config-ChipTop-h264_dec.riscv,158051
chipyard.TestHarness.BOOMConfig11Config-ChipTop-mt-vvadd.riscv,117500
chipyard.TestHarness.BOOMConfig11Config-ChipTop-whetstone.riscv,41349
chipyard.TestHarness.BOOMConfig12Config-ChipTop-fft.riscv,161592
chipyard.TestHarness.BOOMConfig12Config-ChipTop-h264_dec.riscv,
chipyard.TestHarness.BOOMConfig12Config-ChipTop-mt-vvadd.riscv,116131
chipyard.TestHarness.BOOMConfig12Config-ChipTop-whetstone.riscv,41473
chipyard.TestHarness.BOOMConfig13Config-ChipTop-fft.riscv,166220
chipyard.TestHarness.BOOMConfig13Config-ChipTop-h264_dec.riscv,196729
chipyard.TestHarness.BOOMConfig13Config-ChipTop-mt-vvadd.riscv,116210
chipyard.TestHarness.BOOMConfig13Config-ChipTop-whetstone.riscv,41716
chipyard.TestHarness.BOOMConfig14Config-ChipTop-fft.riscv,164443
chipyard.TestHarness.BOOMConfig14Config-ChipTop-h264_dec.riscv,196154
chipyard.TestHarness.BOOMConfig14Config-ChipTop-mt-vvadd.riscv,120678
chipyard.TestHarness.BOOMConfig14Config-ChipTop-whetstone.riscv,41716
chipyard.TestHarness.BOOMConfig15Config-ChipTop-fft.riscv,162300
chipyard.TestHarness.BOOMConfig15Config-ChipTop-h264_dec.riscv,
chipyard.TestHarness.BOOMConfig15Config-ChipTop-mt-vvadd.riscv,109391
chipyard.TestHarness.BOOMConfig15Config-ChipTop-whetstone.riscv,41486
chipyard.TestHarness.BOOMConfig16Config-ChipTop-fft.riscv,156111
chipyard.TestHarness.BOOMConfig16Config-ChipTop-h264_dec.riscv,147011
chipyard.TestHarness.BOOMConfig16Config-ChipTop-mt-vvadd.riscv,113182
chipyard.TestHarness.BOOMConfig16Config-ChipTop-whetstone.riscv,41357
chipyard.TestHarness.BOOMConfig17Config-ChipTop-fft.riscv,157544
chipyard.TestHarness.BOOMConfig17Config-ChipTop-h264_dec.riscv,147453
chipyard.TestHarness.BOOMConfig17Config-ChipTop-mt-vvadd.riscv,108015
chipyard.TestHarness.BOOMConfig17Config-ChipTop-whetstone.riscv,41355
chipyard.TestHarness.BOOMConfig18Config-ChipTop-fft.riscv,148957
chipyard.TestHarness.BOOMConfig18Config-ChipTop-h264_dec.riscv,174188
chipyard.TestHarness.BOOMConfig18Config-ChipTop-mt-vvadd.riscv,113330
chipyard.TestHarness.BOOMConfig18Config-ChipTop-whetstone.riscv,41456
chipyard.TestHarness.BOOMConfig19Config-ChipTop-fft.riscv,145149
chipyard.TestHarness.BOOMConfig19Config-ChipTop-h264_dec.riscv,140925
chipyard.TestHarness.BOOMConfig19Config-ChipTop-mt-vvadd.riscv,105986
chipyard.TestHarness.BOOMConfig19Config-ChipTop-whetstone.riscv,41268
chipyard.TestHarness.BOOMConfig20Config-ChipTop-fft.riscv,146049
chipyard.TestHarness.BOOMConfig20Config-ChipTop-h264_dec.riscv,143601
chipyard.TestHarness.BOOMConfig20Config-ChipTop-mt-vvadd.riscv,96990
chipyard.TestHarness.BOOMConfig20Config-ChipTop-whetstone.riscv,41210
chipyard.TestHarness.BOOMConfig21Config-ChipTop-fft.riscv,171882
chipyard.TestHarness.BOOMConfig21Config-ChipTop-h264_dec.riscv,
chipyard.TestHarness.BOOMConfig21Config-ChipTop-mt-vvadd.riscv,107420
chipyard.TestHarness.BOOMConfig21Config-ChipTop-whetstone.riscv,41707
