Configure,Int Power,Switch Power,Leak Power,Total Power
Config1-benchmarks-median.riscv,6.82e-02,1.37e-02,2.75e-03,8.47e-02
Config1-benchmarks-whetstone.riscv,5.89e-02,8.88e-03,2.76e-03,7.06e-02
Config1-benchmarks-mt-vvadd.riscv,5.79e-02,9.75e-03,2.75e-03,7.04e-02
Config1-benchmarks-fft.riscv,6.03e-02,1.09e-02,2.79e-03,7.40e-02
Config1-benchmarks-h264_dec.riscv,6.52e-02,1.37e-02,2.76e-03,8.17e-02
Config2-benchmarks-whetstone.riscv,7.09e-02,1.06e-02,4.50e-03,8.60e-02
Config2-benchmarks-mt-vvadd.riscv,6.97e-02,1.17e-02,4.48e-03,8.59e-02
Config2-benchmarks-fft.riscv,7.58e-02,1.47e-02,4.56e-03,9.51e-02
Config2-benchmarks-h264_dec.riscv,7.94e-02,1.84e-02,4.48e-03,0.102
Config3-benchmarks-whetstone.riscv,6.98e-02,9.58e-03,3.74e-03,8.32e-02
Config3-benchmarks-mt-vvadd.riscv,6.98e-02,1.14e-02,3.72e-03,8.48e-02
Config3-benchmarks-fft.riscv,7.24e-02,1.22e-02,3.79e-03,8.85e-02
Config4-benchmarks-whetstone.riscv,5.36e-02,5.57e-03,2.87e-03,6.21e-02
Config4-benchmarks-mt-vvadd.riscv,5.34e-02,6.93e-03,2.86e-03,6.32e-02
Config4-benchmarks-fft.riscv,5.53e-02,8.15e-03,2.90e-03,6.64e-02
Config4-benchmarks-h264_dec.riscv,6.17e-02,1.18e-02,2.86e-03,7.64e-02
Config5-benchmarks-whetstone.riscv,8.28e-02,1.01e-02,4.40e-03,9.72e-02
Config5-benchmarks-mt-vvadd.riscv,8.12e-02,1.07e-02,4.38e-03,9.62e-02
Config6-benchmarks-whetstone.riscv,5.07e-02,5.63e-03,2.70e-03,5.91e-02
Config6-benchmarks-mt-vvadd.riscv,4.85e-02,5.84e-03,2.69e-03,5.70e-02
Config7-benchmarks-whetstone.riscv,6.51e-02,9.25e-03,3.49e-03,7.78e-02
Config7-benchmarks-mt-vvadd.riscv,6.46e-02,1.07e-02,3.46e-03,7.89e-02
