episode	area
0	0.053212
1	0.053212
2	0.053138
3	0.052694
4	0.053133
5	0.054176
6	0.054394
7	0.054738
8	0.053501
9	0.05339
10	0.053674
11	0.054011
12	0.054253
13	0.054567
14	0.055
15	0.055698
16	0.055885
17	0.056146
18	0.05576
19	0.057199
20	0.056405
21	0.056859
22	0.054975
23	0.054835
24	0.054369
25	0.05466
26	0.055162
27	0.05467
28	0.055545
29	0.055201
30	0.054943
31	0.055778
32	0.05589
33	0.056792
34	0.05712
35	0.057912
36	0.058152
37	0.058657
38	0.058243
39	0.058876
40	0.057548
41	0.057499
42	0.055957
43	0.055351
44	0.054372
45	0.053798
46	0.054656
47	0.054105
48	0.053791
49	0.054649
50	0.052095
51	0.05068
52	0.050433
53	0.049775
54	0.049547
55	0.050138
56	0.050534
57	0.049779
58	0.051415
59	0.050387
60	0.050843
61	0.050103
62	0.049868
63	0.050243
64	0.050539
65	0.05083
66	0.050052
67	0.050353
68	0.050928
69	0.051137
70	0.050115
71	0.050414
72	0.050634
73	0.050922
74	0.051132
75	0.051411
76	0.051611
77	0.051504
78	0.051776
79	0.052662
80	0.052941
81	0.053215
82	0.053452
83	0.053685
84	0.053913
85	0.054136
86	0.054386
87	0.05433
88	0.053632
89	0.053861
90	0.054753
91	0.05558
92	0.055769
93	0.055613
94	0.054778
95	0.055494
96	0.055685
97	0.055873
98	0.055727
99	0.05584
100	0.056025
101	0.056206
102	0.056383
103	0.056557
104	0.056034
105	0.056215
106	0.056392
107	0.056566
108	0.056736
109	0.056903
110	0.057066
111	0.057226
112	0.057383
113	0.057537
114	0.057688
115	0.057836
116	0.057981
117	0.058123
118	0.058262
119	0.058398
120	0.05723
121	0.057387
122	0.057541
123	0.057692
124	0.057839
125	0.057984
126	0.058126
127	0.058265
128	0.058401
129	0.057597
130	0.057747
131	0.057893
132	0.058037
133	0.058178
134	0.058316
135	0.058451
136	0.058584
137	0.058714
138	0.058841
139	0.058966
140	0.059088
141	0.059208
142	0.059325
143	0.05944
144	0.059553
145	0.059663
146	0.059246
147	0.059363
148	0.059477
149	0.059589
150	0.059699
151	0.059807
152	0.059912
153	0.060015
154	0.060117
155	0.058914
156	0.059038
157	0.059158
158	0.059277
159	0.059393
160	0.059506
161	0.059618
162	0.059727
163	0.059834
