episode,perf,power,area,mean-perf,mean-power,mean-area,max-perf,max-power,max-area,min-perf,min-power,min-area
0,-0.000573,-0.847694,0.053212,-0.000573,-0.847694,0.053212,-0.000573,-0.847694,0.053212,-0.000573,-0.847694,0.053212
1,-0.000573,-0.847694,0.053212,-0.000573,-0.847694,0.053212,-0.000573,-0.847694,0.053212,-0.000573,-0.847694,0.053212
2,0.100728,-0.936471,0.049486,0.033194,-0.877286,0.05197,0.100728,-0.847694,0.053212,-0.000573,-0.936471,0.049486
3,0.168226,-1.002559,0.03092,0.066952,-0.908605,0.046708,0.168226,-0.847694,0.053212,-0.000573,-1.002559,0.03092
4,0.125865,-0.525232,0.074655,0.078734,-0.83193,0.052297,0.168226,-0.525232,0.074655,-0.000573,-1.002559,0.03092
5,0.18358,-0.699975,0.105284,0.096209,-0.809937,0.061128,0.18358,-0.525232,0.105284,-0.000573,-1.002559,0.03092
6,0.174984,-0.797794,0.065078,0.107462,-0.808203,0.061693,0.18358,-0.525232,0.105284,-0.000573,-1.002559,0.03092
7,0.065055,-0.88169,0.07159,0.102161,-0.817389,0.06293,0.18358,-0.525232,0.105284,-0.000573,-1.002559,0.03092
8,0.110141,-0.224563,-0.007109,0.103048,-0.751519,0.055148,0.18358,-0.224563,0.105284,-0.000573,-1.002559,-0.007109
9,0.095059,-0.711209,0.047935,0.102249,-0.747488,0.054426,0.18358,-0.224563,0.105284,-0.000573,-1.002559,-0.007109
10,0.17061,-0.917352,0.067634,0.119367,-0.754454,0.055869,0.18358,-0.224563,0.105284,-0.000573,-1.002559,-0.007109
11,0.147892,-0.922908,0.070481,0.134214,-0.761975,0.057595,0.18358,-0.224563,0.105284,0.065055,-1.002559,-0.007109
12,0.065073,-0.876175,0.066112,0.130648,-0.755946,0.059258,0.18358,-0.224563,0.105284,0.065055,-1.002559,-0.007109
13,0.040817,-0.931629,0.06995,0.117907,-0.748853,0.063161,0.18358,-0.224563,0.105284,0.040817,-0.931629,-0.007109
14,0.025904,-0.931629,0.07626,0.107911,-0.789492,0.063321,0.18358,-0.224563,0.105284,0.025904,-0.931629,-0.007109
15,0.082674,-0.894163,0.089858,0.097821,-0.808911,0.061779,0.174984,-0.224563,0.089858,0.025904,-0.931629,-0.007109
16,0.174984,-0.797794,0.065078,0.097821,-0.808911,0.061779,0.174984,-0.224563,0.089858,0.025904,-0.931629,-0.007109
17,0.154308,-0.922908,0.068931,0.106746,-0.813033,0.061513,0.174984,-0.224563,0.089858,0.025904,-0.931629,-0.007109
