episode	max-area
0	0.053212
1	0.053212
2	0.053212
3	0.053212
4	0.053641
5	0.054674
6	0.055686
7	0.056678
8	0.05765
9	0.058603
10	0.059537
11	0.060452
12	0.061348
13	0.062227
14	0.063088
15	0.063624
16	0.064148
17	0.064662
18	0.065166
19	0.066417
20	0.067643
21	0.068844
22	0.070022
23	0.071175
24	0.072306
25	0.073414
26	0.0745
27	0.075564
28	0.076607
29	0.077044
30	0.077472
31	0.077891
32	0.078302
33	0.078756
34	0.0792
35	0.079636
36	0.080062
37	0.080481
38	0.08089
39	0.081292
40	0.081686
41	0.082071
42	0.082449
43	0.082734
44	0.083013
45	0.08315
46	0.083421
47	0.083686
48	0.083946
49	0.084201
50	0.084451
51	0.084695
52	0.084935
53	0.08517
54	0.0854
55	0.085626
56	0.085847
57	0.086064
58	0.086975
59	0.087867
60	0.088742
61	0.089599
62	0.090439
63	0.091262
64	0.092068
65	0.092859
66	0.093634
67	0.094393
68	0.094087
69	0.093787
70	0.093494
71	0.093206
72	0.092924
73	0.092647
74	0.092376
75	0.092111
76	0.091851
77	0.091596
78	0.091065
79	0.091166
80	0.091265
81	0.091362
82	0.091456
83	0.091549
84	0.09164
85	0.091729
86	0.091817
87	0.091903
88	0.091987
89	0.091479
90	0.091619
91	0.091755
92	0.091889
93	0.09202
94	0.092149
95	0.092275
96	0.092398
97	0.092519
98	0.092637
99	0.092753
100	0.09282
101	0.092776
102	0.092732
103	0.092689
104	0.092646
105	0.092095
106	0.091555
107	0.091025
108	0.090506
109	0.089998
110	0.089499
111	0.089011
112	0.088532
113	0.088063
114	0.087603
115	0.087153
116	0.086711
117	0.086279
118	0.085855
119	0.085439
120	0.085032
121	0.084633
122	0.084242
123	0.083858
124	0.083483
125	0.083115
126	0.082754
127	0.0824
128	0.082054
129	0.081714
130	0.081382
131	0.081056
132	0.080736
133	0.080423
134	0.080116
135	0.079815
136	0.07952
137	0.079232
138	0.078948
139	0.078671
140	0.078399
141	0.078133
142	0.077872
143	0.077616
144	0.077365
145	0.077119
146	0.076878
147	0.076642
148	0.076411
149	0.076184
150	0.075962
151	0.075745
152	0.075531
153	0.075322
154	0.075117
155	0.074917
156	0.07472
157	0.074527
158	0.074338
159	0.074153
160	0.073971
161	0.073793
162	0.073619
