episode	max-perf
0	-0.000573
1	-0.000573
2	0.001453
3	0.004788
4	0.008057
5	0.011568
6	0.015008
7	0.018379
8	0.021683
9	0.024921
10	0.028095
11	0.031204
12	0.034252
13	0.037238
14	0.040165
15	0.042862
16	0.045504
17	0.048094
18	0.050631
19	0.053118
20	0.055556
21	0.057944
22	0.060285
23	0.062579
24	0.064827
25	0.06703
26	0.069054
27	0.071038
28	0.073143
29	0.075205
30	0.077226
31	0.079207
32	0.081148
33	0.08305
34	0.084914
35	0.086741
36	0.088532
37	0.090286
38	0.091909
39	0.093498
40	0.095056
41	0.096583
42	0.096433
43	0.096286
44	0.098024
45	0.099727
46	0.101397
47	0.103032
48	0.104636
49	0.106207
50	0.107746
51	0.109255
52	0.110734
53	0.112183
54	0.113134
55	0.114067
56	0.11498
57	0.115876
58	0.116753
59	0.117614
60	0.118456
61	0.119591
62	0.120702
63	0.121792
64	0.122859
65	0.123905
66	0.124931
67	0.125935
68	0.12692
69	0.127885
70	0.128831
71	0.129754
72	0.130658
73	0.131545
74	0.132414
75	0.132884
76	0.133344
77	0.133796
78	0.134238
79	0.134672
80	0.135489
81	0.136289
82	0.137074
83	0.137843
84	0.138596
85	0.139335
86	0.140058
87	0.140767
88	0.141462
89	0.142143
90	0.142826
91	0.143495
92	0.14415
93	0.144792
94	0.145422
95	0.146038
96	0.146643
97	0.147235
98	0.147816
99	0.148385
100	0.148917
101	0.149438
102	0.149573
103	0.149704
104	0.149829
105	0.150332
106	0.150825
107	0.151308
108	0.151782
109	0.152246
110	0.1527
111	0.153146
112	0.153583
113	0.154011
114	0.15443
115	0.154841
116	0.155244
117	0.155639
118	0.156026
119	0.156405
120	0.156777
121	0.156759
122	0.156743
123	0.156726
124	0.15671
125	0.156694
126	0.156679
127	0.156663
128	0.156648
129	0.154928
130	0.155329
131	0.155723
132	0.156108
133	0.156485
134	0.156855
135	0.157218
136	0.157573
137	0.157921
138	0.158263
139	0.158597
140	0.158925
141	0.159246
142	0.159561
143	0.159869
144	0.160171
145	0.160468
146	0.160758
147	0.161042
148	0.161321
149	0.161595
150	0.161862
151	0.162125
152	0.162382
153	0.162634
154	0.162881
155	0.163123
156	0.16336
157	0.163593
158	0.163821
159	0.164044
160	0.164263
161	0.164477
162	0.164687
163	0.164893
164	0.165095
165	0.165293
166	0.165486
167	0.165676
168	0.165863
169	0.166045
170	0.166224
171	0.166399
172	0.166571
173	0.166739
174	0.166904
175	0.167065
176	0.167224
177	0.167379
178	0.167531
179	0.16768
180	0.167826
181	0.167969
182	0.16811
183	0.168247
184	0.168382
185	0.168514
186	0.168643
187	0.16877
188	0.168894
189	0.169016
190	0.169135
191	0.169252
192	0.169367
193	0.169479
194	0.169589
195	0.169697
196	0.169803
197	0.169907
198	0.170008
199	0.170108
200	0.170205
201	0.170301
202	0.170394
203	0.170486
204	0.170576
205	0.170664
206	0.170751
