episode	max-power
0	-0.047694
1	-0.047694
2	-0.047694
3	-0.047694
4	-0.041245
5	-0.034925
6	-0.028731
7	-0.022661
8	-0.010699
9	0.001024
10	0.012512
11	0.023771
12	0.034804
13	0.045617
14	0.056213
15	0.066597
16	0.076774
17	0.086747
18	0.086788
19	0.085097
20	0.083439
21	0.081814
22	0.097442
23	0.112757
24	0.127766
25	0.142474
26	0.156889
27	0.17153
28	0.185879
29	0.199941
30	0.213722
31	0.227227
32	0.240462
33	0.253432
34	0.266143
35	0.2786
36	0.290808
37	0.285692
38	0.280679
39	0.275765
40	0.286094
41	0.296215
42	0.306135
43	0.315856
44	0.325382
45	0.334718
46	0.343867
47	0.353532
48	0.363003
49	0.372284
50	0.38138
51	0.390294
52	0.39903
53	0.407591
54	0.415981
55	0.424203
56	0.432261
57	0.439843
58	0.447273
59	0.454555
60	0.461692
61	0.468458
62	0.475089
63	0.481587
64	0.487955
65	0.494196
66	0.500312
67	0.506306
68	0.51218
69	0.515719
70	0.521405
71	0.526977
72	0.532437
73	0.537788
74	0.543033
75	0.548172
76	0.553209
77	0.558144
78	0.562982
79	0.567722
80	0.563827
81	0.56001
82	0.55627
83	0.552604
84	0.549012
85	0.545492
86	0.542042
87	0.531245
88	0.536585
89	0.541818
90	0.546946
91	0.551972
92	0.556897
93	0.561724
94	0.566454
95	0.571089
96	0.575632
97	0.580084
98	0.568689
99	0.558016
100	0.547556
101	0.537305
102	0.527259
103	0.517415
104	0.523016
105	0.528505
106	0.533885
107	0.539157
108	0.544323
109	0.549386
110	0.554348
111	0.559211
112	0.563976
113	0.568646
114	0.557317
115	0.546215
116	0.535335
117	0.524672
118	0.514223
119	0.503983
120	0.509903
121	0.515705
122	0.521391
123	0.526963
124	0.532424
125	0.537775
126	0.54302
127	0.548159
128	0.553196
129	0.558669
130	0.564033
131	0.569289
132	0.574441
133	0.579489
134	0.584436
135	0.589285
136	0.594036
137	0.598692
138	0.603255
139	0.591234
140	0.579454
141	0.567909
142	0.556595
143	0.545507
144	0.534641
145	0.523992
146	0.530129
147	0.536144
148	0.542038
149	0.547814
150	0.553474
151	0.559022
152	0.564458
153	0.569786
154	0.575007
155	0.580124
156	0.584522
157	0.588831
158	0.593054
159	0.597193
160	0.60125
161	0.605225
162	0.60912
163	0.612938
164	0.616679
165	0.604389
166	0.592346
167	0.596499
168	0.600569
169	0.604557
170	0.608466
171	0.612386
172	0.616227
173	0.619991
174	0.623679
175	0.627294
176	0.630837
177	0.634309
178	0.637712
179	0.641046
180	0.644314
181	0.631471
182	0.618886
183	0.606553
184	0.594466
185	0.58262
186	0.571012
187	0.559636
188	0.548487
189	0.537562
190	0.526855
191	0.516362
192	0.506079
193	0.496001
194	0.502554
195	0.508976
196	0.515269
197	0.521436
198	0.52748
199	0.533403
200	0.539208
201	0.544897
202	0.550628
