episode	mean-area
0	0.053212
1	0.053212
2	0.053188
3	0.053058
4	0.053043
5	0.053205
6	0.053374
7	0.053565
8	0.053597
9	0.053614
10	0.053659
11	0.053737
12	0.053848
13	0.054034
14	0.05422
15	0.054371
16	0.054519
17	0.054659
18	0.054884
19	0.055264
20	0.055536
21	0.05582
22	0.055892
23	0.055918
24	0.055854
25	0.055749
26	0.055676
27	0.055528
28	0.055505
29	0.055305
30	0.055158
31	0.055049
32	0.05514
33	0.055335
34	0.055609
35	0.055934
36	0.056232
37	0.05663
38	0.0569
39	0.057266
40	0.057526
41	0.057698
42	0.057704
43	0.057559
44	0.057284
45	0.056872
46	0.056522
47	0.056066
48	0.05562
49	0.055197
50	0.054651
51	0.053969
52	0.053416
53	0.052858
54	0.052375
55	0.052008
56	0.051596
57	0.051163
58	0.050925
59	0.050498
60	0.050373
61	0.050315
62	0.050258
63	0.050304
64	0.050403
65	0.050472
66	0.050423
67	0.05048
68	0.050431
69	0.050506
70	0.050433
71	0.050464
72	0.05054
73	0.050608
74	0.050666
75	0.050724
76	0.05088
77	0.050995
78	0.051079
79	0.051231
80	0.051514
81	0.051794
82	0.052075
83	0.052351
84	0.052629
85	0.052901
86	0.053179
87	0.053461
88	0.053646
89	0.053766
90	0.053947
91	0.054183
92	0.054415
93	0.054607
94	0.054694
95	0.054829
96	0.054959
97	0.055113
98	0.055322
99	0.05552
100	0.055647
101	0.05571
102	0.055771
103	0.055865
104	0.05599
105	0.056062
106	0.056133
107	0.056202
108	0.056303
109	0.056409
110	0.056513
111	0.056615
112	0.056715
113	0.056812
114	0.056978
115	0.05714
116	0.057298
117	0.057454
118	0.057607
119	0.057756
120	0.057772
121	0.057788
122	0.057804
123	0.057819
124	0.057834
125	0.057849
126	0.057863
127	0.057877
128	0.057891
129	0.057811
130	0.057863
131	0.057913
132	0.057963
133	0.058011
134	0.058059
135	0.058106
136	0.058151
137	0.058196
138	0.05824
139	0.058377
140	0.058511
141	0.058642
142	0.058771
143	0.058897
144	0.05902
145	0.059142
146	0.059208
147	0.059273
148	0.059336
149	0.059399
150	0.05946
151	0.059519
152	0.059578
153	0.059636
154	0.059692
155	0.059617
156	0.059596
157	0.059575
158	0.059555
159	0.059536
160	0.059516
161	0.059497
162	0.059479
