episode	mean-perf
0	-0.000573
1	-0.000573
2	0.000102
3	0.001439
4	0.002985
5	0.00485
6	0.006902
7	0.008807
8	0.010692
9	0.012523
10	0.01466
11	0.017051
12	0.019323
13	0.021295
14	0.023027
15	0.024523
16	0.025989
17	0.027604
18	0.02888
19	0.029898
20	0.03066
21	0.031098
22	0.031421
23	0.031584
24	0.031803
25	0.032119
26	0.032414
27	0.032483
28	0.032989
29	0.033851
30	0.034764
31	0.035849
32	0.037232
33	0.038782
34	0.040334
35	0.041768
36	0.042918
37	0.044055
38	0.044891
39	0.04549
40	0.045926
41	0.046027
42	0.045703
43	0.045417
44	0.045357
45	0.045273
46	0.045287
47	0.045251
48	0.045075
49	0.044783
50	0.044628
51	0.044604
52	0.044953
53	0.045461
54	0.045888
55	0.046233
56	0.046448
57	0.046538
58	0.046652
59	0.046779
60	0.046897
61	0.047384
62	0.047891
63	0.048231
64	0.04862
65	0.049271
66	0.049709
67	0.050524
68	0.051442
69	0.052647
70	0.053682
71	0.054658
72	0.055595
73	0.056662
74	0.057663
75	0.058606
76	0.05998
77	0.061167
78	0.062562
79	0.063889
80	0.06554
81	0.067197
82	0.068828
83	0.070426
84	0.072
85	0.073542
86	0.074956
87	0.076159
88	0.077045
89	0.078
90	0.078938
91	0.079812
92	0.080707
93	0.081476
94	0.08223
95	0.082914
96	0.083689
97	0.08479
98	0.086095
99	0.08733
100	0.088499
101	0.089649
102	0.090739
103	0.091915
104	0.092749
105	0.093659
106	0.09459
107	0.09554
108	0.096575
109	0.097635
110	0.098712
111	0.099805
112	0.100876
113	0.101926
114	0.103273
115	0.104555
116	0.105773
117	0.106928
118	0.108022
119	0.109057
120	0.10972
121	0.11012
122	0.1103
123	0.110265
124	0.110018
125	0.109564
126	0.108907
127	0.108051
128	0.107001
129	0.1058
130	0.104974
131	0.104415
132	0.104116
133	0.104074
134	0.104283
135	0.104738
136	0.105434
137	0.106366
138	0.10753
139	0.108879
140	0.110201
141	0.111497
142	0.112766
143	0.114011
144	0.11523
145	0.116425
146	0.117252
147	0.118024
148	0.118742
149	0.119408
150	0.120022
151	0.120586
152	0.121139
153	0.12168
154	0.122211
155	0.122381
156	0.122893
157	0.123432
158	0.123999
159	0.124592
160	0.125212
161	0.125858
162	0.12649
163	0.12711
164	0.127718
165	0.128663
166	0.129589
167	0.130147
168	0.130694
169	0.130761
170	0.130827
171	0.130565
172	0.130308
173	0.130056
174	0.12981
175	0.129568
176	0.129331
177	0.129449
178	0.129564
179	0.130146
180	0.130716
181	0.131601
182	0.132469
183	0.133319
184	0.134153
185	0.134969
186	0.13577
187	0.136554
188	0.137322
189	0.138076
190	0.138814
191	0.139537
192	0.140246
193	0.140941
194	0.141278
195	0.141608
196	0.141931
197	0.142248
198	0.142559
199	0.142863
200	0.143162
201	0.143454
202	0.143397
203	0.142971
204	0.142898
205	0.142826
206	0.142756
