episode	mean-power
0	-0.047694
1	-0.047694
2	-0.048286
3	-0.049492
4	-0.049141
5	-0.048357
6	-0.047554
7	-0.046951
8	-0.045042
9	-0.043091
10	-0.041318
11	-0.039731
12	-0.038056
13	-0.036272
14	-0.035336
15	-0.034808
16	-0.03429
17	-0.033865
18	-0.035213
19	-0.036856
20	-0.038329
21	-0.039808
22	-0.039379
23	-0.03848
24	-0.037824
25	-0.037239
26	-0.036934
27	-0.034611
28	-0.031735
29	-0.028843
30	-0.026238
31	-0.023593
32	-0.022656
33	-0.022167
34	-0.021362
35	-0.020516
36	-0.019686
37	-0.021023
38	-0.022559
39	-0.024181
40	-0.023859
41	-0.023581
42	-0.021825
43	-0.020339
44	-0.019323
45	-0.018586
46	-0.01779
47	-0.014981
48	-0.012154
49	-0.009315
50	-0.007309
51	-0.003494
52	-0.00138
53	0.001005
54	0.003875
55	0.006786
56	0.009564
57	0.010725
58	0.012005
59	0.01498
60	0.016923
61	0.017013
62	0.017101
63	0.017039
64	0.017053
65	0.01742
66	0.019421
67	0.021294
68	0.022801
69	0.022749
70	0.024461
71	0.026334
72	0.02831
73	0.030535
74	0.032782
75	0.034983
76	0.035832
77	0.037405
78	0.039301
79	0.041012
80	0.041093
81	0.041173
82	0.041185
83	0.041197
84	0.041144
85	0.041091
86	0.040974
87	0.039635
88	0.039916
89	0.040272
90	0.040603
91	0.040845
92	0.041083
93	0.041039
94	0.040945
95	0.04087
96	0.040796
97	0.041205
98	0.039817
99	0.038523
100	0.037272
101	0.036128
102	0.035007
103	0.034186
104	0.035022
105	0.035825
106	0.036611
107	0.037383
108	0.038335
109	0.039203
110	0.040054
111	0.040887
112	0.041704
113	0.042505
114	0.041699
115	0.040909
116	0.040135
117	0.039376
118	0.038633
119	0.037904
120	0.038786
121	0.040095
122	0.041822
123	0.04396
124	0.0465
125	0.049433
126	0.052753
127	0.056451
128	0.060521
129	0.066158
130	0.070086
131	0.073492
132	0.076384
133	0.078774
134	0.080671
135	0.082085
136	0.083027
137	0.083504
138	0.083528
139	0.081901
140	0.080307
141	0.078745
142	0.077214
143	0.075714
144	0.074244
145	0.072803
146	0.073049
147	0.073289
148	0.073525
149	0.073756
150	0.073982
151	0.074204
152	0.074421
153	0.074634
154	0.074843
155	0.076643
156	0.07675
157	0.076854
158	0.076957
159	0.077057
160	0.077156
161	0.077253
162	0.077347
163	0.07744
164	0.077531
165	0.076024
166	0.074548
167	0.074697
168	0.074843
169	0.076494
170	0.078112
171	0.081302
172	0.084429
173	0.087493
174	0.090496
175	0.093438
176	0.096322
177	0.097553
178	0.098759
179	0.098432
180	0.098112
181	0.096194
182	0.094314
183	0.092472
184	0.090667
185	0.088897
186	0.087164
187	0.085464
188	0.083799
189	0.082167
190	0.080568
191	0.079001
192	0.077465
193	0.07596
194	0.076128
195	0.076292
196	0.076453
