episode	min-area
0	0.053212
1	0.053212
2	0.053138
3	0.052694
4	0.052258
5	0.051831
6	0.051413
7	0.051003
8	0.049841
9	0.048702
10	0.047586
11	0.046492
12	0.04542
13	0.044369
14	0.04334
15	0.042331
16	0.041342
17	0.040373
18	0.040302
19	0.040233
20	0.039779
21	0.039334
22	0.0378
23	0.036297
24	0.034825
25	0.033381
26	0.031967
27	0.030581
28	0.029223
29	0.027891
30	0.026587
31	0.025308
32	0.025413
33	0.025516
34	0.025617
35	0.025715
36	0.025812
37	0.026063
38	0.026301
39	0.026535
40	0.025853
41	0.025185
42	0.024289
43	0.023411
44	0.02255
45	0.021707
46	0.02088
47	0.02007
48	0.019276
49	0.018498
50	0.016668
51	0.014874
52	0.013116
53	0.011393
54	0.009704
55	0.008049
56	0.006428
57	0.004838
58	0.003281
59	0.001755
60	0.001346
61	0.001319
62	0.001293
63	0.001267
64	0.001242
65	0.001217
66	0.001193
67	0.001169
68	0.001145
69	0.001362
70	0.001334
71	0.001308
72	0.001281
73	0.001256
74	0.001231
75	0.001206
76	0.001182
77	0.001158
78	0.001135
79	0.001112
80	0.002016
81	0.002901
82	0.003769
83	0.004619
84	0.005453
85	0.006269
86	0.007069
87	0.00796
88	0.008189
89	0.008414
90	0.008634
91	0.00885
92	0.009061
93	0.009268
94	0.00936
95	0.00945
96	0.009538
97	0.009624
98	0.009709
99	0.009792
100	0.009873
101	0.009952
102	0.01003
103	0.010107
104	0.010512
105	0.01091
106	0.011299
107	0.01168
108	0.012054
109	0.012421
110	0.01278
111	0.013132
112	0.013477
113	0.013815
114	0.01484
115	0.015845
116	0.016829
117	0.017794
118	0.01874
119	0.019667
120	0.019273
121	0.018888
122	0.01851
123	0.01814
124	0.017777
125	0.017422
126	0.017073
127	0.016732
128	0.016397
129	0.016069
130	0.016112
131	0.016154
132	0.016195
133	0.016235
134	0.016274
135	0.016313
136	0.01635
137	0.016387
138	0.016424
139	0.017397
140	0.01835
141	0.019285
142	0.020201
143	0.021098
144	0.021978
145	0.02284
146	0.023159
147	0.023473
148	0.023779
149	0.02408
150	0.024375
151	0.024664
152	0.024947
153	0.025224
154	0.025496
155	0.024986
156	0.024486
157	0.023997
158	0.023517
159	0.023046
160	0.022585
161	0.022134
162	0.021691
