episode	min-perf
0	-0.000573
1	-0.000573
2	-0.000573
3	-0.000573
4	-0.000573
5	-0.000573
6	-0.000573
7	-0.000573
8	-0.000573
9	-0.000573
10	-0.000573
11	0.00074
12	0.002026
13	0.002802
14	0.003264
15	0.003717
16	0.00416
17	0.004595
18	0.003636
19	0.002696
20	0.001775
21	0.000872
22	-0.000013
23	-0.00088
24	-0.001729
25	-0.002562
26	-0.003378
27	-0.004178
28	-0.004819
29	-0.005448
30	-0.006064
31	-0.006668
32	-0.007259
33	-0.006244
34	-0.005249
35	-0.004273
36	-0.003372
37	-0.002488
38	-0.00169
39	-0.000907
40	-0.000677
41	-0.002141
42	-0.003576
43	-0.004982
44	-0.00636
45	-0.00771
46	-0.009034
47	-0.01033
48	-0.011601
49	-0.012847
50	-0.014067
51	-0.014578
52	-0.014949
53	-0.015313
54	-0.01567
55	-0.016019
56	-0.016362
57	-0.016776
58	-0.017183
59	-0.017581
60	-0.017971
61	-0.018353
62	-0.018728
63	-0.019095
64	-0.019455
65	-0.019808
66	-0.020869
67	-0.021909
68	-0.022928
69	-0.023927
70	-0.024906
71	-0.025865
72	-0.026805
73	-0.027726
74	-0.028629
75	-0.029514
76	-0.028924
77	-0.028345
78	-0.027778
79	-0.027223
80	-0.025152
81	-0.023123
82	-0.021135
83	-0.019186
84	-0.017277
85	-0.015405
86	-0.013571
87	-0.013594
88	-0.013617
89	-0.013639
90	-0.01366
91	-0.013682
92	-0.013702
93	-0.013723
94	-0.013743
95	-0.013762
96	-0.013781
97	-0.013316
98	-0.011009
99	-0.008747
100	-0.006532
101	-0.00436
102	-0.002232
103	0.000272
104	0.000208
105	0.000145
106	0.000083
107	0.000022
108	-0.000038
109	-0.000096
110	-0.000153
111	-0.000209
112	-0.000264
113	-0.000318
114	0.002807
115	0.005869
116	0.00887
117	0.011811
118	0.014693
119	0.017518
120	0.017167
121	0.016824
122	0.016487
123	0.016158
124	0.015834
125	0.015518
126	0.015207
127	0.014903
128	0.014605
129	0.014313
130	0.015025
131	0.015723
132	0.016406
133	0.017076
134	0.017733
135	0.018376
136	0.019007
137	0.019625
138	0.020645
139	0.023732
140	0.026757
141	0.029722
142	0.032627
143	0.035474
144	0.038264
145	0.040999
146	0.040232
147	0.039481
148	0.038745
149	0.038024
150	0.037317
151	0.036624
152	0.035945
153	0.03528
154	0.034628
155	0.033935
156	0.033256
157	0.032591
158	0.031939
159	0.031301
160	0.030675
161	0.030061
162	0.02946
163	0.028871
164	0.028293
165	0.031227
166	0.034102
167	0.03342
168	0.032752
169	0.03091
170	0.029105
171	0.027336
172	0.025602
173	0.023903
174	0.022238
175	0.020607
176	0.019008
177	0.017441
178	0.015905
179	0.01582
180	0.015738
181	0.018922
182	0.022044
183	0.025103
184	0.0281
185	0.031038
186	0.033917
187	0.036738
188	0.039503
189	0.042213
190	0.044868
191	0.04747
192	0.050021
