episode	min-power
0	-0.047694
1	-0.047694
2	-0.04947
3	-0.052532
4	-0.055532
5	-0.058473
6	-0.061354
7	-0.064178
8	-0.066946
9	-0.069658
10	-0.072316
11	-0.074921
12	-0.077474
13	-0.078557
14	-0.079619
15	-0.080659
16	-0.081678
17	-0.082677
18	-0.087162
19	-0.091557
20	-0.095865
21	-0.100086
22	-0.104222
23	-0.108276
24	-0.112249
25	-0.116143
26	-0.119958
27	-0.123698
28	-0.126107
29	-0.128469
30	-0.130783
31	-0.133051
32	-0.135273
33	-0.137451
34	-0.137977
35	-0.138492
36	-0.138997
37	-0.139953
38	-0.140889
39	-0.141807
40	-0.142707
41	-0.143589
42	-0.144453
43	-0.146045
44	-0.149151
45	-0.152195
46	-0.155177
47	-0.158101
48	-0.160965
49	-0.163773
50	-0.166524
51	-0.16922
52	-0.171863
53	-0.174452
54	-0.175445
55	-0.175428
56	-0.175412
57	-0.175396
58	-0.17538
59	-0.175365
60	-0.17535
61	-0.175335
62	-0.175321
63	-0.175307
64	-0.175293
65	-0.174623
66	-0.173966
67	-0.173323
68	-0.173349
69	-0.173374
70	-0.173399
71	-0.173423
72	-0.173447
73	-0.17347
74	-0.173493
75	-0.173516
76	-0.173538
77	-0.173559
78	-0.170044
79	-0.16741
80	-0.164829
81	-0.1623
82	-0.159821
83	-0.157392
84	-0.155011
85	-0.152678
86	-0.150391
87	-0.152156
88	-0.153886
89	-0.155581
90	-0.157243
91	-0.158871
92	-0.160466
93	-0.16203
94	-0.163562
95	-0.165064
96	-0.166535
97	-0.165934
98	-0.165345
99	-0.164767
100	-0.164201
101	-0.163647
102	-0.163103
103	-0.161767
104	-0.160457
105	-0.159174
106	-0.157916
107	-0.156684
108	-0.153506
109	-0.150392
110	-0.14734
111	-0.144349
112	-0.141418
113	-0.138545
114	-0.13573
115	-0.132972
116	-0.130268
117	-0.127619
118	-0.125022
119	-0.122478
120	-0.119984
121	-0.11754
122	-0.115145
123	-0.112798
124	-0.110498
125	-0.108244
126	-0.106035
127	-0.10387
128	-0.101749
129	-0.095222
130	-0.093273
131	-0.091363
132	-0.089492
133	-0.087658
134	-0.085861
135	-0.084099
136	-0.082373
137	-0.080682
138	-0.079024
139	-0.077399
140	-0.075807
141	-0.074247
142	-0.072718
143	-0.07122
144	-0.069751
145	-0.068312
146	-0.066902
147	-0.065519
148	-0.064165
149	-0.062837
150	-0.061537
151	-0.060262
152	-0.059012
153	-0.057788
154	-0.056588
155	-0.055412
156	-0.05426
157	-0.053131
158	-0.052024
159	-0.050939
160	-0.049876
161	-0.048835
162	-0.047814
163	-0.046814
164	-0.045833
165	-0.044872
166	-0.043931
167	-0.043008
168	-0.042104
169	-0.041218
170	-0.040349
171	-0.039498
172	-0.038664
173	-0.037847
174	-0.037046
175	-0.036261
176	-0.035491
177	-0.034737
178	-0.033998
