episode	perf
0	-0.000573
1	-0.000573
2	0.001453
3	0.004788
4	0.00721
5	0.010737
6	0.014022
7	0.015043
8	0.016945
9	0.018507
10	0.021549
11	0.024076
12	0.024896
13	0.025214
14	0.025228
15	0.026377
16	0.029349
17	0.031848
18	0.030344
19	0.029317
20	0.029782
21	0.029067
22	0.028716
23	0.027416
24	0.027991
25	0.030089
26	0.032852
27	0.033065
28	0.035929
29	0.038455
30	0.039414
31	0.040408
32	0.043028
33	0.043389
34	0.04398
35	0.044882
36	0.044801
37	0.044866
38	0.044717
39	0.044866
40	0.044181
41	0.04182
42	0.040191
43	0.040914
44	0.043759
45	0.04441
46	0.045303
47	0.044869
48	0.043309
49	0.042287
50	0.042968
51	0.041901
52	0.044003
53	0.046318
54	0.048332
55	0.048169
56	0.04775
57	0.046053
58	0.044735
59	0.04384
60	0.044422
61	0.047037
62	0.04934
63	0.049976
64	0.052476
65	0.054926
66	0.05237
67	0.054441
68	0.054156
69	0.056119
70	0.054997
71	0.057015
72	0.058921
73	0.060861
74	0.062691
75	0.064555
76	0.066311
77	0.06651
78	0.068299
79	0.069569
80	0.071688
81	0.073765
82	0.075408
83	0.077018
84	0.078596
85	0.080142
86	0.08061
87	0.078703
88	0.077319
89	0.079272
90	0.081212
91	0.082653
92	0.084499
93	0.08485
94	0.086277
95	0.087116
96	0.088492
97	0.08984
98	0.090503
99	0.09174
100	0.093023
101	0.094281
102	0.095514
103	0.096722
104	0.094728
105	0.096333
106	0.097906
107	0.099448
108	0.100959
109	0.102439
110	0.10389
111	0.105312
112	0.106324
113	0.107316
114	0.108288
115	0.109241
116	0.110174
117	0.111089
118	0.111986
119	0.112864
120	0.110607
121	0.109393
122	0.108203
123	0.107037
124	0.105895
125	0.104775
126	0.103678
127	0.102602
128	0.101548
129	0.10093
130	0.102411
131	0.103863
132	0.105285
133	0.106679
134	0.108045
135	0.109384
136	0.110696
137	0.111982
138	0.113242
139	0.114477
140	0.115687
141	0.116873
142	0.118035
143	0.119174
144	0.12029
145	0.121384
146	0.11901
147	0.119748
148	0.120471
149	0.12118
150	0.121875
151	0.122556
152	0.123604
153	0.124632
154	0.125639
155	0.123126
156	0.124163
157	0.12518
158	0.126176
159	0.127152
160	0.128109
161	0.129046
162	0.129965
163	0.130865
164	0.131748
165	0.132612
166	0.13346
167	0.130791
168	0.131675
169	0.127854
170	0.128797
171	0.126454
172	0.127425
173	0.128376
174	0.129308
175	0.130222
176	0.131117
177	0.131994
178	0.132854
179	0.133697
180	0.134522
181	0.135332
182	0.136125
183	0.136902
184	0.137664
185	0.13841
186	0.139141
187	0.139858
188	0.140561
189	0.141249
190	0.141924
191	0.142585
192	0.143233
193	0.143868
194	0.14105
195	0.141729
196	0.142394
197	0.143046
198	0.143684
199	0.14431
200	0.144924
201	0.145525
202	0.142673
203	0.139627
204	0.140334
205	0.141027
206	0.141706
