episode	power
0	-0.047694
1	-0.047694
2	-0.04947
3	-0.052532
4	-0.045986
5	-0.043065
6	-0.04216
7	-0.042951
8	-0.030583
9	-0.028195
10	-0.029978
11	-0.031837
12	-0.032724
13	-0.034702
14	-0.03664
15	-0.037791
16	-0.036991
17	-0.038709
18	-0.044074
19	-0.04464
20	-0.044719
21	-0.046637
22	-0.028441
23	-0.025721
24	-0.03009
25	-0.031946
26	-0.033949
27	-0.015491
28	-0.015322
29	-0.015721
30	-0.018681
31	-0.020191
32	-0.019087
33	-0.020832
34	-0.022049
35	-0.023491
36	-0.025654
37	-0.028877
38	-0.030682
39	-0.031952
40	-0.015469
41	-0.017418
42	-0.00153
43	-0.005981
44	-0.011888
45	-0.016132
46	-0.017692
47	-0.000797
48	-0.002414
49	-0.00357
50	0.004588
51	0.020724
52	0.019604
53	0.017865
54	0.016803
55	0.012974
56	0.010082
57	0.010814
58	0.010381
59	0.026173
60	0.024016
61	0.021621
62	0.020483
63	0.017238
64	0.016937
65	0.016642
66	0.030093
67	0.029535
68	0.025452
69	0.025643
70	0.04113
71	0.040352
72	0.040245
73	0.039484
74	0.039395
75	0.038651
76	0.038579
77	0.045267
78	0.044406
79	0.042751
80	0.04194
81	0.041145
82	0.040366
83	0.039603
84	0.038855
85	0.038122
86	0.037404
87	0.031883
88	0.04721
89	0.04631
90	0.045242
91	0.04357
92	0.042743
93	0.039159
94	0.037917
95	0.037365
96	0.036662
97	0.035973
98	0.033328
99	0.033362
100	0.032739
101	0.032128
102	0.031529
103	0.030943
104	0.046274
105	0.045392
106	0.044529
107	0.043682
108	0.042853
109	0.04204
110	0.041243
111	0.040462
112	0.039697
113	0.038947
114	0.038212
115	0.037492
116	0.036787
117	0.036095
118	0.035417
119	0.034753
120	0.050058
121	0.053549
122	0.05697
123	0.060323
124	0.063609
125	0.066829
126	0.069984
127	0.073077
128	0.076107
129	0.091122
130	0.089344
131	0.087601
132	0.085893
133	0.084219
134	0.082579
135	0.080972
136	0.079396
137	0.077852
138	0.07634
139	0.074857
140	0.073404
141	0.07198
142	0.070584
143	0.069217
144	0.067877
145	0.066563
146	0.081849
147	0.080256
148	0.078695
149	0.077165
150	0.075666
151	0.074197
152	0.072757
153	0.071346
154	0.069963
155	0.084564
156	0.082917
157	0.081302
158	0.079721
159	0.07817
160	0.076651
161	0.075162
162	0.073703
163	0.072273
164	0.070872
165	0.069498
166	0.068152
167	0.082789
168	0.081178
169	0.094683
170	0.092833
171	0.107065
172	0.104968
173	0.102913
174	0.100898
175	0.098925
176	0.09699
177	0.095095
178	0.093237
179	0.091416
180	0.089632
181	0.087883
182	0.08617
183	0.084491
184	0.082845
185	0.081232
186	0.079652
187	0.078103
188	0.076585
189	0.075097
190	0.073639
191	0.072211
192	0.070811
193	0.069438
194	0.084522
195	0.082876
196	0.081263
