episode,perf,power,area,mean-perf,mean-power,mean-area,max-perf,max-power,max-area,min-perf,min-power,min-area
0,-0.000573,-0.047694,0.053212,-0.000573,-0.047694,0.053212,-0.000573,-0.047694,0.053212,-0.000573,-0.047694,0.053212
1,-0.000573,-0.047694,0.053212,-0.000573,-0.047694,0.053212,-0.000573,-0.047694,0.053212,-0.000573,-0.047694,0.053212
2,0.001453,-0.04947,0.053138,0.000102,-0.048286,0.053188,0.001453,-0.047694,0.053212,-0.000573,-0.04947,0.053138
3,0.004788,-0.052532,0.052694,0.001439,-0.049492,0.053058,0.004788,-0.047694,0.053212,-0.000573,-0.052532,0.052694
4,0.00721,-0.045986,0.053133,0.002985,-0.049141,0.053043,0.008057,-0.041245,0.053641,-0.000573,-0.055532,0.052258
5,0.010737,-0.043065,0.054176,0.00485,-0.048357,0.053205,0.011568,-0.034925,0.054674,-0.000573,-0.058473,0.051831
6,0.014022,-0.04216,0.054394,0.006902,-0.047554,0.053374,0.015008,-0.028731,0.055686,-0.000573,-0.061354,0.051413
7,0.015043,-0.042951,0.054738,0.008807,-0.046951,0.053565,0.018379,-0.022661,0.056678,-0.000573,-0.064178,0.051003
8,0.016945,-0.030583,0.053501,0.010692,-0.045042,0.053597,0.021683,-0.010699,0.05765,-0.000573,-0.066946,0.049841
9,0.018507,-0.028195,0.05339,0.012523,-0.043091,0.053614,0.024921,0.001024,0.058603,-0.000573,-0.069658,0.048702
10,0.021549,-0.029978,0.053674,0.01466,-0.041318,0.053659,0.028095,0.012512,0.059537,-0.000573,-0.072316,0.047586
11,0.024076,-0.031837,0.054011,0.017051,-0.039731,0.053737,0.031204,0.023771,0.060452,0.00074,-0.074921,0.046492
12,0.024896,-0.032724,0.054253,0.019323,-0.038056,0.053848,0.034252,0.034804,0.061348,0.002026,-0.077474,0.04542
13,0.025214,-0.034702,0.054567,0.021295,-0.036272,0.054034,0.037238,0.045617,0.062227,0.002802,-0.078557,0.044369
14,0.025228,-0.03664,0.055,0.023027,-0.035336,0.05422,0.040165,0.056213,0.063088,0.003264,-0.079619,0.04334
15,0.026377,-0.037791,0.055698,0.024523,-0.034808,0.054371,0.042862,0.066597,0.063624,0.003717,-0.080659,0.042331
16,0.029349,-0.036991,0.055885,0.025989,-0.03429,0.054519,0.045504,0.076774,0.064148,0.00416,-0.081678,0.041342
17,0.031848,-0.038709,0.056146,0.027604,-0.033865,0.054659,0.048094,0.086747,0.064662,0.004595,-0.082677,0.040373
18,0.030344,-0.044074,0.05576,0.02888,-0.035213,0.054884,0.050631,0.086788,0.065166,0.003636,-0.087162,0.040302
19,0.029317,-0.04464,0.057199,0.029898,-0.036856,0.055264,0.053118,0.085097,0.066417,0.002696,-0.091557,0.040233
20,0.029782,-0.044719,0.056405,0.03066,-0.038329,0.055536,0.055556,0.083439,0.067643,0.001775,-0.095865,0.039779
21,0.029067,-0.046637,0.056859,0.031098,-0.039808,0.05582,0.057944,0.081814,0.068844,0.000872,-0.100086,0.039334
22,0.028716,-0.028441,0.054975,0.031421,-0.039379,0.055892,0.060285,0.097442,0.070022,-0.000013,-0.104222,0.0378
23,0.027416,-0.025721,0.054835,0.031584,-0.03848,0.055918,0.062579,0.112757,0.071175,-0.00088,-0.108276,0.036297
24,0.027991,-0.03009,0.054369,0.031803,-0.037824,0.055854,0.064827,0.127766,0.072306,-0.001729,-0.112249,0.034825
25,0.030089,-0.031946,0.05466,0.032119,-0.037239,0.055749,0.06703,0.142474,0.073414,-0.002562,-0.116143,0.033381
