episode	area
0	0.398801
1	0.385315
2	0.391344
3	0.393335
4	0.396116
5	0.397828
6	0.389982
7	0.392879
8	0.396713
9	0.398823
10	0.398931
11	0.400951
12	0.402896
13	0.405267
14	0.406823
15	0.408799
16	0.413646
17	0.41578
18	0.421792
19	0.422667
20	0.424143
21	0.428558
22	0.432817
23	0.435076
24	0.436417
25	0.437512
26	0.438686
27	0.439818
28	0.433675
29	0.421177
30	0.423844
31	0.425899
32	0.427104
33	0.427983
34	0.429246
35	0.43128
36	0.432579
37	0.423269
38	0.415094
39	0.416748
40	0.418338
41	0.420076
42	0.412151
43	0.414012
44	0.415837
45	0.417445
46	0.419201
47	0.420922
48	0.422428
49	0.424211
50	0.425652
51	0.427063
52	0.428447
53	0.422362
54	0.424474
55	0.426089
56	0.41754
57	0.419294
58	0.421013
59	0.422697
60	0.424348
61	0.425966
62	0.427492
63	0.429047
64	0.430571
65	0.432064
66	0.425966
67	0.427551
68	0.429105
69	0.421771
70	0.42344
71	0.425076
72	0.426679
73	0.428251
74	0.42979
75	0.4313
76	0.432778
77	0.434228
78	0.435648
79	0.43704
80	0.438404
81	0.439741
82	0.430698
83	0.432189
84	0.43365
85	0.435082
86	0.42638
87	0.41771
88	0.419461
89	0.421177
90	0.422858
91	0.414401
92	0.405565
93	0.407558
94	0.409512
95	0.411426
96	0.413303
97	0.415141
98	0.416943
99	0.408605
100	0.400929
101	0.403015
102	0.40506
103	0.407064
104	0.409027
105	0.410951
106	0.412837
107	0.414685
108	0.416496
109	0.418271
110	0.420011
111	0.421715
112	0.423386
113	0.425023
114	0.426627
115	0.4282
116	0.42974
117	0.43125
118	0.43273
119	0.434181
120	0.435602
121	0.436995
122	0.425714
123	0.427305
124	0.428864
125	0.430391
126	0.431888
127	0.423009
128	0.424654
129	0.426266
130	0.427845
131	0.429393
132	0.43091
133	0.432397
134	0.423476
135	0.425111
136	0.426714
137	0.428285
138	0.420425
139	0.422121
140	0.423783
141	0.425413
142	0.416904
143	0.418671
144	0.420402
145	0.422099
146	0.423762
147	0.425392
148	0.426989
149	0.428554
150	0.430087
151	0.431591
152	0.433064
153	0.434507
154	0.419707
155	0.421418
156	0.423095
157	0.424737
158	0.426348
159	0.427925
160	0.429472
161	0.430987
162	0.432472
163	0.423627
164	0.415154
165	0.416956
166	0.418722
167	0.420452
168	0.422148
169	0.42381
170	0.425438
171	0.427034
172	0.428599
173	0.430131
174	0.431634
175	0.433106
176	0.434549
177	0.435962
178	0.437348
179	0.438706
180	0.440037
181	0.441341
182	0.442619
183	0.443871
184	0.445099
185	0.436475
186	0.437851
187	0.439199
188	0.440519
189	0.431644
190	0.433116
191	0.424454
192	0.42607
193	0.427653
194	0.429205
195	0.430726
196	0.432216
197	0.433676
198	0.435108
199	0.43651
200	0.437885
201	0.427483
202	0.429038
203	0.430562
204	0.432056
205	0.433519
206	0.424849
207	0.426457
208	0.428033
209	0.429577
210	0.43109
211	0.432573
212	0.434026
213	0.435451
214	0.436847
215	0.438214
216	0.439555
217	0.440869
218	0.442156
219	0.443418
220	0.444654
221	0.445866
222	0.447054
223	0.448217
224	0.443403
225	0.444544
226	0.445758
227	0.446948
228	0.448114
229	0.449256
230	0.450376
231	0.451473
232	0.452549
233	0.453602
234	0.454635
235	0.445587
236	0.44678
237	0.447949
238	0.439451
239	0.440766
240	0.442056
241	0.44332
242	0.444558
243	0.445772
244	0.446961
245	0.448127
246	0.449269
247	0.450388
248	0.451486
249	0.452561
250	0.453614
251	0.445306
252	0.446505
253	0.447679
254	0.448831
255	0.449959
256	0.451064
257	0.452148
258	0.45321
259	0.454251
260	0.45527
261	0.45627
262	0.447185
263	0.448346
264	0.449484
265	0.450599
266	0.451692
267	0.452763
268	0.453812
269	0.454841
270	0.445878
