episode	max-perf
0	-0.022093
1	-0.022093
2	-0.02155
3	-0.021018
4	-0.019715
5	-0.016564
6	-0.013475
7	-0.010449
8	-0.007483
9	-0.004576
10	-0.001727
11	0.001065
12	0.003801
13	0.006482
14	0.009109
15	0.011471
16	0.013786
17	0.016054
18	0.018277
19	0.020667
20	0.023009
21	0.025305
22	0.027554
23	0.029759
24	0.031919
25	0.034036
26	0.036111
27	0.038144
28	0.040724
29	0.043252
30	0.045729
31	0.048157
32	0.050536
33	0.052868
34	0.055153
35	0.057393
36	0.059587
37	0.061738
38	0.063428
39	0.064839
40	0.066221
41	0.067575
42	0.068902
43	0.070203
44	0.071478
45	0.072727
46	0.073951
47	0.075151
48	0.076327
49	0.077438
50	0.078527
51	0.079595
52	0.08064
53	0.082266
54	0.083859
55	0.08542
56	0.08695
57	0.088449
58	0.089918
59	0.091358
60	0.092769
61	0.094152
62	0.095507
63	0.096318
64	0.097113
65	0.097892
66	0.098656
67	0.099404
68	0.100137
69	0.100856
70	0.10156
71	0.10225
72	0.10284
73	0.103418
74	0.103985
75	0.10454
76	0.105084
77	0.105617
78	0.106139
79	0.106651
80	0.107153
81	0.107645
82	0.108127
83	0.108599
84	0.109062
85	0.109515
86	0.10996
87	0.110396
88	0.110822
89	0.111241
90	0.111651
91	0.112053
92	0.112446
93	0.112832
94	0.11321
95	0.113581
96	0.113944
97	0.1143
98	0.114649
99	0.114991
100	0.115326
101	0.115654
102	0.115976
103	0.116291
104	0.1166
105	0.116903
106	0.117199
107	0.11749
108	0.117775
109	0.118055
110	0.118328
111	0.118597
112	0.118859
113	0.119117
114	0.119369
115	0.119617
116	0.119859
117	0.120097
118	0.12033
119	0.120558
120	0.120782
121	0.121001
122	0.121216
123	0.121426
124	0.121632
125	0.121835
126	0.122033
127	0.122227
128	0.122417
129	0.122604
130	0.122786
131	0.122965
132	0.123141
133	0.123313
134	0.123481
135	0.123647
136	0.123808
137	0.123967
138	0.124122
139	0.124275
140	0.124424
141	0.12457
142	0.124714
143	0.124854
144	0.124992
145	0.125127
146	0.125259
147	0.125389
148	0.125516
149	0.12564
150	0.125762
151	0.125882
152	0.125999
153	0.126114
154	0.126226
155	0.126337
156	0.126445
157	0.126551
158	0.126654
159	0.126756
160	0.126856
161	0.126954
162	0.127049
163	0.127143
164	0.127235
165	0.127325
166	0.127413
167	0.1275
168	0.127585
169	0.127668
170	0.127749
171	0.127829
172	0.127907
173	0.127984
174	0.128059
175	0.128133
176	0.128205
177	0.128276
178	0.128345
179	0.128413
180	0.128479
181	0.128545
182	0.128608
183	0.128671
184	0.128732
185	0.128793
186	0.128852
187	0.128909
188	0.128966
189	0.129021
190	0.129076
191	0.129129
192	0.129181
193	0.129232
194	0.129283
195	0.129332
196	0.12938
197	0.129427
198	0.129473
199	0.129519
200	0.129563
201	0.184409
202	0.238158
203	0.290833
204	0.342453
205	0.393042
206	0.442618
207	0.491203
208	0.538817
209	0.585478
210	0.631205
211	0.621216
212	0.611427
213	0.601833
214	0.592431
215	0.583217
216	0.574188
217	0.565339
218	0.556667
219	0.548168
220	0.53984
221	0.531678
222	0.523679
223	0.51584
224	0.508158
225	0.50063
226	0.493252
227	0.486022
228	0.478936
229	0.471992
230	0.465187
231	0.458518
232	0.451983
233	0.445578
234	0.439301
235	0.43315
236	0.427122
237	0.421214
238	0.415424
239	0.409751
240	0.404191
241	0.398742
242	0.393402
243	0.388168
244	0.38304
245	0.378014
246	0.373088
247	0.368261
248	0.363531
249	0.358895
250	0.354352
251	0.353271
252	0.352211
253	0.351173
254	0.350155
255	0.349158
256	0.34818
257	0.347222
258	0.346284
259	0.345364
260	0.344462
261	0.340208
262	0.336039
263	0.331953
264	0.327948
265	0.324024
266	0.320179
267	0.31641
268	0.312716
269	0.309097
270	0.30555
