episode	max-power
0	0.344748
1	0.362217
2	0.379337
3	0.396115
4	0.412557
5	0.428671
6	0.444462
7	0.459937
8	0.475103
9	0.489966
10	0.504531
11	0.518383
12	0.531959
13	0.545263
14	0.558301
15	0.571078
16	0.570841
17	0.57061
18	0.570383
19	0.57016
20	0.569942
21	0.569728
22	0.566094
23	0.562532
24	0.563274
25	0.564002
26	0.564714
27	0.565413
28	0.577989
29	0.590313
30	0.602391
31	0.614227
32	0.625827
33	0.637194
34	0.648334
35	0.659252
36	0.669951
37	0.680448
38	0.690735
39	0.700816
40	0.710696
41	0.720378
42	0.729867
43	0.739166
44	0.748278
45	0.757209
46	0.765961
47	0.772994
48	0.779616
49	0.786106
50	0.792466
51	0.798699
52	0.794133
53	0.802276
54	0.810257
55	0.818078
56	0.825742
57	0.833253
58	0.840614
59	0.847828
60	0.854898
61	0.861826
62	0.868615
63	0.875218
64	0.881688
65	0.888029
66	0.893795
67	0.899444
68	0.904981
69	0.910958
70	0.916816
71	0.922556
72	0.928182
73	0.933695
74	0.939098
75	0.944393
76	0.949582
77	0.954667
78	0.959651
79	0.946498
80	0.933607
81	0.920975
82	0.926751
83	0.932412
84	0.93796
85	0.943396
86	0.948724
87	0.953946
88	0.959062
89	0.964077
90	0.968991
91	0.973807
92	0.978478
93	0.983056
94	0.987542
95	0.991938
96	0.996247
97	1.000439
98	1.004547
99	1.008574
100	1.012519
101	1.016386
102	1.020176
103	1.023889
104	1.027529
105	1.031096
106	1.034591
107	1.038016
108	1.041373
109	1.044663
110	1.02981
111	1.015253
112	1.000988
113	0.987008
114	0.973307
115	0.959881
116	0.946723
117	0.933828
118	0.921192
119	0.908808
120	0.896671
121	0.884777
122	0.891034
123	0.897165
124	0.903173
125	0.909062
126	0.914832
127	0.920549
128	0.926151
129	0.931641
130	0.937021
131	0.942294
132	0.947461
133	0.952525
134	0.957515
135	0.962406
136	0.967198
137	0.971895
138	0.976498
139	0.981009
140	0.98543
141	0.989762
142	0.994008
143	0.998168
144	1.002205
145	1.006161
146	1.010038
147	1.013837
148	1.01756
149	1.021209
150	1.024785
151	1.028289
152	1.013763
153	0.999527
154	1.003528
155	1.007449
156	1.011291
157	1.015057
158	1.018747
159	1.022363
160	1.025907
161	1.02938
162	1.032784
163	1.036226
164	1.0396
165	1.042906
166	1.046146
167	1.049321
168	1.052433
169	1.055482
170	1.058471
171	1.061399
172	1.064269
173	1.066376
174	1.051088
175	1.036106
176	1.021424
177	1.007035
178	0.992934
179	0.979115
180	0.965573
181	0.952301
182	0.939295
183	0.926548
184	0.914057
185	0.919821
186	0.925469
187	0.931005
188	0.936429
189	0.942604
190	0.948656
191	0.954587
192	0.960398
193	0.966094
194	0.971676
195	0.977146
196	0.982507
197	0.98776
198	0.992909
199	0.997124
200	1.001254
201	1.004372
202	1.007428
203	1.010423
204	1.013358
205	1.016234
206	1.019927
207	1.023545
208	1.027091
209	1.030566
210	1.033971
211	1.037309
212	1.040579
213	1.043784
214	1.046925
215	1.050004
216	1.035043
217	1.020382
218	1.006014
219	0.991934
220	0.978135
221	0.964612
222	0.95136
223	0.938372
224	0.94379
225	0.949099
226	0.954302
227	0.959401
228	0.964398
229	0.969295
230	0.974094
231	0.978797
232	0.983406
233	0.987923
234	0.974204
235	0.978784
236	0.983273
237	0.987672
238	0.99228
239	0.996796
240	1.001222
241	1.005559
242	1.009809
243	1.013975
244	1.018057
245	1.022057
246	1.025978
247	1.02982
248	1.015263
249	1.000997
250	0.987017
251	0.991803
252	0.996493
253	1.00109
254	1.005594
255	1.010009
256	1.014335
257	1.018574
258	1.022729
259	1.026801
260	1.030791
261	1.016215
262	1.019987
263	1.023684
264	1.027307
265	1.030858
266	1.034338
267	1.037748
268	1.041089
269	1.044364
270	1.047574
