episode	mean-area
0	0.398801
1	0.392058
2	0.389618
3	0.38833
4	0.387897
5	0.387856
6	0.386729
7	0.386133
8	0.386054
9	0.386218
10	0.386389
11	0.388107
12	0.389414
13	0.390756
14	0.391972
15	0.393212
16	0.395718
17	0.398145
18	0.400788
19	0.403304
20	0.405954
21	0.408841
22	0.411957
23	0.415059
24	0.418138
25	0.421126
26	0.423744
27	0.42626
28	0.427558
29	0.427517
30	0.427592
31	0.42743
32	0.426959
33	0.426349
34	0.42573
35	0.425202
36	0.424684
37	0.423121
38	0.421352
39	0.420997
40	0.420533
41	0.420035
42	0.418622
43	0.417306
44	0.416045
45	0.414739
46	0.413478
47	0.413318
48	0.414125
49	0.414943
50	0.415745
51	0.416512
52	0.41821
53	0.419111
54	0.420039
55	0.420967
56	0.420864
57	0.420762
58	0.42068
59	0.420588
60	0.420515
61	0.420461
62	0.420421
63	0.421144
64	0.421807
65	0.422456
66	0.42335
67	0.424225
68	0.425083
69	0.425039
70	0.424995
71	0.424952
72	0.424916
73	0.42488
74	0.424846
75	0.424812
76	0.425535
77	0.426243
78	0.426937
79	0.428503
80	0.430038
81	0.431542
82	0.431981
83	0.432411
84	0.432832
85	0.433245
86	0.432639
87	0.431021
88	0.429435
89	0.427881
90	0.426357
91	0.423854
92	0.421371
93	0.418937
94	0.416553
95	0.414215
96	0.412935
97	0.412706
98	0.412481
99	0.41125
100	0.409082
101	0.407969
102	0.407943
103	0.407918
104	0.407893
105	0.407869
106	0.407845
107	0.407821
108	0.407798
109	0.408787
110	0.410716
111	0.412606
112	0.414459
113	0.416274
114	0.418054
115	0.419798
116	0.421506
117	0.423181
118	0.424822
119	0.426431
120	0.428007
121	0.429552
122	0.429801
123	0.430045
124	0.430285
125	0.430519
126	0.430749
127	0.42994
128	0.429147
129	0.42837
130	0.427608
131	0.426861
132	0.427394
133	0.427917
134	0.427391
135	0.426876
136	0.426371
137	0.42691
138	0.426499
139	0.426096
140	0.425702
141	0.425315
142	0.423925
143	0.422563
144	0.422267
145	0.421976
146	0.421691
147	0.421411
148	0.422077
149	0.42273
150	0.42337
151	0.423997
152	0.425622
153	0.427214
154	0.427153
155	0.427094
156	0.427035
157	0.426978
158	0.426922
159	0.426867
160	0.426813
161	0.42676
162	0.426708
163	0.425627
164	0.425179
165	0.424739
166	0.424309
167	0.423887
168	0.423474
169	0.423068
170	0.422671
171	0.422282
172	0.421901
173	0.422557
174	0.424211
175	0.425831
176	0.42742
177	0.428976
178	0.430501
179	0.431996
180	0.433461
181	0.434897
182	0.436304
183	0.437682
184	0.439033
185	0.439375
186	0.43971
187	0.440038
188	0.440359
189	0.439657
190	0.43897
191	0.437285
192	0.435634
193	0.434016
194	0.432431
195	0.431859
196	0.4313
197	0.430751
198	0.430213
199	0.430703
200	0.431184
201	0.43149
202	0.43179
203	0.432084
204	0.432372
205	0.432655
206	0.431921
207	0.431202
208	0.430498
209	0.429807
210	0.42913
211	0.429642
212	0.430144
213	0.430635
214	0.431117
215	0.431589
216	0.433062
217	0.434505
218	0.43592
219	0.437306
220	0.438665
221	0.439997
222	0.441302
223	0.44258
224	0.443238
225	0.443873
226	0.444495
227	0.445105
228	0.445703
229	0.446289
230	0.446863
231	0.447425
232	0.447977
233	0.448517
234	0.449642
235	0.449748
236	0.449852
237	0.449953
238	0.449089
239	0.448241
240	0.447411
241	0.446597
242	0.445799
243	0.445018
244	0.444252
245	0.444507
246	0.444757
247	0.445002
248	0.446207
249	0.447388
250	0.448545
251	0.448745
252	0.448941
253	0.449132
254	0.449321
255	0.449505
256	0.449686
257	0.449863
258	0.450036
259	0.450206
260	0.450373
261	0.45147
262	0.451539
263	0.451607
264	0.451673
265	0.451738
266	0.451801
267	0.451864
268	0.451925
269	0.451985
270	0.451046
