episode	mean-perf
0	-0.022093
1	-0.022328
2	-0.022299
3	-0.022202
4	-0.021861
5	-0.02105
6	-0.020224
7	-0.025258
8	-0.029629
9	-0.033419
10	-0.037158
11	-0.040715
12	-0.048693
13	-0.056355
14	-0.063698
15	-0.07092
16	-0.077875
17	-0.080019
18	-0.082111
19	-0.083893
20	-0.085315
21	-0.086503
22	-0.083003
23	-0.079664
24	-0.081085
25	-0.082455
26	-0.083716
27	-0.084918
28	-0.085734
29	-0.086516
30	-0.087473
31	-0.088556
32	-0.089567
33	-0.090608
34	-0.086932
35	-0.083414
36	-0.079966
37	-0.076604
38	-0.07365
39	-0.070779
40	-0.067766
41	-0.064626
42	-0.061786
43	-0.05874
44	-0.05575
45	-0.052744
46	-0.049797
47	-0.046699
48	-0.043393
49	-0.044855
50	-0.046287
51	-0.047691
52	-0.048798
53	-0.049822
54	-0.050909
55	-0.051974
56	-0.053318
57	-0.054636
58	-0.055927
59	-0.052495
60	-0.049133
61	-0.045838
62	-0.0426
63	-0.039487
64	-0.036355
65	-0.033285
66	-0.030572
67	-0.027914
68	-0.025309
69	-0.023014
70	-0.020764
71	-0.01856
72	-0.016408
73	-0.0143
74	-0.012233
75	-0.010208
76	-0.007627
77	-0.005097
78	-0.002618
79	0.00007
80	0.002703
81	0.005284
82	0.007583
83	0.009835
84	0.012043
85	0.014207
86	0.016064
87	0.01763
88	0.019164
89	0.020668
90	0.022142
91	0.023342
92	0.024598
93	0.025829
94	0.027035
95	0.028218
96	0.02964
97	0.031287
98	0.032902
99	0.034221
100	0.035255
101	0.036513
102	0.037895
103	0.03925
104	0.040578
105	0.04188
106	0.043155
107	0.044405
108	0.04563
109	0.047094
110	0.048787
111	0.050446
112	0.052072
113	0.053665
114	0.055226
115	0.056757
116	0.058256
117	0.059726
118	0.061166
119	0.062578
120	0.063961
121	0.065317
122	0.066527
123	0.067713
124	0.068876
125	0.070015
126	0.071131
127	0.071961
128	0.072773
129	0.07357
130	0.074351
131	0.075116
132	0.075983
133	0.076834
134	0.077423
135	0.077999
136	0.078565
137	0.079383
138	0.07994
139	0.080486
140	0.081021
141	0.081545
142	0.081795
143	0.08204
144	0.082525
145	0.083
146	0.083466
147	0.083922
148	0.084615
149	0.085294
150	0.08596
151	0.086612
152	0.087514
153	0.088399
154	0.088897
155	0.089385
156	0.089863
157	0.090332
158	0.090791
159	0.091241
160	0.091682
161	0.092114
162	0.092538
163	0.092723
164	0.092986
165	0.093243
166	0.093495
167	0.093742
168	0.093984
169	0.094221
170	0.094453
171	0.094681
172	0.094904
173	0.095353
174	0.096081
175	0.096794
176	0.097493
177	0.098178
178	0.098849
179	0.099507
180	0.100151
181	0.100783
182	0.101402
183	0.102009
184	0.102604
185	0.102959
186	0.103307
187	0.103648
188	0.103982
189	0.103994
190	0.104005
191	0.103747
192	0.103495
193	0.103247
194	0.103004
195	0.102994
196	0.102984
197	0.102974
198	0.102965
199	0.103271
200	0.103571
201	0.109615
202	0.115538
203	0.121342
204	0.12703
205	0.132605
206	0.137818
207	0.142928
208	0.147935
209	0.152841
210	0.15765
211	0.156883
212	0.15613
213	0.155393
214	0.15467
215	0.153962
216	0.153518
217	0.153082
218	0.152655
219	0.152237
220	0.151827
221	0.151425
222	0.151032
223	0.150646
224	0.150003
225	0.149353
226	0.148716
227	0.148092
228	0.14748
229	0.14688
230	0.146292
231	0.145717
232	0.145152
233	0.144599
234	0.144322
235	0.143845
236	0.143378
237	0.14292
238	0.14206
239	0.141217
240	0.140391
241	0.139581
242	0.138788
243	0.13801
244	0.137248
245	0.136727
246	0.136216
247	0.135715
248	0.135636
249	0.135558
250	0.135481
251	0.135744
252	0.136001
253	0.136253
254	0.1365
255	0.136741
256	0.136978
257	0.137211
258	0.137438
259	0.137662
260	0.13788
261	0.137757
262	0.137381
263	0.137012
264	0.13665
265	0.136295
266	0.135948
267	0.135607
268	0.135274
269	0.134947
270	0.134294
