episode	mean-power
0	0.344748
1	0.353482
2	0.358646
3	0.362131
4	0.364333
5	0.365962
6	0.369705
7	0.373367
8	0.376419
9	0.377578
10	0.377212
11	0.374217
12	0.371857
13	0.369488
14	0.365731
15	0.361911
16	0.356351
17	0.350416
18	0.343213
19	0.336098
20	0.330318
21	0.32563
22	0.320628
23	0.315723
24	0.31309
25	0.309268
26	0.305487
27	0.301784
28	0.301308
29	0.304066
30	0.306922
31	0.309587
32	0.31201
33	0.314667
34	0.316802
35	0.320264
36	0.323657
37	0.328755
38	0.333599
39	0.336429
40	0.339212
41	0.341902
42	0.346223
43	0.350246
44	0.354062
45	0.35773
46	0.361385
47	0.363182
48	0.363251
49	0.363988
50	0.36471
51	0.365357
52	0.364328
53	0.365118
54	0.364409
55	0.363775
56	0.364946
57	0.366094
58	0.367278
59	0.367903
60	0.368574
61	0.369292
62	0.368571
63	0.366067
64	0.365096
65	0.364144
66	0.363166
67	0.362208
68	0.361268
69	0.362152
70	0.363018
71	0.363866
72	0.366181
73	0.368449
74	0.370672
75	0.372851
76	0.373237
77	0.373616
78	0.373987
79	0.372547
80	0.371136
81	0.369753
82	0.370213
83	0.370664
84	0.371107
85	0.37154
86	0.37376
87	0.377747
88	0.381654
89	0.385483
90	0.389236
91	0.394712
92	0.400071
93	0.405322
94	0.410468
95	0.415512
96	0.418658
97	0.419931
98	0.421179
99	0.424197
100	0.428963
101	0.431835
102	0.432842
103	0.433829
104	0.434796
105	0.435743
106	0.436672
107	0.437582
108	0.438474
109	0.437552
110	0.434841
111	0.432184
112	0.42958
113	0.427028
114	0.424527
115	0.422076
116	0.419675
117	0.417321
118	0.415014
119	0.412754
120	0.410538
121	0.408367
122	0.408031
123	0.407701
124	0.407378
125	0.407062
126	0.406751
127	0.408245
128	0.409708
129	0.411142
130	0.412548
131	0.413925
132	0.413483
133	0.413051
134	0.414427
135	0.415776
136	0.417097
137	0.416595
138	0.417889
139	0.419157
140	0.420399
141	0.421617
142	0.424606
143	0.427536
144	0.428607
145	0.429656
146	0.430685
147	0.431693
148	0.430895
149	0.430112
150	0.429346
151	0.428595
152	0.426063
153	0.423581
154	0.422944
155	0.42232
156	0.421709
157	0.42111
158	0.420522
159	0.419947
160	0.419383
161	0.41883
162	0.418288
163	0.419563
164	0.420753
165	0.421919
166	0.423061
167	0.424181
168	0.425278
169	0.426353
170	0.427407
171	0.428439
172	0.429451
173	0.428637
174	0.426104
175	0.423622
176	0.421189
177	0.418805
178	0.416469
179	0.414179
180	0.411936
181	0.409737
182	0.407582
183	0.40547
184	0.4034
185	0.403172
186	0.402949
187	0.40273
188	0.402516
189	0.404192
190	0.405835
191	0.409249
192	0.412594
193	0.415872
194	0.419084
195	0.420432
196	0.421753
197	0.423047
198	0.424316
199	0.423672
200	0.423042
201	0.422331
202	0.421635
203	0.420952
204	0.420283
205	0.419628
206	0.420783
207	0.421915
208	0.423025
209	0.424112
210	0.425178
211	0.424512
212	0.423859
213	0.423219
214	0.422592
215	0.421978
216	0.419578
217	0.417226
218	0.414921
219	0.412663
220	0.410449
221	0.40828
222	0.406154
223	0.404071
224	0.403844
225	0.403612
226	0.403386
227	0.403164
228	0.402946
229	0.402733
230	0.402524
231	0.402319
232	0.402118
233	0.401922
234	0.399914
235	0.399758
236	0.399605
237	0.399455
238	0.401141
239	0.402792
240	0.404411
241	0.405997
242	0.407551
243	0.409075
244	0.410568
245	0.410228
246	0.409896
247	0.40957
248	0.407418
249	0.405309
250	0.403243
251	0.403067
252	0.402894
253	0.402724
254	0.402558
255	0.402395
256	0.402236
257	0.40208
258	0.401926
259	0.401776
260	0.401629
261	0.399636
262	0.399489
263	0.399345
264	0.399203
265	0.399065
266	0.398929
267	0.398796
268	0.398665
269	0.398537
270	0.400197
