episode	min-area
0	0.398801
1	0.385315
2	0.372099
3	0.359147
4	0.346455
5	0.334016
6	0.321825
7	0.309879
8	0.298172
9	0.286698
10	0.275454
11	0.270056
12	0.264765
13	0.25958
14	0.254499
15	0.249519
16	0.252614
17	0.255646
18	0.258618
19	0.26153
20	0.26561
21	0.269608
22	0.273526
23	0.277365
24	0.281128
25	0.284816
26	0.28843
27	0.291972
28	0.288786
29	0.279186
30	0.269778
31	0.260558
32	0.251523
33	0.242668
34	0.23399
35	0.225486
36	0.217152
37	0.208985
38	0.200981
39	0.196303
40	0.191718
41	0.187226
42	0.182823
43	0.178508
44	0.174279
45	0.170135
46	0.166074
47	0.163043
48	0.160259
49	0.15753
50	0.154855
51	0.152235
52	0.159114
53	0.158417
54	0.157733
55	0.157064
56	0.153895
57	0.150789
58	0.147746
59	0.144763
60	0.14184
61	0.138975
62	0.136168
63	0.133417
64	0.130721
65	0.128079
66	0.128061
67	0.128043
68	0.128025
69	0.126712
70	0.125425
71	0.124164
72	0.122929
73	0.121718
74	0.120531
75	0.119368
76	0.118228
77	0.117111
78	0.116016
79	0.123801
80	0.13143
81	0.138906
82	0.13588
83	0.132914
84	0.130008
85	0.12716
86	0.124369
87	0.121633
88	0.118953
89	0.116326
90	0.113751
91	0.111228
92	0.108456
93	0.105738
94	0.103075
95	0.100466
96	0.097908
97	0.095402
98	0.092945
99	0.090538
100	0.088179
101	0.085868
102	0.08415
103	0.082467
104	0.080818
105	0.079202
106	0.077617
107	0.076065
108	0.074544
109	0.07355
110	0.082183
111	0.090645
112	0.098937
113	0.107063
114	0.115026
115	0.122831
116	0.130479
117	0.137974
118	0.145319
119	0.152518
120	0.159572
121	0.166486
122	0.160615
123	0.154863
124	0.149225
125	0.1437
126	0.138286
127	0.13298
128	0.12778
129	0.122684
130	0.117689
131	0.112795
132	0.110298
133	0.107851
134	0.105422
135	0.10304
136	0.100707
137	0.09842
138	0.096179
139	0.093983
140	0.09183
141	0.089721
142	0.087654
143	0.085628
144	0.083915
145	0.082237
146	0.080592
147	0.078981
148	0.077401
149	0.075853
150	0.074336
151	0.072849
152	0.081497
153	0.089972
154	0.082063
155	0.074312
156	0.066716
157	0.059272
158	0.051977
159	0.044828
160	0.037822
161	0.030956
162	0.024227
163	0.017633
164	0.017084
165	0.016547
166	0.01602
167	0.015504
168	0.014998
169	0.014502
170	0.014016
171	0.013539
172	0.013073
173	0.012811
174	0.02266
175	0.032312
176	0.04177
177	0.05104
178	0.060124
179	0.069026
180	0.07775
181	0.0863
182	0.094679
183	0.10289
184	0.110937
185	0.108997
186	0.107096
187	0.105233
188	0.103407
189	0.101275
190	0.099184
191	0.097136
192	0.095129
193	0.093161
194	0.091233
195	0.089344
196	0.087492
197	0.085678
198	0.0839
199	0.082222
200	0.080577
201	0.077321
202	0.07413
203	0.071003
204	0.067939
205	0.064936
206	0.061992
207	0.059108
208	0.056282
209	0.053512
210	0.050797
211	0.049781
212	0.048785
213	0.04781
214	0.046853
215	0.045916
216	0.055103
217	0.064106
218	0.072928
219	0.081575
220	0.090048
221	0.098352
222	0.10649
223	0.114465
224	0.116325
225	0.118149
226	0.119936
227	0.121687
228	0.123403
229	0.125085
230	0.126734
231	0.128349
232	0.129932
233	0.131483
234	0.138863
235	0.13613
236	0.133452
237	0.130827
238	0.128255
239	0.125735
240	0.123265
241	0.120844
242	0.118471
243	0.116146
244	0.113868
245	0.112051
246	0.11027
247	0.108525
248	0.116459
249	0.124235
250	0.131855
251	0.129982
252	0.128146
253	0.126347
254	0.124584
255	0.122856
256	0.121163
257	0.119504
258	0.117878
259	0.116284
260	0.114722
261	0.122533
262	0.120122
263	0.11776
264	0.115445
265	0.113177
266	0.110953
267	0.108775
268	0.106639
269	0.104547
270	0.102496
