episode	min-perf
0	-0.022093
1	-0.022563
2	-0.023023
3	-0.023475
4	-0.023917
5	-0.02435
6	-0.024775
7	-0.070621
8	-0.11555
9	-0.159581
10	-0.202731
11	-0.245017
12	-0.286459
13	-0.327071
14	-0.366871
15	-0.405875
16	-0.444099
17	-0.480034
18	-0.51525
19	-0.549762
20	-0.583584
21	-0.616729
22	-0.604686
23	-0.592883
24	-0.625415
25	-0.657297
26	-0.688541
27	-0.71916
28	-0.749167
29	-0.778574
30	-0.807393
31	-0.835635
32	-0.863312
33	-0.890436
34	-0.872613
35	-0.855146
36	-0.838029
37	-0.821254
38	-0.804889
39	-0.788852
40	-0.773135
41	-0.757733
42	-0.742638
43	-0.727846
44	-0.713349
45	-0.699143
46	-0.68522
47	-0.671576
48	-0.658191
49	-0.689363
50	-0.719912
51	-0.74985
52	-0.779189
53	-0.807942
54	-0.836119
55	-0.863733
56	-0.890794
57	-0.917315
58	-0.943304
59	-0.924808
60	-0.906681
61	-0.888917
62	-0.871508
63	-0.854447
64	-0.837727
65	-0.821342
66	-0.808248
67	-0.795416
68	-0.78284
69	-0.770516
70	-0.758438
71	-0.746602
72	-0.735003
73	-0.723635
74	-0.712495
75	-0.701578
76	-0.687488
77	-0.673679
78	-0.660146
79	-0.644308
80	-0.628787
81	-0.613577
82	-0.600974
83	-0.588623
84	-0.576518
85	-0.564656
86	-0.553363
87	-0.542296
88	-0.53145
89	-0.520821
90	-0.510405
91	-0.500197
92	-0.490193
93	-0.480389
94	-0.470781
95	-0.461365
96	-0.452042
97	-0.442811
98	-0.433765
99	-0.425089
100	-0.416588
101	-0.408256
102	-0.400091
103	-0.392089
104	-0.384247
105	-0.376562
106	-0.369031
107	-0.36165
108	-0.354417
109	-0.347278
110	-0.337697
111	-0.328309
112	-0.319108
113	-0.310091
114	-0.301254
115	-0.292594
116	-0.284108
117	-0.275791
118	-0.26764
119	-0.259652
120	-0.251825
121	-0.244153
122	-0.237816
123	-0.231606
124	-0.22552
125	-0.219556
126	-0.21371
127	-0.209448
128	-0.205272
129	-0.201178
130	-0.197167
131	-0.193236
132	-0.189383
133	-0.185608
134	-0.181908
135	-0.178282
136	-0.174728
137	-0.171047
138	-0.167447
139	-0.163918
140	-0.160461
141	-0.157072
142	-0.153931
143	-0.150852
144	-0.147835
145	-0.144878
146	-0.141981
147	-0.139141
148	-0.136358
149	-0.133631
150	-0.130959
151	-0.128339
152	-0.123138
153	-0.11804
154	-0.116733
155	-0.115453
156	-0.114198
157	-0.112968
158	-0.111762
159	-0.110581
160	-0.109423
161	-0.108289
162	-0.107177
163	-0.106087
164	-0.10421
165	-0.10237
166	-0.100567
167	-0.098801
168	-0.097069
169	-0.095372
170	-0.093709
171	-0.09208
172	-0.090483
173	-0.088918
174	-0.084505
175	-0.08018
176	-0.075941
177	-0.071788
178	-0.067717
179	-0.063728
180	-0.059819
181	-0.055987
182	-0.052233
183	-0.048553
184	-0.044948
185	-0.04369
186	-0.042457
187	-0.041249
188	-0.040066
189	-0.039788
190	-0.039516
191	-0.039249
192	-0.038987
193	-0.038731
194	-0.03848
195	-0.038234
196	-0.037992
197	-0.037756
198	-0.037524
199	-0.03683
200	-0.03615
201	-0.032792
202	-0.029501
203	-0.026276
204	-0.023116
205	-0.020019
206	-0.019479
207	-0.018949
208	-0.01843
209	-0.017921
210	-0.017423
211	-0.016934
212	-0.016455
213	-0.015986
214	-0.015527
215	-0.015076
216	-0.01214
217	-0.009262
218	-0.006442
219	-0.003678
220	-0.00097
221	0.001684
222	0.004285
223	0.006834
224	0.006685
225	0.006539
226	0.006395
227	0.006255
228	0.006117
229	0.005982
230	0.005849
231	0.00572
232	0.005593
233	0.005468
234	0.007793
235	0.008019
236	0.008241
237	0.008459
238	0.006812
239	0.005198
240	0.003616
241	0.002066
242	0.000547
243	-0.000942
244	-0.002401
245	-0.003831
246	-0.005232
247	-0.006605
248	-0.003838
249	-0.001127
250	0.001531
251	0.004135
252	0.006687
253	0.009188
254	0.011639
255	0.014041
256	0.016395
257	0.018702
258	0.020963
259	0.023178
260	0.025349
261	0.027477
262	0.026999
263	0.02653
264	0.026071
265	0.025621
266	0.02518
267	0.024748
268	0.024324
269	0.023909
270	0.022742
