episode	min-power
0	0.344748
1	0.344748
2	0.343293
3	0.341867
4	0.339619
5	0.337416
6	0.335257
7	0.33314
8	0.331067
9	0.316643
10	0.302193
11	0.288031
12	0.274152
13	0.260551
14	0.245579
15	0.230906
16	0.216526
17	0.202434
18	0.188624
19	0.17509
20	0.161827
21	0.148829
22	0.136091
23	0.123607
24	0.112772
25	0.102153
26	0.091747
27	0.081549
28	0.071554
29	0.062579
30	0.053783
31	0.045163
32	0.036715
33	0.028436
34	0.020323
35	0.025158
36	0.029897
37	0.03454
38	0.039091
39	0.043032
40	0.046893
41	0.050678
42	0.054386
43	0.058021
44	0.061583
45	0.065073
46	0.068494
47	0.071846
48	0.075132
49	0.079071
50	0.082932
51	0.086716
52	0.090424
53	0.094058
54	0.083387
55	0.072929
56	0.062679
57	0.052635
58	0.042792
59	0.033146
60	0.023692
61	0.014428
62	0.005346
63	-0.003554
64	-0.012276
65	-0.020823
66	-0.0292
67	-0.037409
68	-0.045454
69	-0.053338
70	-0.061064
71	-0.068636
72	-0.061223
73	-0.053959
74	-0.04684
75	-0.039863
76	-0.033026
77	-0.026326
78	-0.01976
79	-0.013325
80	-0.007019
81	-0.000838
82	0.005218
83	0.011153
84	0.01697
85	0.022671
86	0.028257
87	0.033731
88	0.039097
89	0.044354
90	0.049507
91	0.054557
92	0.059505
93	0.064355
94	0.069108
95	0.073765
96	0.07833
97	0.082803
98	0.087187
99	0.091483
100	0.095693
101	0.099819
102	0.103862
103	0.107825
104	0.111708
105	0.115513
106	0.119243
107	0.122898
108	0.12648
109	0.12999
110	0.13343
111	0.136801
112	0.140105
113	0.143342
114	0.146515
115	0.149625
116	0.152672
117	0.155658
118	0.158585
119	0.161453
120	0.164264
121	0.167018
122	0.169717
123	0.172363
124	0.174955
125	0.177496
126	0.179986
127	0.182426
128	0.184817
129	0.187161
130	0.189457
131	0.191708
132	0.193913
133	0.196075
134	0.198193
135	0.200269
136	0.202303
137	0.204297
138	0.206251
139	0.208166
140	0.210042
141	0.211881
142	0.213683
143	0.215449
144	0.21718
145	0.218876
146	0.220538
147	0.222167
148	0.223764
149	0.225328
150	0.226861
151	0.228364
152	0.229836
153	0.231279
154	0.232694
155	0.234079
156	0.235438
157	0.236769
158	0.238073
159	0.239351
160	0.240604
161	0.241832
162	0.243035
163	0.244214
164	0.245369
165	0.246502
166	0.247611
167	0.248699
168	0.249765
169	0.250809
170	0.251833
171	0.252836
172	0.253819
173	0.254782
174	0.255726
175	0.256652
176	0.257558
177	0.258447
178	0.259318
179	0.260171
180	0.261008
181	0.261827
182	0.26263
183	0.263418
184	0.264189
185	0.264945
186	0.265686
187	0.266412
188	0.267123
189	0.267821
190	0.268504
191	0.269174
192	0.26983
193	0.270473
194	0.271103
195	0.271721
196	0.272326
197	0.27292
198	0.273501
199	0.274071
200	0.274629
201	0.275176
202	0.275712
203	0.276238
204	0.276753
205	0.277258
206	0.277752
207	0.278237
208	0.278712
209	0.279178
210	0.279634
211	0.280081
212	0.280519
213	0.280948
214	0.281369
215	0.281781
216	0.282186
217	0.282582
218	0.28297
219	0.28335
220	0.283723
221	0.284088
222	0.284446
223	0.284797
224	0.285141
225	0.285391
226	0.285637
227	0.285877
228	0.286113
229	0.286344
230	0.286571
231	0.286793
232	0.28701
233	0.287223
234	0.287432
235	0.287723
236	0.288009
237	0.288288
238	0.288562
239	0.288831
240	0.289094
241	0.289352
242	0.289604
243	0.289852
244	0.290095
245	0.290333
246	0.290566
247	0.290794
248	0.291018
249	0.291237
250	0.291452
251	0.291663
252	0.29187
253	0.292072
254	0.29227
255	0.292465
256	0.292655
257	0.292842
258	0.293025
259	0.293204
260	0.29338
261	0.293552
262	0.293721
263	0.293886
264	0.294048
265	0.294207
266	0.294362
267	0.294515
268	0.294664
269	0.294811
270	0.294954
