episode	perf
0	-0.022093
1	-0.022563
2	-0.02201
3	-0.021714
4	-0.020398
5	-0.017233
6	-0.016295
7	-0.062311
8	-0.061453
9	-0.060154
10	-0.059637
11	-0.058294
12	-0.101946
13	-0.098483
14	-0.093969
15	-0.089599
16	-0.085984
17	-0.083894
18	-0.082507
19	-0.078102
20	-0.073991
21	-0.070303
22	-0.067074
23	-0.065213
24	-0.108299
25	-0.103413
26	-0.098707
27	-0.096036
28	-0.090773
29	-0.086033
30	-0.083666
31	-0.081242
32	-0.077284
33	-0.075724
34	-0.071634
35	-0.068327
36	-0.064323
37	-0.062509
38	-0.061319
39	-0.057414
40	-0.053628
41	-0.04992
42	-0.048968
43	-0.045354
44	-0.041812
45	-0.038338
46	-0.034937
47	-0.031603
48	-0.028333
49	-0.072103
50	-0.068023
51	-0.064025
52	-0.060106
53	-0.055666
54	-0.052744
55	-0.049054
56	-0.048442
57	-0.044839
58	-0.041307
59	-0.037846
60	-0.034454
61	-0.03113
62	-0.027786
63	-0.024596
64	-0.021469
65	-0.018405
66	-0.02137
67	-0.018307
68	-0.015306
69	-0.014941
70	-0.012008
71	-0.009133
72	-0.006315
73	-0.003554
74	-0.000848
75	0.001804
76	0.004402
77	0.006949
78	0.009445
79	0.011891
80	0.014288
81	0.016637
82	0.016636
83	0.018938
84	0.021194
85	0.023405
86	0.022937
87	0.022574
88	0.024758
89	0.026897
90	0.028994
91	0.028604
92	0.029167
93	0.031219
94	0.033229
95	0.035199
96	0.03713
97	0.039022
98	0.040877
99	0.040059
100	0.039309
101	0.041158
102	0.042969
103	0.044745
104	0.046485
105	0.04819
106	0.049861
107	0.051498
108	0.053103
109	0.054676
110	0.056217
111	0.057728
112	0.059208
113	0.060659
114	0.06208
115	0.063473
116	0.064839
117	0.066177
118	0.067488
119	0.068773
120	0.070032
121	0.071267
122	0.071295
123	0.072504
124	0.073689
125	0.07485
126	0.075988
127	0.074456
128	0.075601
129	0.076724
130	0.077825
131	0.078903
132	0.07996
133	0.080995
134	0.079562
135	0.080606
136	0.081628
137	0.082631
138	0.081157
139	0.082169
140	0.08316
141	0.084132
142	0.082449
143	0.083435
144	0.084401
145	0.085348
146	0.086276
147	0.087185
148	0.088076
149	0.08895
150	0.089805
151	0.090644
152	0.091466
153	0.092271
154	0.089372
155	0.090219
156	0.09105
157	0.091864
158	0.092661
159	0.093443
160	0.094209
161	0.094959
162	0.095695
163	0.094115
164	0.091988
165	0.092783
166	0.093563
167	0.094326
168	0.095074
169	0.095808
170	0.096526
171	0.097231
172	0.097921
173	0.098597
174	0.09926
175	0.09991
176	0.100546
177	0.10117
178	0.101782
179	0.102381
180	0.102968
181	0.103543
182	0.104107
183	0.10466
184	0.105202
185	0.103456
186	0.104022
187	0.104576
188	0.10512
189	0.102494
190	0.103079
191	0.100961
192	0.101576
193	0.10218
194	0.102771
195	0.10335
196	0.103918
197	0.104475
198	0.10502
199	0.105554
200	0.106078
201	0.161394
202	0.160801
203	0.160219
204	0.15965
205	0.159092
206	0.15605
207	0.155564
208	0.155087
209	0.15462
210	0.154163
211	0.153714
212	0.153275
213	0.152844
214	0.152422
215	0.152008
216	0.151603
217	0.151206
218	0.150816
219	0.150435
220	0.150061
221	0.149695
222	0.149335
223	0.148984
224	0.145991
225	0.145505
226	0.14523
227	0.14496
228	0.144696
229	0.144437
230	0.144183
231	0.143934
232	0.14369
233	0.143451
234	0.143217
235	0.140735
236	0.140555
237	0.140379
238	0.136093
239	0.136006
240	0.135921
241	0.135837
242	0.135755
243	0.135675
244	0.135596
245	0.135519
246	0.135444
247	0.13537
248	0.135297
249	0.135226
250	0.135156
251	0.138459
252	0.138324
253	0.138193
254	0.138064
255	0.137937
256	0.137813
257	0.137692
258	0.137573
259	0.137456
260	0.137342
261	0.13723
262	0.134557
263	0.1345
264	0.134445
265	0.134391
266	0.134338
267	0.134286
268	0.134235
269	0.134185
270	0.130812
