episode	power
0	0.344748
1	0.362217
2	0.360413
3	0.359138
4	0.356544
5	0.355684
6	0.372513
7	0.376078
8	0.374779
9	0.359481
10	0.344174
11	0.335291
12	0.339771
13	0.33835
14	0.321821
15	0.320272
16	0.31965
17	0.319403
18	0.305369
19	0.290898
20	0.288896
21	0.290878
22	0.292179
23	0.291664
24	0.297823
25	0.284322
26	0.284078
27	0.284558
28	0.302751
29	0.320576
30	0.319521
31	0.319538
32	0.318389
33	0.320169
34	0.321078
35	0.320803
36	0.31983
37	0.337329
38	0.352935
39	0.350599
40	0.349029
41	0.348089
42	0.363209
43	0.361984
44	0.360785
45	0.359011
46	0.357871
47	0.356753
48	0.355061
49	0.359368
50	0.357623
51	0.355913
52	0.354237
53	0.371178
54	0.354964
55	0.353905
56	0.370801
57	0.369425
58	0.368076
59	0.366755
60	0.365459
61	0.36419
62	0.348113
63	0.347191
64	0.346287
65	0.345401
66	0.362018
67	0.360818
68	0.359641
69	0.376525
70	0.375034
71	0.373573
72	0.372142
73	0.370739
74	0.369364
75	0.368016
76	0.366695
77	0.365401
78	0.364133
79	0.36289
80	0.361672
81	0.360478
82	0.377465
83	0.375955
84	0.374476
85	0.373026
86	0.389565
87	0.405921
88	0.403843
89	0.401806
90	0.399809
91	0.415839
92	0.431639
93	0.429046
94	0.426505
95	0.424014
96	0.421574
97	0.419182
98	0.416838
99	0.432502
100	0.447969
101	0.445049
102	0.442188
103	0.439384
104	0.436636
105	0.433943
106	0.431304
107	0.428718
108	0.426183
109	0.423699
110	0.421265
111	0.418879
112	0.416541
113	0.41425
114	0.412005
115	0.409805
116	0.407648
117	0.405535
118	0.403464
119	0.401435
120	0.399446
121	0.397497
122	0.413499
123	0.411268
124	0.409083
125	0.406941
126	0.404842
127	0.420758
128	0.418383
129	0.416055
130	0.413773
131	0.411538
132	0.409347
133	0.407199
134	0.423096
135	0.420674
136	0.4183
137	0.415974
138	0.431552
139	0.428961
140	0.426422
141	0.423933
142	0.439454
143	0.436705
144	0.434011
145	0.43137
146	0.428782
147	0.426247
148	0.423761
149	0.421326
150	0.418939
151	0.4166
152	0.414308
153	0.412061
154	0.427812
155	0.425295
156	0.422829
157	0.420412
158	0.418044
159	0.415722
160	0.413448
161	0.411219
162	0.409034
163	0.424951
164	0.439844
165	0.437087
166	0.434385
167	0.431737
168	0.429142
169	0.426599
170	0.424107
171	0.421664
172	0.419271
173	0.416925
174	0.414627
175	0.412374
176	0.410166
177	0.408002
178	0.405882
179	0.403804
180	0.401768
181	0.399772
182	0.397817
183	0.3959
184	0.394022
185	0.410186
186	0.408022
187	0.405902
188	0.403823
189	0.42065
190	0.418277
191	0.433985
192	0.431345
193	0.428758
194	0.426222
195	0.423737
196	0.421302
197	0.418916
198	0.416578
199	0.414286
200	0.41204
201	0.426942
202	0.424443
203	0.421994
204	0.419594
205	0.417242
206	0.432914
207	0.430295
208	0.427729
209	0.425214
210	0.42275
211	0.420335
212	0.417968
213	0.415648
214	0.413375
215	0.411147
216	0.408964
217	0.406824
218	0.404728
219	0.402673
220	0.400659
221	0.398686
222	0.396752
223	0.394857
224	0.411144
225	0.408875
226	0.406737
227	0.404642
228	0.402589
229	0.400577
230	0.398605
231	0.396673
232	0.394779
233	0.392923
234	0.391105
235	0.407347
236	0.40524
237	0.403175
238	0.419473
239	0.417123
240	0.41482
241	0.412564
242	0.410352
243	0.408185
244	0.406061
245	0.40398
246	0.40194
247	0.399941
248	0.397982
249	0.396062
250	0.39418
251	0.410823
252	0.408646
253	0.406513
254	0.404423
255	0.402374
256	0.400366
257	0.398399
258	0.39647
259	0.394581
260	0.392729
261	0.390914
262	0.407193
263	0.405088
264	0.403026
265	0.401006
266	0.399025
267	0.397085
268	0.395183
269	0.393319
270	0.409345
