Pred    GT
3.1550048   3.060482
1.6110212   1.564296
2.6068722   2.617561
2.039652    2.062995
3.6035568   3.865428
2.6181468   2.748959
1.969036    1.889764
4.25345 4.138384
1.9277715   1.904714
3.8387742   3.98875
2.7967885   2.71184
1.9561225   2.05198
3.7157385   3.512699
1.6087738   1.523845
2.1100045   2.147313
3.746614    3.844326793
4.238411    4.176753288
1.7441098   1.707446724
4.1435375   4.042763253
3.4117328   3.563217852
3.6836172   3.672383027
4.109878    4.125194734
3.1489588   3.174108545
3.0885478   2.396396649
1.9665785   2.001657564
2.6065155   2.708151805
1.9645945   1.917437677
4.1339942   4.197905117
2.4265608   2.33467569
4.0379442   4.074261809
2.6352462   2.577955449
1.6943292   1.666408827
4.102152    4.358793334
1.6951215   1.677061558
1.813592    1.768488745
2.2916965   2.351422909
2.6216862   2.580198715
3.9959968   3.931289765
3.0960412   3.071113171
2.1143308   2.075780039
3.1178762   3.065816882
1.804918    1.686538247
2.6702295   2.769825828
1.9364096   1.963677493
3.502618    3.420741802
3.2531252   3.200290439
2.0523061   2.042913676
2.9161005   2.808171573
2.9804358   2.888181191
1.7212225   1.745546763
4.671063    4.700782
3.3165128   3.339039
4.012068    4.07331
2.5861672   2.634643
3.8080172   3.78102
2.6322962   2.695363
2.191903    2.090617
2.0055841   2.030899
3.628763    3.719128
4.1721502   4.138358
3.9134168   3.981762
3.9324002   3.994538
3.912157    3.696636
2.1390048   2.141697
3.407034    3.310399
3.913006    3.999047
2.8052142   2.89539
2.781094    2.774533
3.7237838   3.90648631
2.4361632   2.316312451
2.5220612   2.4511509
2.7224912   2.656944024
2.7318645   2.798227673
2.3063142   2.203160266
3.175025    3.275629367
1.739386    1.757619692
4.303222    4.294471369
2.5632008   2.527093774
4.615362    4.763145412
2.0364174   2.012695754
1.7323348   1.646569068
3.1746492   3.086012705
2.0932459   2.145221399
1.9206586   1.96438681
3.6553755   3.596395641
1.9889154   1.85167955
3.528506    3.468911063
2.8690278   2.815479692
1.9107865   1.927008548
1.91452 1.830510254
2.2440552   2.109805
3.1324272   3.088036
4.58826 4.72986
4.3100795   4.129306
3.2368618   3.217907
4.233404    4.492869
2.963155    3.050917
1.5366636   1.504986
