Pred    GT
0.7009799   0.702348
0.7711124   0.741649
1.0131558   1.040928
0.9274762   0.912981
1.2190194   1.296461
1.0167894   1.042782
0.9925508   1.049184
1.6671462   1.585158
1.1485988   1.136896
1.5767025   1.573988
1.013924    1.106848
0.81483436  0.810103
1.2771051   1.340668
0.747455    0.757222
0.806906    0.811897
1.1335927   1.042091
1.651401    1.546644
0.7264303   0.703833
1.5707608   1.544451
1.1699886   1.126906
1.2072381   1.08746
1.1991382   1.140255
1.3224819   1.307636
0.7324256   0.687618
0.77313906  0.762266
1.0314633   0.998522
0.81016165  0.808854
1.6885787   1.606463
0.7271336   0.728888
1.5447892   1.522367
0.75037587  0.730669
0.7461133   0.755138
1.5958465   1.584374
0.6951484   0.7026
0.74960077  0.74268
0.859978    0.83512
0.90031576  0.902321
1.5673895   1.527077
1.1773621   1.219466
1.2378715   1.127711
1.2350347   1.198458
0.6900399   0.678244
1.1009756   1.00832
0.8984856   0.8552
1.3661422   1.296821
1.3183825   1.317238
0.8400695   0.829599
1.2933171   1.283624
1.2986153   1.262642
0.7582237   0.754066
1.6479849   1.734935
0.6555667   0.683669
1.6244992   1.707564
1.0330675   1.04061
1.0717673   1.092957
1.1258112   1.181322
0.98840505  1.064392
1.0816933   1.063634
1.3180585   1.378428
1.5923278   1.685477
1.565   1.653371
1.3335745   1.39387
1.1422569   1.300858
1.1497439   1.171198
1.0655047   1.080198
1.1833864   1.263605
0.98881274  0.999955
1.0180957   1.141943
1.2613788   1.125579
0.7564689   0.718012
1.0604689   0.911012
0.7815196   0.789535
1.0340474   1.007543
0.9908118   0.920102
1.1164129   1.091355
1.0169547   0.948047
1.6375995   1.580362
0.9079752   0.896143
1.6353841   1.642768
0.85161424  0.841176
0.80142057  0.806443
1.2120781   1.219758
0.81269526  0.81295
0.8055833   0.810698
1.162126    1.09511
0.86379915  0.81299
1.1023492   0.950854
0.78991246  0.790006
0.85518074  0.823095
0.72740895  0.71292
0.7204638   0.718081
1.1923593   1.184288
1.6026702   1.657761
1.4776331   1.655841
1.0868341   1.08179
1.6281089   1.699139
0.9352203   1.078885
0.70630896  0.72604
