Pred    GT
62.54186    61.35
40.02988    38.625
63.64717    65.05
53.88006    54.275
105.25284   107.75
61.43901    65.025
42.4642 43.25
105.241 106
51.81628    56.2
94.45312    100.3
67.89494    67.85
59.32175    68
74.09639    70.275
44.31236    42.975
63.78704    63.425
102.78523   106.75
94.54389    90.925
41.75614    41.525
93.2603 91.725
65.76099    66.575
69.47787    70.275
82.96968    83.575
88.53073    85.3
62.40476    55.825
61.28498    59.375
61.71528    61.675
58.5401 53.475
121.14214   126.5
54.70437    53.6
98.25223    98.15
64.80791    58.5
47.05556    44.85
102.21371   103.25
44.83014    44.25
40.10623    42.725
59.50028    61.525
57.62468    57.375
97.37948    95.25
84.60578    83.675
56.5493 51.925
86.39865    84.25
43.79912    42.075
63.96499    64.2
46.25472    45.425
68.47287    64.25
92.01761    87.3
50.65889    50.775
81.52718    75.05
84.79251    78.575
46.98891    45.825
118.76243   108.75
64.17613    67.425
90.03005    97.525
62.69515    64.05
77.66972    82.25
56.74526    57.7
58.79085    56.675
55.85995    54.225
72.64964    77.2
98.26337    101.95
91.12868    93.8
92.42864    98.25
67.47796    71.5
56.82601    59.4
64.88021    64
80.1261 84.55
66.06825    70.55
60.42825    61.875
74.78128    76.525
56.52733    53.325
55.77851    57.175
78.39071    71.35
64.69908    63.025
57.51826    56.25
68.85906    64.35
42.53941    39.725
101.32502   102.2
58.80848    56.95
136.79121   136.5
44.55699    45.45
38.90003    36.65
90.31831    85.2
67.65109    62.55
58.39692    54.825
72.49096    73.175
47.37066    46.875
71.37967    69.725
79.7319 77.125
46.99377    45.125
49.08166    48.925
48.07879    48.9
64.61507    62.75
111.67388   114
97.88924    102.025
64.23533    65.75
102.14238   107
62.28001    64.35
39.54629    39.6
