Pred    GT
0.46159397  0.456993
0.6112582   0.609654
0.45581084  0.45256
0.50972078  0.502499
0.6673712   0.668766
0.7753525   0.773575
0.4523054   0.44794
0.5564706   0.555941
0.6554596   0.656952
0.3633064   0.358084
0.580152    0.584985
0.5637943   0.566514
0.6977887   0.701029
0.59330794  0.602993
0.48112425  0.478665
0.7596176   0.756185
0.59751856  0.600625
0.6284071   0.647331
0.7794233   0.777132
0.6865836   0.704545
0.63408506  0.633653
0.42387553  0.380417
0.7204175   0.721858
0.43384594  0.439295
0.41468538  0.422261
0.60137225  0.596899
0.5791499   0.540266
0.5965958   0.610208
0.5619807   0.563788
0.6851182   0.680406
0.6051618   0.607406
0.2727951   0.280799
0.6790335   0.670274
0.6394113   0.651001
0.47190416  0.464349
0.7742406   0.773575
0.4831282   0.473366
0.62344875  0.500005
0.6188886   0.544182
0.74951756  0.382738
0.70467594  0.699425
0.77620975  0.771821
0.63254725  0.638625
0.74630475  0.743519
0.67830194  0.673363
0.8504579   0.847563
0.45450153  0.448762
0.46448325  0.464244
0.5353244   0.552629
0.4959195   0.489507
0.3138365   0.314188
0.5676272   0.572548
0.30873375  0.299703
0.5379653   0.541828
0.45655656  0.454862
0.48074372  0.484595
0.47953925  0.479442
0.73286675  0.737816
0.6366672   0.637938
0.25461166  0.239971
0.6080797   0.603597
0.49336647  0.486015
0.6455036   0.671366
0.57313894  0.573938
0.7370641   0.746368
0.6083403   0.609825
0.34398175  0.348167
0.4758956   0.465522
0.6828545   0.69852
0.6870457   0.673189
0.66139544  0.661189
0.57257256  0.575538
0.47413688  0.465906
0.302162    0.301784
0.61373125  0.629681
0.5905683   0.588688
0.46944425  0.465726
0.41301666  0.39216
0.5564462   0.555045
0.50916003  0.507573
0.67882456  0.66909
0.6370471   0.634843
0.4893906   0.48016
0.82728525  0.832037
0.6831194   0.684506
0.6705543   0.69852
0.42850597  0.413576
0.5513351   0.552788
0.57414356  0.580005
0.5391037   0.532872
0.5805479   0.573308
0.61970494  0.620867
0.7122376   0.723022
0.52308188  0.505869
0.655985    0.656565
0.41835144  0.413281
0.86876325  0.875844
0.6300168   0.628014
0.58303575  0.574984
0.5759076   0.580005
