Pred    GT
0.81624943  0.817702
0.82342523  0.822898
0.7655436   0.766561
0.83005774  0.832805
0.63831276  0.638288
0.8360432   0.838041
0.76655453  0.766217
0.82308555  0.823575
0.8361578   0.835034
0.8299626   0.833947
0.83533585  0.835033
0.8086931   0.809075
0.8303941   0.835238
0.6333692   0.631395
0.62905586  0.629089
0.8311903   0.838229
0.81579846  0.818051
0.8086931   0.808228
0.82342523  0.822641
0.80890286  0.809028
0.8231807   0.822882
0.76055366  0.76621
0.6416828   0.641648
0.82342523  0.823796
0.8305087   0.829313
0.8229709   0.823293
0.7609417   0.76641
0.83522123  0.83852
0.83594805  0.83692
0.83533585  0.83852
0.81622994  0.817456
0.76168686  0.765793
0.83594805  0.838287
0.8303941   0.830454
0.8158936   0.81609
0.8360432   0.838041
0.6384274   0.638274
0.83594805  0.831977
0.83594805  0.80882
0.8097329   0.809685
0.82308555  0.822945
0.8229709   0.822641
0.8161348   0.817819
0.83533585  0.835318
0.83029896  0.834425
0.8229709   0.821697
0.6332546   0.631321
0.80880773  0.806697
0.8297013   0.831029
0.83606267  0.835067
0.65524125  0.716122
0.83606267  0.836017
0.62894124  0.629089
0.82949156  0.830982
0.6332546   0.631321
0.63673234  0.637154
0.83594805  0.836758
0.8351261   0.835563
0.8096378   0.807859
0.5972911   0.59678
0.82342523  0.822898
0.83606267  0.835067
0.6405649   0.639486
0.8222931   0.822063
0.8142008   0.828548
0.8304136   0.832657
0.8304136   0.830813
0.8086931   0.809383
0.80878824  0.809028
0.82936496  0.825332
0.63673234  0.636195
0.82308555  0.822089
0.80930144  0.809335
0.7655436   0.766708
0.7655436   0.766679
0.83594805  0.838287
0.82342523  0.823575
0.7631838   0.766907
0.8229709   0.823167
0.80878824  0.809075
0.74198455  0.732263
0.8360432   0.836904
0.63635486  0.636195
0.8352407   0.838229
0.82925034  0.826667
0.8097329   0.809028
0.7639244   0.765939
0.8303941   0.834352
0.8297013   0.830948
0.80880773  0.808666
0.8349995   0.837347
0.8360432   0.836947
0.8297013   0.826644
0.6219051   0.622122
0.82306606  0.823151
0.8296062   0.830981
0.8231807   0.822882
0.82352036  0.822882
0.6413053   0.641648
0.8297013   0.830948
