Pred    GT
4.43937 4.108
7.47171 8.1
11.04905    11
5.1813  5.06
3.95742 3.903
6.2488  6.228
10.32637    10.42
6.32909 6.52
11.58982    11.69
7.04753 7.293
13.21958    13.3
7.08933 7.077
11.0797 11.415
5.63344 6.003
3.86012 3.595
4.55222 4.553
4.42285 4.462
5.45819 5.42
4.17137 4.115
11.30923    11.67
13.08288    12.95
5.63898 5.792
4.21979 4.318
5.65017 5.605
13.13769    13.137
5.72065 5.455
4.10612 3.758
7.67594 7.487
7.29803 7.417
8.12793 8.102
6.00718 5.94
5.29737 4.965
6.28937 6.332
5.88602 5.817
5.35669 5.278
6.2488  6.228
5.88434 6.035
4.10324 12.557
4.10324 5.45
6.06551 11.915
4.20489 3.958
4.17137 4.097
5.84603 5.987
6.32843 6.468
4.29289 4.452
5.77939 5.76
4.5238  4.648
7.06604 7.152
13.65053    14.125
7.62423 7.55
4.57796 4.335
7.67977 7.865
4.73081 4.56
4.10324 4.025
4.87659 5.34
3.50327 3.353
5.95134 5.803
5.76903 5.895
4.23076 3.98
4.42475 4.5
7.00115 7.392
7.66339 7.725
3.83733 3.855
7.91432 8.037
5.76679 5.73
5.57528 5.967
5.9982  5.86
5.63898 5.508
10.84117    11.017
6.54131 6.622
4.0286  4.152
7.42093 7.893
7.4288  7.88
7.25884 7.03
11.30923    11.772
6.19832 6.108
5.3251  5.01
7.14235 7.338
7.09609 7.415
7.22402 6.92
5.83181 6.28
5.46835 5.577
5.17378 4.927
4.8861  5.288
11.60616    11.588
11.00001    11.017
5.77684 5.89
10.53652    10.752
11.58982    11.678
4.07728 3.928
8.0411  8.293
13.34786    13.675
12.18623    12.302
2.9616  2.605
10.46725    10.37
7.72731 8.205
11.76809    11.87
13.12973    13.625
5.32761 5.26
11.58982    11.678
